date,open,high,low,close,volume,ticker
2024-01-02,62.5,63.1,61.9,61.9,349200,BCM
2024-01-03,61.7,61.7,60.6,61.5,623300,BCM
2024-01-04,61.1,61.6,60.8,60.8,547100,BCM
2024-01-05,60.9,61.0,60.0,60.5,515600,BCM
2024-01-08,60.5,60.8,60.0,60.3,550200,BCM
2024-01-09,60.1,60.2,59.4,59.6,608600,BCM
2024-01-10,59.3,59.6,58.9,59.2,481600,BCM
2024-01-11,58.8,61.6,58.8,60.4,711300,BCM
2024-01-12,60.4,60.4,59.1,59.9,521400,BCM
2024-01-15,59.8,60.5,59.2,59.5,199700,BCM
2024-01-16,59.6,59.6,58.9,59.4,411300,BCM
2024-01-17,59.4,60.0,59.2,59.9,378500,BCM
2024-01-18,59.8,60.3,59.4,60.3,464100,BCM
2024-01-19,60.3,61.2,60.3,61.2,666500,BCM
2024-01-22,61.3,61.7,60.5,61.2,489100,BCM
2024-01-23,61.8,62.8,61.3,62.0,818700,BCM
2024-01-24,63.0,63.0,61.5,62.0,509600,BCM
2024-01-25,61.6,61.7,60.8,61.6,567400,BCM
2024-01-26,61.9,62.0,61.2,61.8,586200,BCM
2024-01-29,62.4,62.8,61.7,62.1,588400,BCM
2024-01-30,62.1,65.5,61.7,65.3,1708300,BCM
2024-01-31,65.5,65.5,63.8,65.3,980700,BCM
2024-02-01,64.4,66.5,64.3,66.0,738100,BCM
2024-02-02,65.1,66.0,64.5,64.5,680400,BCM
2024-02-05,64.6,64.8,63.5,63.5,633500,BCM
2024-02-06,63.5,65.0,63.2,63.8,469000,BCM
2024-02-07,63.8,64.7,63.5,64.0,276500,BCM
2024-02-15,64.5,64.5,63.2,63.7,369000,BCM
2024-02-16,63.7,64.7,63.5,63.6,593100,BCM
2024-02-19,63.7,65.0,63.0,64.3,999900,BCM
2024-02-20,64.4,64.8,63.7,63.8,519600,BCM
2024-02-21,63.8,66.0,63.5,65.8,1599400,BCM
2024-02-22,65.9,67.3,65.1,65.1,1318800,BCM
2024-02-23,65.2,65.6,63.3,63.3,1431800,BCM
2024-02-26,63.3,63.8,62.7,63.3,775900,BCM
2024-02-27,63.5,63.8,62.9,63.3,1032000,BCM
2024-02-28,64.0,64.3,62.9,63.4,787200,BCM
2024-02-29,63.5,64.6,63.2,63.3,871800,BCM
2024-03-01,63.4,64.0,63.1,63.6,851900,BCM
2024-03-04,64.4,66.4,63.8,65.4,1829500,BCM
2024-03-05,65.6,66.4,64.6,65.5,1338200,BCM
2024-03-06,65.8,67.7,65.0,66.1,1143800,BCM
2024-03-07,66.5,69.0,66.2,69.0,1915800,BCM
2024-03-08,70.0,71.0,69.3,69.3,2468700,BCM
2024-03-11,69.4,69.9,66.7,67.1,1555300,BCM
2024-03-12,66.8,68.9,66.2,67.9,1302100,BCM
2024-03-13,68.1,69.7,68.0,69.2,1393800,BCM
2024-03-14,69.4,70.7,67.8,67.9,1920800,BCM
2024-03-15,67.9,68.9,67.3,67.5,1295800,BCM
2024-03-18,67.6,68.1,63.0,64.6,2083300,BCM
2024-03-19,64.6,65.3,64.3,64.4,598600,BCM
2024-03-20,64.4,65.3,63.8,65.0,798600,BCM
2024-03-21,65.5,66.1,65.2,65.7,801600,BCM
2024-03-22,66.0,66.1,65.1,65.7,1195100,BCM
2024-03-25,65.6,66.2,64.8,65.1,727200,BCM
2024-03-26,65.0,65.4,64.8,65.1,650900,BCM
2024-03-27,65.7,65.7,64.9,65.2,456200,BCM
2024-03-28,65.7,66.0,65.1,65.3,580100,BCM
2024-03-29,65.4,65.5,64.9,64.9,610900,BCM
2024-04-01,65.0,65.4,64.1,64.3,719500,BCM
2024-04-02,64.4,65.4,63.7,65.4,624000,BCM
2024-04-03,65.3,65.3,64.3,64.4,482600,BCM
2024-04-04,64.4,64.4,63.5,63.5,635400,BCM
2024-04-05,63.0,63.3,62.6,62.6,703700,BCM
2024-04-08,62.6,62.7,62.0,62.0,407800,BCM
2024-04-09,61.9,61.9,61.0,61.8,475200,BCM
2024-04-10,61.8,62.3,61.2,61.3,580500,BCM
2024-04-11,61.0,61.0,60.3,60.3,684300,BCM
2024-04-12,60.7,61.0,59.7,61.0,950000,BCM
2024-04-15,61.2,61.2,56.8,56.8,1287700,BCM
2024-04-16,56.8,57.0,54.8,55.6,791000,BCM
2024-04-17,56.2,56.2,54.3,54.3,522600,BCM
2024-04-19,52.3,53.3,50.7,51.6,1151400,BCM
2024-04-22,51.8,52.9,51.7,52.7,307500,BCM
2024-04-23,52.7,53.0,50.4,50.5,625000,BCM
2024-04-24,51.0,52.6,50.9,52.3,771300,BCM
2024-04-25,52.8,53.3,52.2,52.5,328300,BCM
2024-04-26,52.0,52.8,52.0,52.4,349000,BCM
2024-05-02,52.5,54.0,52.5,54.0,489100,BCM
2024-05-03,54.0,54.5,53.5,53.8,429800,BCM
2024-05-06,54.0,55.2,53.9,55.1,508000,BCM
2024-05-07,55.3,55.6,54.6,54.8,420400,BCM
2024-05-08,54.8,54.8,53.6,54.5,510400,BCM
2024-05-09,54.4,58.0,54.4,58.0,1730800,BCM
2024-05-10,58.5,58.6,56.5,57.0,490100,BCM
2024-05-13,57.7,58.0,55.8,56.2,409100,BCM
2024-05-14,57.0,58.7,56.3,58.4,1237200,BCM
2024-05-15,59.0,59.0,58.2,58.6,409500,BCM
2024-05-16,58.9,58.9,58.1,58.1,448400,BCM
2024-05-17,58.1,59.5,58.1,58.8,460400,BCM
2024-05-20,60.7,62.9,60.6,62.9,2045300,BCM
2024-05-21,63.9,65.1,63.1,64.3,2202000,BCM
2024-05-22,64.9,64.9,62.6,63.1,1534700,BCM
2024-05-23,63.1,64.4,62.5,64.2,1422500,BCM
2024-05-24,64.0,64.4,60.8,61.5,1660200,BCM
2024-05-27,61.4,63.0,60.5,62.1,728700,BCM
2024-05-28,62.9,62.9,62.0,62.7,538900,BCM
2024-05-29,62.5,62.8,61.5,61.9,719600,BCM
2024-05-30,61.5,62.2,60.1,61.0,1124100,BCM
2024-05-31,61.0,61.8,60.6,60.8,296900,BCM
2024-06-03,61.6,63.5,61.4,63.0,1024900,BCM
2024-06-04,63.1,63.2,62.2,62.3,475600,BCM
2024-06-05,63.0,65.3,62.2,63.6,2520900,BCM
2024-06-06,63.6,65.0,63.6,64.6,1095800,BCM
2024-06-07,65.0,65.0,63.4,64.6,675000,BCM
2024-06-10,64.7,64.7,63.3,63.3,723800,BCM
2024-06-11,63.6,63.8,62.5,62.9,660700,BCM
2024-06-12,62.6,64.2,62.3,64.2,660400,BCM
2024-06-13,64.4,64.6,63.6,64.4,670000,BCM
2024-06-14,64.5,64.6,62.8,62.8,799500,BCM
2024-06-17,63.2,63.2,61.7,61.9,502300,BCM
2024-06-18,61.9,62.6,61.8,62.6,355700,BCM
2024-06-19,62.6,62.7,61.8,62.7,509900,BCM
2024-06-20,62.9,65.2,62.6,64.0,1459500,BCM
2024-06-21,64.6,64.8,63.4,64.0,689000,BCM
2024-06-24,64.0,64.0,61.4,61.9,943800,BCM
2024-06-25,61.9,63.0,61.1,63.0,409300,BCM
2024-06-26,62.9,66.0,61.9,66.0,2336700,BCM
2024-06-27,66.0,67.7,65.2,65.2,1488600,BCM
2024-06-28,65.8,65.8,62.8,63.8,1137000,BCM
2024-07-01,64.0,64.2,63.1,63.1,452100,BCM
2024-07-02,63.2,63.9,62.9,63.8,659100,BCM
2024-07-03,64.2,64.2,63.2,63.9,545500,BCM
2024-07-04,64.0,64.0,63.2,63.8,446500,BCM
2024-07-05,63.5,64.0,63.2,64.0,451100,BCM
2024-07-08,64.0,65.4,64.0,64.6,1253500,BCM
2024-07-09,65.0,67.1,65.0,66.7,1678400,BCM
2024-07-10,66.8,66.8,65.3,65.3,755900,BCM
2024-07-11,66.0,66.1,64.7,64.7,603700,BCM
2024-07-12,65.0,65.5,64.6,65.0,576000,BCM
2024-07-15,65.5,67.5,65.2,67.2,1532100,BCM
2024-07-16,67.7,68.9,66.7,68.5,1636300,BCM
2024-07-17,68.7,68.7,64.1,67.4,1646600,BCM
2024-07-18,67.0,68.0,65.3,68.0,1255300,BCM
2024-07-19,67.5,67.9,66.8,67.8,926200,BCM
2024-07-22,67.8,67.8,66.1,67.7,1161000,BCM
2024-07-23,67.3,67.9,66.7,66.7,1200100,BCM
2024-07-24,65.9,66.9,64.8,66.9,803600,BCM
2024-07-25,66.1,69.9,65.7,69.1,961800,BCM
2024-07-26,69.1,73.0,69.1,72.5,1909300,BCM
2024-07-29,72.7,73.6,71.6,73.3,796500,BCM
2024-07-30,73.4,73.4,71.8,73.3,829900,BCM
2024-07-31,73.0,73.0,72.2,73.0,836100,BCM
2024-08-01,72.5,72.7,67.9,67.9,2297100,BCM
2024-08-02,65.4,69.4,65.4,68.8,1409500,BCM
2024-08-05,67.0,68.0,65.0,67.5,1281800,BCM
2024-08-06,67.5,72.0,66.4,71.0,1152400,BCM
2024-08-07,71.0,72.0,69.3,72.0,897400,BCM
2024-08-08,70.9,71.9,69.5,71.5,928300,BCM
2024-08-09,71.5,72.0,70.5,71.5,559800,BCM
2024-08-12,71.3,72.7,71.0,71.2,466200,BCM
2024-08-13,70.7,71.9,70.1,71.2,688200,BCM
2024-08-14,71.2,74.5,70.8,72.0,1250100,BCM
2024-08-15,72.1,72.1,70.7,70.8,541900,BCM
2024-08-16,71.0,72.8,70.8,72.3,943900,BCM
2024-08-19,72.9,74.0,72.4,72.5,785800,BCM
2024-08-20,72.5,73.4,72.0,72.5,655300,BCM
2024-08-21,72.4,72.4,71.5,72.0,851000,BCM
2024-08-22,72.0,72.5,71.6,72.0,447600,BCM
2024-08-23,72.5,74.0,71.5,72.4,750100,BCM
2024-08-26,72.8,72.8,70.9,70.9,900400,BCM
2024-08-27,71.0,71.0,69.1,70.2,1290900,BCM
2024-08-28,70.1,70.5,69.2,69.5,649800,BCM
2024-08-29,69.2,71.5,69.2,71.5,775900,BCM
2024-08-30,71.4,72.0,70.9,72.0,408400,BCM
2024-09-04,70.3,72.0,70.3,72.0,418300,BCM
2024-09-05,72.0,72.0,70.6,71.9,507400,BCM
2024-09-06,71.4,72.0,70.8,72.0,424600,BCM
2024-09-09,71.1,72.0,70.8,71.2,418200,BCM
2024-09-10,71.5,72.0,70.6,71.5,450600,BCM
2024-09-11,71.0,71.5,70.8,71.4,375100,BCM
2024-09-12,71.5,71.5,70.7,71.4,417500,BCM
2024-09-13,71.3,71.4,70.7,70.9,291100,BCM
2024-09-16,71.1,71.1,69.5,70.3,494300,BCM
2024-09-17,70.3,71.4,69.6,71.4,235300,BCM
2024-09-18,71.3,71.4,70.7,71.4,351200,BCM
2024-09-19,71.4,71.9,70.9,71.9,346300,BCM
2024-09-20,72.5,72.5,71.3,71.3,371100,BCM
2024-09-23,71.3,71.6,70.7,71.5,244300,BCM
2024-09-24,71.0,72.5,71.0,72.0,444300,BCM
2024-09-25,72.0,72.5,71.8,72.5,443800,BCM
2024-09-26,72.5,73.5,71.9,72.0,720400,BCM
2024-09-27,72.0,72.0,71.2,71.3,465700,BCM
2024-09-30,71.3,71.3,70.0,70.2,521600,BCM
2024-10-01,70.2,70.9,70.0,70.3,428300,BCM
2024-10-02,70.3,70.3,69.5,69.5,495400,BCM
2024-10-03,69.2,70.3,68.0,69.1,541800,BCM
2024-10-04,69.5,69.5,67.8,67.9,516400,BCM
2024-10-07,68.0,68.5,67.5,68.4,289500,BCM
2024-10-08,68.4,68.7,67.9,68.7,184600,BCM
2024-10-09,68.7,69.2,68.1,68.4,303300,BCM
2024-10-10,68.4,68.8,68.3,68.3,243800,BCM
2024-10-11,68.5,68.5,67.7,68.3,296400,BCM
2024-10-14,68.3,68.5,67.8,68.3,232700,BCM
2024-10-15,68.1,68.9,67.8,67.8,272000,BCM
2024-10-16,68.2,68.2,67.5,67.8,206500,BCM
2024-10-17,68.1,68.1,67.0,67.5,241900,BCM
2024-10-18,67.8,68.5,67.5,67.5,195600,BCM
2024-10-21,67.3,67.8,66.5,66.5,215700,BCM
2024-10-22,66.5,66.5,65.0,65.0,575700,BCM
2024-10-23,65.0,65.9,65.0,65.6,181800,BCM
2024-10-24,65.7,65.9,65.3,65.8,117000,BCM
2024-10-25,65.6,65.8,65.3,65.6,105100,BCM
2024-10-28,65.5,65.7,65.2,65.4,98000,BCM
2024-10-29,65.4,66.8,65.4,66.8,163200,BCM
2024-10-30,66.8,67.4,66.4,66.4,203400,BCM
2024-10-31,66.3,67.1,66.1,67.1,143900,BCM
2024-11-01,67.1,67.1,66.2,66.7,137800,BCM
2024-11-04,65.9,65.9,64.4,65.8,194700,BCM
2024-11-05,65.8,66.0,65.2,65.8,85700,BCM
2024-11-06,65.8,68.0,65.8,67.4,603600,BCM
2024-11-07,67.3,67.8,67.0,67.4,246500,BCM
2024-11-08,67.1,67.2,66.6,66.6,247600,BCM
2024-11-11,66.8,67.5,66.0,67.5,227200,BCM
2024-11-12,67.5,68.0,67.1,67.8,297600,BCM
2024-11-13,67.5,67.9,66.9,67.9,180300,BCM
2024-11-14,67.3,68.9,67.3,68.6,761600,BCM
2024-11-15,68.8,68.8,67.6,68.0,234500,BCM
2024-11-18,66.7,67.4,65.7,67.0,410800,BCM
2024-11-19,67.4,67.4,64.0,64.0,295200,BCM
2024-11-20,64.0,65.8,63.1,65.7,251900,BCM
2024-11-21,65.8,65.8,64.8,65.5,220300,BCM
2024-11-22,65.0,65.8,64.8,65.8,125300,BCM
2024-11-25,65.8,65.8,65.0,65.7,130000,BCM
2024-11-26,65.4,66.4,65.4,66.1,250300,BCM
2024-11-27,65.3,66.1,65.3,66.1,108700,BCM
2024-11-28,66.1,66.4,65.8,66.2,109000,BCM
2024-11-29,66.1,66.5,65.5,66.5,154200,BCM
2024-12-02,66.8,66.8,65.7,66.5,136500,BCM
2024-12-03,65.9,66.5,65.8,66.4,200200,BCM
2024-12-04,65.8,66.3,65.2,65.2,146300,BCM
2024-12-05,65.3,68.0,65.2,68.0,321600,BCM
2024-12-06,67.6,68.3,67.1,67.3,189400,BCM
2024-12-09,67.5,68.0,67.1,67.9,172800,BCM
2024-12-10,68.0,68.2,67.3,68.0,174600,BCM
2024-12-11,68.0,68.0,66.8,67.0,199200,BCM
2024-12-12,67.1,67.7,66.7,67.5,167300,BCM
2024-12-13,67.5,67.7,66.7,67.7,145300,BCM
2024-12-16,67.7,68.0,66.6,68.0,248900,BCM
2024-12-17,68.0,68.0,67.4,67.8,124200,BCM
2024-12-18,67.8,67.8,67.2,67.8,92600,BCM
2024-12-19,67.0,67.5,66.5,66.5,142600,BCM
2024-12-20,66.5,67.7,66.3,67.7,163900,BCM
2024-12-23,68.0,68.0,67.5,67.9,176400,BCM
2024-12-24,68.0,68.0,67.3,67.9,142500,BCM
2024-12-25,67.9,70.4,67.7,69.3,686500,BCM
2024-12-26,69.3,70.0,68.8,69.7,156700,BCM
2024-12-27,69.7,69.8,68.8,69.8,261500,BCM
2024-12-30,68.8,70.0,68.2,69.8,233500,BCM
2024-12-31,69.8,70.9,68.7,70.9,435100,BCM
2025-01-02,70.0,70.8,69.8,70.8,202200,BCM
2025-01-03,70.1,70.5,69.8,70.5,184100,BCM
2025-01-06,69.7,70.5,69.0,70.3,168500,BCM
2025-01-07,70.3,74.0,69.8,72.6,1282500,BCM
2025-01-08,73.1,73.7,72.5,72.6,362400,BCM
2025-01-09,72.8,73.3,71.5,71.5,292500,BCM
2025-01-10,71.5,72.2,66.5,70.0,446700,BCM
2025-01-13,69.1,69.9,68.3,69.9,226000,BCM
2025-01-14,69.9,71.2,69.4,70.0,294400,BCM
2025-01-15,70.9,70.9,69.2,69.2,182600,BCM
2025-01-16,70.0,70.0,68.4,69.3,243000,BCM
2025-01-17,68.9,69.8,68.7,69.2,133900,BCM
2025-01-20,69.2,69.5,68.6,69.1,157100,BCM
2025-01-21,69.0,69.5,68.2,68.7,237700,BCM
2025-01-22,69.0,69.1,67.4,67.4,237800,BCM
2025-01-23,67.4,68.0,67.3,68.0,177600,BCM
2025-01-24,67.8,69.3,67.4,69.3,281400,BCM
2025-02-04,70.0,70.5,69.7,70.3,258800,BCM
2025-02-05,70.3,71.9,70.2,71.8,347200,BCM
2025-02-06,72.4,72.4,70.8,70.8,335500,BCM
2025-02-07,70.5,71.1,70.0,70.0,303700,BCM
2025-02-10,70.0,72.9,70.0,70.9,410500,BCM
2025-02-11,71.0,71.4,70.0,70.1,233900,BCM
2025-02-12,70.3,71.5,70.0,70.5,213900,BCM
2025-02-13,70.5,70.5,69.7,70.1,164600,BCM
2025-02-14,70.9,71.2,70.1,70.1,228600,BCM
2025-02-17,70.1,70.3,69.8,69.8,279800,BCM
2025-02-18,69.8,70.0,69.3,69.5,157200,BCM
2025-02-19,69.6,71.3,69.5,71.3,494200,BCM
2025-02-20,71.6,72.4,70.8,72.4,485700,BCM
2025-02-21,72.5,75.6,72.5,74.9,1248300,BCM
2025-02-24,75.1,76.2,74.3,74.5,506700,BCM
2025-02-25,74.5,76.9,74.5,76.6,699600,BCM
2025-02-26,77.1,77.1,75.8,76.4,391900,BCM
2025-02-27,76.5,76.5,74.5,76.0,469400,BCM
2025-02-28,75.5,75.9,74.7,75.7,420300,BCM
2025-03-03,75.6,76.5,75.0,75.6,287300,BCM
2025-03-04,75.5,76.0,74.8,75.8,457000,BCM
2025-03-05,76.0,76.4,75.1,75.1,339800,BCM
2025-03-06,75.1,75.7,74.9,75.2,284600,BCM
2025-03-07,75.2,76.0,75.0,75.0,373300,BCM
2025-03-10,75.1,80.2,74.9,80.2,2435900,BCM
2025-03-11,80.6,82.2,79.6,80.2,526700,BCM
2025-03-12,80.2,82.1,79.9,80.6,827800,BCM
2025-03-13,81.0,81.0,78.6,78.8,577100,BCM
2025-03-14,79.0,79.9,78.7,79.0,657500,BCM
2025-03-17,79.7,82.3,78.2,81.8,1325300,BCM
2025-03-18,82.3,82.4,80.8,81.8,738000,BCM
2025-03-19,81.8,81.8,80.3,80.7,662000,BCM
2025-03-20,80.1,81.1,77.5,79.5,916700,BCM
2025-03-21,80.0,80.0,78.1,78.7,372500,BCM
2025-03-24,78.7,78.7,76.7,77.3,398600,BCM
2025-03-25,77.7,79.2,77.5,78.1,403800,BCM
2025-03-26,78.1,78.6,77.6,78.0,369000,BCM
2025-03-27,78.0,79.5,77.4,77.4,402100,BCM
2025-03-28,77.7,79.4,77.6,77.6,588100,BCM
2025-03-31,77.6,77.6,74.8,74.8,799000,BCM
2025-04-01,76.0,76.0,75.0,75.9,183700,BCM
2025-04-02,75.9,77.1,74.5,75.6,320300,BCM
2025-04-03,70.4,74.4,70.4,70.4,738200,BCM
2025-04-04,65.5,65.5,65.5,65.5,641000,BCM
2025-04-08,61.0,61.0,61.0,61.0,216500,BCM
2025-04-09,56.8,56.8,56.8,56.8,130000,BCM
2025-04-10,60.7,60.7,60.7,60.7,159400,BCM
2025-04-11,56.5,61.5,56.5,59.7,3365500,BCM
2025-04-14,63.8,63.8,60.5,60.5,805600,BCM
2025-04-15,60.6,60.6,56.3,56.5,1162300,BCM
2025-04-16,57.0,57.5,53.5,53.5,789200,BCM
2025-04-17,52.7,53.9,49.8,53.5,926900,BCM
2025-04-18,55.4,55.4,53.8,54.0,490800,BCM
2025-04-21,54.5,55.2,53.0,55.2,494100,BCM
2025-04-22,55.0,55.0,51.4,52.0,1136600,BCM
2025-04-23,53.7,55.2,51.7,55.0,781200,BCM
2025-04-24,55.0,57.7,55.0,55.5,773800,BCM
2025-04-25,56.3,56.3,54.6,55.8,469500,BCM
2025-04-28,56.0,56.0,54.9,55.7,347500,BCM
2025-04-29,55.7,56.0,54.9,55.0,339100,BCM
2025-05-05,56.0,57.5,55.5,57.5,593100,BCM
2025-05-06,57.9,58.0,56.0,56.0,393900,BCM
2025-05-07,56.7,57.9,56.3,57.1,632700,BCM
2025-05-08,57.3,60.0,57.1,60.0,1054400,BCM
2025-05-09,60.0,60.0,58.8,59.5,648300,BCM
2025-05-12,59.6,61.5,59.2,61.5,649600,BCM
2025-05-13,63.0,63.0,61.5,61.8,744100,BCM
2025-05-14,62.0,62.5,60.6,62.5,637000,BCM
2025-05-15,61.5,62.5,60.8,61.0,369200,BCM
2025-05-16,61.0,61.2,59.8,61.0,792500,BCM
2025-05-19,60.5,60.9,59.9,60.7,564100,BCM
2025-05-20,60.7,61.9,60.1,60.7,332400,BCM
2025-05-21,61.0,61.2,60.1,60.9,281500,BCM
2025-05-22,60.7,60.7,59.7,59.7,287100,BCM
2025-05-23,59.7,60.0,58.0,58.8,265800,BCM
2025-05-26,58.4,61.8,57.2,61.7,590100,BCM
2025-05-27,62.5,62.5,61.1,61.6,572400,BCM
2025-05-28,61.8,62.2,60.9,61.5,421300,BCM
2025-05-29,62.0,63.8,62.0,62.2,904800,BCM
2025-05-30,62.6,62.6,60.5,60.6,349900,BCM
2025-06-02,60.5,61.4,59.5,60.0,317900,BCM
2025-06-03,60.0,61.1,60.0,61.1,389200,BCM
2025-06-04,61.5,61.6,60.5,60.8,295900,BCM
2025-06-05,60.8,61.4,59.9,60.9,606400,BCM
2025-06-06,61.2,62.4,60.9,60.9,648900,BCM
2025-06-09,61.0,61.2,59.5,59.7,465300,BCM
2025-06-10,60.2,60.2,59.1,59.3,372100,BCM
2025-06-11,59.4,59.4,58.3,58.5,464300,BCM
2025-06-12,59.8,59.8,58.8,59.2,351000,BCM
2025-06-13,58.3,59.5,57.5,59.5,592600,BCM
2025-06-16,58.6,59.6,58.6,59.5,362600,BCM
2025-06-17,60.1,60.2,58.9,59.3,447100,BCM
2025-06-18,59.3,59.9,58.8,59.4,383700,BCM
2025-06-19,59.4,59.6,58.4,59.0,375300,BCM
2025-06-20,59.0,59.5,58.4,58.6,341000,BCM
2025-06-23,58.6,60.6,58.2,60.1,594700,BCM
2025-06-24,60.6,61.5,60.3,61.5,1078700,BCM
2025-06-25,61.8,61.8,61.2,61.8,599300,BCM
2025-06-26,61.9,62.1,61.2,62.1,492400,BCM
2025-06-27,62.1,63.0,61.8,63.0,742500,BCM
2025-06-30,63.1,64.2,63.1,64.2,626300,BCM
2025-07-01,64.6,64.8,62.8,64.5,967500,BCM
2025-07-02,64.5,68.8,64.0,68.2,1408200,BCM
2025-07-03,66.0,67.1,63.5,66.4,1607100,BCM
2025-07-04,66.4,66.4,64.5,65.5,595200,BCM
2025-07-07,66.4,66.4,65.0,66.0,592000,BCM
2025-07-08,67.0,67.5,66.3,67.5,700400,BCM
2025-07-09,67.5,68.6,67.0,68.6,803600,BCM
2025-07-10,68.6,69.1,68.0,68.6,567700,BCM
2025-07-11,68.5,68.6,67.8,68.0,514500,BCM
2025-07-14,68.2,68.5,66.0,68.5,666700,BCM
2025-07-15,68.6,68.6,67.0,67.0,424900,BCM
2025-07-16,66.9,67.4,66.7,67.1,306600,BCM
2025-07-17,67.7,68.4,67.0,67.3,358500,BCM
2025-07-18,67.6,69.1,67.3,67.7,587500,BCM
2025-07-21,68.0,68.0,66.7,66.8,374200,BCM
2025-07-22,66.7,68.2,66.2,68.2,359300,BCM
2025-07-23,68.5,69.9,67.6,69.2,822100,BCM
2025-07-24,69.4,70.9,69.0,69.9,902700,BCM
2025-07-25,69.9,70.2,69.3,69.8,620100,BCM
2025-07-28,69.9,69.9,68.5,69.7,1371300,BCM
2025-07-29,69.9,69.9,66.7,68.1,960200,BCM
2025-07-30,67.7,69.2,67.1,69.0,504200,BCM
2025-07-31,73.0,73.0,69.6,71.7,1801500,BCM
2025-08-01,71.7,71.9,69.5,69.9,456600,BCM
2025-08-04,69.9,71.0,68.9,71.0,799000,BCM
2025-08-05,71.0,71.5,68.0,68.9,919800,BCM
2025-08-06,69.2,69.7,68.4,69.7,633500,BCM
2025-08-07,70.5,71.8,69.8,70.6,786600,BCM
2025-08-08,70.6,70.9,69.5,70.6,547000,BCM
2025-08-11,70.9,72.9,69.5,70.7,1211100,BCM
2025-08-12,71.4,71.6,70.0,71.5,662300,BCM
2025-08-13,71.2,72.0,70.0,71.0,843700,BCM
2025-08-14,71.1,71.8,69.9,70.5,846000,BCM
2025-08-15,70.8,71.1,69.0,70.2,529900,BCM
2025-08-18,70.1,70.5,69.4,70.0,382600,BCM
2025-08-19,70.0,70.5,69.6,70.5,609200,BCM
2025-08-20,70.4,71.0,68.6,70.5,649000,BCM
2025-08-21,70.4,70.7,68.9,69.9,478400,BCM
2025-08-22,68.5,68.9,66.5,66.5,484100,BCM
2025-08-25,66.5,67.2,65.0,65.0,399700,BCM
2025-08-26,64.6,69.0,64.0,69.0,422800,BCM
2025-08-27,68.0,68.3,67.0,67.9,413100,BCM
2025-08-28,67.5,68.0,66.6,68.0,595000,BCM
2025-08-29,67.7,67.8,66.5,67.0,614900,BCM
