date,open,high,low,close,volume,ticker
2024-01-02,96.9,96.9,95.7,95.9,1714500,FPT
2024-01-03,95.6,96.5,95.4,96.3,1436900,FPT
2024-01-04,96.3,98.4,96.2,97.2,2973900,FPT
2024-01-05,97.3,97.5,96.5,97.4,1138600,FPT
2024-01-08,97.4,98.3,97.1,97.3,1443000,FPT
2024-01-09,97.3,97.3,96.6,96.6,1211700,FPT
2024-01-10,96.7,96.9,94.5,94.7,3302500,FPT
2024-01-11,94.7,95.4,94.7,95.0,1370900,FPT
2024-01-12,94.8,95.6,94.1,94.7,2597000,FPT
2024-01-15,95.0,95.9,94.9,95.4,1312200,FPT
2024-01-16,94.7,95.7,94.7,95.7,810000,FPT
2024-01-17,95.6,96.0,95.0,95.7,1414000,FPT
2024-01-18,95.7,96.0,95.2,95.6,1136900,FPT
2024-01-19,96.0,96.9,95.7,96.3,1493200,FPT
2024-01-22,96.8,96.8,95.8,96.4,1108000,FPT
2024-01-23,96.1,96.4,95.4,95.6,1480400,FPT
2024-01-24,95.8,95.8,94.9,95.0,1722100,FPT
2024-01-25,95.1,95.7,94.8,95.1,845100,FPT
2024-01-26,95.5,96.2,95.3,95.9,925400,FPT
2024-01-29,95.9,96.1,95.3,95.9,1060700,FPT
2024-01-30,95.9,95.9,95.4,95.6,949000,FPT
2024-01-31,95.6,96.0,95.5,95.7,1381500,FPT
2024-02-01,95.9,99.9,95.7,99.9,7793700,FPT
2024-02-02,100.2,102.2,100.1,102.0,2876100,FPT
2024-02-05,102.0,104.1,101.9,103.5,2694400,FPT
2024-02-06,103.6,105.0,102.9,104.1,1884300,FPT
2024-02-07,104.7,105.0,103.9,104.9,2125400,FPT
2024-02-15,105.2,105.5,103.8,104.0,2248400,FPT
2024-02-16,104.0,105.1,103.8,105.1,2066000,FPT
2024-02-19,105.5,107.0,105.0,105.0,2031800,FPT
2024-02-20,105.2,105.2,104.0,104.3,1844300,FPT
2024-02-21,104.0,106.9,103.5,105.9,3137500,FPT
2024-02-22,105.9,106.0,104.6,104.6,1718700,FPT
2024-02-23,105.5,106.7,103.3,103.9,4103500,FPT
2024-02-26,103.9,108.0,103.5,108.0,4466700,FPT
2024-02-27,108.5,109.5,107.4,107.9,2800800,FPT
2024-02-28,108.0,108.5,106.3,108.5,3461700,FPT
2024-02-29,108.2,109.4,107.7,109.0,2824800,FPT
2024-03-01,109.2,111.4,109.1,110.8,4019400,FPT
2024-03-04,111.0,111.8,110.8,111.4,3087100,FPT
2024-03-05,111.4,111.4,109.9,110.7,3383000,FPT
2024-03-06,110.0,110.4,108.7,109.0,2491100,FPT
2024-03-07,109.1,113.9,108.2,111.3,4037600,FPT
2024-03-08,111.3,112.6,109.5,110.0,3115600,FPT
2024-03-11,110.0,113.5,110.0,110.0,3381500,FPT
2024-03-12,110.0,113.5,110.0,111.9,2907800,FPT
2024-03-13,112.8,117.0,112.0,117.0,5114200,FPT
2024-03-14,118.5,118.5,115.7,117.0,3463000,FPT
2024-03-15,116.8,116.8,114.5,116.0,3838400,FPT
2024-03-18,115.8,115.8,111.1,113.0,5884600,FPT
2024-03-19,113.0,113.0,111.1,112.0,3315400,FPT
2024-03-20,112.3,115.0,111.1,114.5,3475700,FPT
2024-03-21,115.2,116.2,114.6,116.2,3757800,FPT
2024-03-22,116.3,116.3,114.5,114.9,2414800,FPT
2024-03-25,114.1,115.1,113.8,114.0,2794400,FPT
2024-03-26,114.0,115.5,113.6,115.0,1693300,FPT
2024-03-27,114.7,115.3,114.1,115.2,1320200,FPT
2024-03-28,115.9,117.4,115.3,117.1,2803200,FPT
2024-03-29,116.4,117.2,116.0,116.5,1343500,FPT
2024-04-01,116.0,117.6,115.2,116.8,1974600,FPT
2024-04-02,115.4,117.0,115.4,117.0,2285800,FPT
2024-04-03,116.1,117.0,115.1,115.1,2549000,FPT
2024-04-04,115.0,115.8,114.0,114.0,2359500,FPT
2024-04-05,113.1,114.7,112.6,113.7,2759000,FPT
2024-04-08,113.7,113.7,112.6,112.6,1952000,FPT
2024-04-09,112.6,113.2,112.5,113.0,1432500,FPT
2024-04-10,113.5,115.6,113.3,113.8,1791100,FPT
2024-04-11,113.5,115.4,113.3,114.9,1549400,FPT
2024-04-12,115.9,115.9,114.3,115.5,1367300,FPT
2024-04-15,115.5,115.6,111.5,111.6,3701900,FPT
2024-04-16,112.0,113.2,111.5,113.0,3642700,FPT
2024-04-17,113.1,113.1,111.6,111.8,1943300,FPT
2024-04-19,110.5,111.2,109.0,109.0,5361100,FPT
2024-04-22,110.0,111.4,108.9,110.3,2397300,FPT
2024-04-23,110.9,113.3,109.9,112.3,4037600,FPT
2024-04-24,113.6,120.1,113.2,120.1,10158700,FPT
2024-04-25,122.5,128.0,121.9,123.2,5707700,FPT
2024-04-26,123.0,125.4,122.2,123.2,3396500,FPT
2024-05-02,123.8,129.0,123.5,127.3,3469300,FPT
2024-05-03,128.1,128.4,125.6,125.9,3191200,FPT
2024-05-06,126.5,127.6,124.5,127.6,2704600,FPT
2024-05-07,128.0,131.6,127.2,131.3,3122800,FPT
2024-05-08,130.1,131.0,129.3,131.0,3017800,FPT
2024-05-09,130.6,132.8,130.0,130.3,2203300,FPT
2024-05-10,131.3,132.2,129.2,131.0,3789700,FPT
2024-05-13,131.3,131.5,128.8,129.7,1852200,FPT
2024-05-14,130.0,131.7,129.6,130.5,2304600,FPT
2024-05-15,131.5,134.5,131.3,134.1,3653100,FPT
2024-05-16,135.6,137.3,134.2,135.4,3119000,FPT
2024-05-17,135.4,136.0,133.7,134.5,2306400,FPT
2024-05-20,135.2,136.1,133.0,133.0,2013500,FPT
2024-05-21,134.0,136.0,133.5,136.0,3471900,FPT
2024-05-22,137.9,139.7,136.1,138.0,4511800,FPT
2024-05-23,137.5,137.8,135.0,137.5,3621500,FPT
2024-05-24,138.0,138.0,130.6,131.9,13375600,FPT
2024-05-27,133.0,133.5,130.6,132.8,5157800,FPT
2024-05-28,134.0,137.0,133.1,137.0,4625300,FPT
2024-05-29,137.1,138.2,134.8,135.7,5837600,FPT
2024-05-30,133.8,135.0,131.9,135.0,7261300,FPT
2024-05-31,135.0,136.8,133.8,134.6,2633500,FPT
2024-06-03,135.0,137.6,134.7,136.9,7773600,FPT
2024-06-04,139.0,139.3,137.8,139.1,7009800,FPT
2024-06-05,140.0,144.9,139.7,140.1,6321600,FPT
2024-06-06,140.3,141.7,138.8,139.6,5211800,FPT
2024-06-07,141.0,142.0,140.5,142.0,3756900,FPT
2024-06-10,143.5,145.0,143.0,144.0,3775400,FPT
2024-06-11,144.3,146.5,143.1,146.5,6327300,FPT
2024-06-12,127.9,132.7,127.8,132.0,11215500,FPT
2024-06-13,133.7,133.8,130.0,130.0,8136200,FPT
2024-06-14,130.1,132.6,129.0,131.0,6406200,FPT
2024-06-17,131.0,131.4,128.5,128.8,4867600,FPT
2024-06-18,128.8,129.7,128.0,128.0,6680000,FPT
2024-06-19,128.0,132.8,126.6,131.5,9669200,FPT
2024-06-20,133.0,135.7,131.8,133.3,10465700,FPT
2024-06-21,133.9,136.1,133.3,136.1,7653300,FPT
2024-06-24,135.0,135.5,132.0,132.1,13186900,FPT
2024-06-25,131.0,131.1,128.6,130.0,13706800,FPT
2024-06-26,131.0,131.8,129.4,131.8,7147400,FPT
2024-06-27,131.3,134.1,130.8,132.8,6403700,FPT
2024-06-28,132.8,132.8,130.4,130.5,6633000,FPT
2024-07-01,130.4,130.4,128.5,128.6,6376000,FPT
2024-07-02,128.6,132.1,127.5,128.0,6720600,FPT
2024-07-03,130.5,132.8,130.1,131.0,7634100,FPT
2024-07-04,132.1,135.8,132.1,135.8,8117900,FPT
2024-07-05,136.1,139.7,136.1,138.7,7789400,FPT
2024-07-08,138.5,139.6,137.5,139.6,5865700,FPT
2024-07-09,139.1,139.3,136.0,137.5,9676100,FPT
2024-07-10,136.0,137.0,134.0,134.0,6294700,FPT
2024-07-11,134.1,135.4,132.5,133.0,6842100,FPT
2024-07-12,132.2,136.0,132.2,133.8,3553400,FPT
2024-07-15,133.5,134.8,132.3,132.7,3067200,FPT
2024-07-16,133.6,134.5,132.3,134.0,4002300,FPT
2024-07-17,134.0,134.1,129.9,131.9,6970100,FPT
2024-07-18,131.4,131.4,127.8,127.9,10800200,FPT
2024-07-19,128.6,129.3,126.0,126.0,6551700,FPT
2024-07-22,126.0,126.0,123.2,124.1,6216900,FPT
2024-07-23,124.9,127.5,124.8,125.5,5311600,FPT
2024-07-24,125.5,126.6,124.0,126.0,4151700,FPT
2024-07-25,124.2,125.5,124.1,125.0,2563400,FPT
2024-07-26,125.9,128.0,124.4,128.0,3951100,FPT
2024-07-29,130.0,130.6,129.0,129.0,4859800,FPT
2024-07-30,129.0,129.5,127.0,128.0,2373800,FPT
2024-07-31,127.3,128.6,126.6,128.6,2869200,FPT
2024-08-01,129.6,129.7,124.1,124.8,6870300,FPT
2024-08-02,122.1,124.8,121.0,123.2,9944700,FPT
2024-08-05,121.1,122.9,117.4,118.6,10415200,FPT
2024-08-06,120.0,121.9,119.8,120.8,6728100,FPT
2024-08-07,121.0,122.0,120.2,122.0,2822800,FPT
2024-08-08,121.6,122.4,120.9,121.4,2654900,FPT
2024-08-09,122.4,126.9,122.0,126.9,5496400,FPT
2024-08-12,126.9,130.2,126.2,130.0,6183500,FPT
2024-08-13,129.7,130.2,128.0,129.7,4097900,FPT
2024-08-14,130.7,131.5,129.5,129.5,2862200,FPT
2024-08-15,129.1,129.5,128.2,128.7,2257600,FPT
2024-08-16,129.1,131.0,129.1,130.6,5093600,FPT
2024-08-19,131.1,131.4,130.0,130.5,2498400,FPT
2024-08-20,130.7,132.5,130.7,131.5,3741400,FPT
2024-08-21,130.6,133.8,130.6,133.5,6119700,FPT
2024-08-22,134.0,134.5,133.5,133.8,3020500,FPT
2024-08-23,133.7,133.7,132.4,133.1,3055000,FPT
2024-08-26,133.3,133.5,131.5,131.5,2590300,FPT
2024-08-27,131.5,132.6,130.4,132.5,2338500,FPT
2024-08-28,133.0,134.5,132.9,133.3,2711500,FPT
2024-08-29,132.8,133.8,132.2,133.7,2092700,FPT
2024-08-30,133.5,134.9,133.0,134.8,3315800,FPT
2024-09-04,133.0,133.0,131.5,133.0,4535200,FPT
2024-09-05,133.0,133.0,129.7,130.6,8055600,FPT
2024-09-06,130.5,132.9,130.3,132.1,3821400,FPT
2024-09-09,130.8,131.9,130.1,131.3,2885200,FPT
2024-09-10,131.0,131.0,129.6,130.0,4195100,FPT
2024-09-11,130.0,131.3,129.8,130.6,3190400,FPT
2024-09-12,131.0,132.5,131.0,132.3,4118000,FPT
2024-09-13,132.2,133.4,132.0,133.0,3186800,FPT
2024-09-16,131.8,133.0,131.1,131.1,1915700,FPT
2024-09-17,131.2,132.9,131.2,132.9,2651400,FPT
2024-09-18,133.4,135.2,132.9,134.6,5379600,FPT
2024-09-19,135.0,135.8,134.3,135.2,5154300,FPT
2024-09-20,136.3,137.0,135.0,135.3,3719700,FPT
2024-09-23,135.9,135.9,133.4,134.0,2441200,FPT
2024-09-24,134.0,134.7,133.7,134.5,2011400,FPT
2024-09-25,134.3,134.8,133.6,134.8,4479900,FPT
2024-09-26,135.0,135.0,133.9,134.3,2815600,FPT
2024-09-27,134.3,134.4,133.5,134.2,3352800,FPT
2024-09-30,134.2,134.5,133.0,134.5,3030500,FPT
2024-10-01,134.7,136.2,134.7,135.9,4725900,FPT
2024-10-02,134.6,135.9,134.6,135.4,1719800,FPT
2024-10-03,135.4,136.1,134.0,134.0,2300800,FPT
2024-10-04,134.3,134.8,133.5,134.1,1468400,FPT
2024-10-07,134.2,134.9,133.6,134.1,1330500,FPT
2024-10-08,134.1,135.1,133.6,133.8,2108600,FPT
2024-10-09,134.3,135.8,134.3,135.4,2619900,FPT
2024-10-10,135.8,142.0,135.8,141.7,9952200,FPT
2024-10-11,142.0,142.8,139.6,139.6,3813600,FPT
2024-10-14,141.1,141.3,137.1,137.6,5605300,FPT
2024-10-15,137.6,138.6,136.6,137.0,2860800,FPT
2024-10-16,136.4,137.1,136.0,136.3,2756000,FPT
2024-10-17,136.5,137.1,135.5,137.0,2579200,FPT
2024-10-18,137.4,137.8,136.6,137.0,2169400,FPT
2024-10-21,137.0,137.7,135.5,135.5,2681300,FPT
2024-10-22,135.7,135.7,133.0,133.1,6009200,FPT
2024-10-23,132.9,134.8,132.6,134.2,3015100,FPT
2024-10-24,134.2,134.3,133.8,134.3,2277200,FPT
2024-10-25,134.3,134.6,133.6,134.0,1839000,FPT
2024-10-28,134.1,135.0,133.6,134.9,1506000,FPT
2024-10-29,135.4,135.5,134.8,135.4,2459200,FPT
2024-10-30,135.4,135.9,135.2,135.9,1709800,FPT
2024-10-31,135.9,136.0,135.3,135.9,1241700,FPT
2024-11-01,135.0,135.0,133.6,134.6,2667500,FPT
2024-11-04,134.6,134.6,132.7,132.8,3182900,FPT
2024-11-05,133.0,134.0,132.3,132.6,1657100,FPT
2024-11-06,133.1,134.6,133.0,134.6,1801500,FPT
2024-11-07,135.3,137.6,134.2,135.1,3570500,FPT
2024-11-08,136.1,136.8,135.1,135.8,2106300,FPT
2024-11-11,136.5,139.5,136.0,138.3,5292000,FPT
2024-11-12,138.6,138.9,135.9,136.8,2914700,FPT
2024-11-13,136.7,138.1,136.1,137.8,3455400,FPT
2024-11-14,137.9,139.9,136.0,136.0,4736300,FPT
2024-11-15,135.3,135.7,132.6,133.9,6563600,FPT
2024-11-18,134.0,134.6,132.5,134.0,3903400,FPT
2024-11-19,133.5,133.6,129.9,130.0,7642800,FPT
2024-11-20,130.0,132.4,126.7,132.4,8460300,FPT
2024-11-21,132.4,133.0,131.0,133.0,3176700,FPT
2024-11-22,132.9,134.4,132.5,133.9,2915900,FPT
2024-11-25,134.0,134.0,133.2,133.9,1849700,FPT
2024-11-26,133.4,135.9,133.3,135.2,4176100,FPT
2024-11-27,135.2,139.7,135.2,138.9,9814300,FPT
2024-11-28,139.4,140.0,138.3,139.4,4742700,FPT
2024-11-29,139.4,145.4,139.0,144.3,11586700,FPT
2024-12-02,144.3,146.0,141.6,142.2,6616800,FPT
2024-12-03,141.7,145.9,141.7,145.0,5103700,FPT
2024-12-04,145.0,146.3,142.8,143.5,5609100,FPT
2024-12-05,144.0,148.5,143.6,148.5,4849200,FPT
2024-12-06,151.9,151.9,148.0,149.5,4541200,FPT
2024-12-09,149.2,149.5,146.1,147.0,4539000,FPT
2024-12-10,147.1,149.5,147.0,149.5,3597200,FPT
2024-12-11,150.0,151.7,149.7,150.5,4816600,FPT
2024-12-12,151.9,151.9,149.2,150.2,4147900,FPT
2024-12-13,149.5,150.9,149.4,149.5,3379800,FPT
2024-12-16,149.6,150.6,149.5,149.9,3291100,FPT
2024-12-17,150.1,150.5,147.7,148.0,5947500,FPT
2024-12-18,148.0,149.8,148.0,148.7,2923400,FPT
2024-12-19,147.3,149.0,147.2,148.1,4805200,FPT
2024-12-20,148.5,150.6,148.3,149.5,3538900,FPT
2024-12-23,149.5,149.9,148.7,149.8,2514800,FPT
2024-12-24,150.0,150.8,149.4,150.4,2300900,FPT
2024-12-25,150.6,151.2,150.4,150.8,2513100,FPT
2024-12-26,151.0,151.4,149.1,149.8,2233300,FPT
2024-12-27,149.5,149.9,148.7,149.6,2561700,FPT
2024-12-30,149.4,150.8,148.5,150.5,1982400,FPT
