date,open,high,low,close,volume,ticker
2015-01-05,70.0,70.5,68.5,69.0,319840,GAS
2015-01-06,67.0,68.5,67.0,68.0,345050,GAS
2015-01-07,67.0,69.5,67.0,69.0,509250,GAS
2015-01-08,70.0,70.5,69.5,69.5,290220,GAS
2015-01-09,70.0,74.0,70.0,74.0,859620,GAS
2015-01-12,79.0,79.0,79.0,79.0,671210,GAS
2015-01-13,78.0,82.0,78.0,80.5,1270070,GAS
2015-01-14,79.0,79.5,76.5,77.5,705280,GAS
2015-01-15,78.0,79.0,77.0,78.5,403100,GAS
2015-01-16,78.0,79.0,77.0,77.5,334230,GAS
2015-01-19,77.5,78.5,76.0,76.5,258660,GAS
2015-01-20,77.0,78.0,76.5,77.5,456860,GAS
2015-01-21,77.5,78.0,77.0,77.5,271070,GAS
2015-01-22,77.5,78.5,77.5,78.5,269320,GAS
2015-01-23,79.0,81.0,78.5,81.0,641740,GAS
2015-01-26,81.5,82.0,80.0,80.0,327410,GAS
2015-01-27,80.0,80.0,78.5,79.5,313480,GAS
2015-01-28,80.0,80.0,78.0,78.5,253270,GAS
2015-01-29,78.0,78.5,77.5,77.5,111790,GAS
2015-01-30,78.5,78.5,77.0,77.0,268300,GAS
2015-02-02,77.5,78.0,76.5,76.5,82200,GAS
2015-02-03,77.5,79.0,76.5,76.5,335140,GAS
2015-02-04,78.0,79.0,77.5,78.5,479230,GAS
2015-02-05,78.0,79.0,77.5,78.5,268680,GAS
2015-02-06,79.5,80.5,79.0,79.5,409620,GAS
2015-02-09,80.0,80.0,79.0,79.0,250850,GAS
2015-02-10,80.0,80.0,78.5,78.5,169730,GAS
2015-02-11,78.5,78.5,77.5,78.0,182290,GAS
2015-02-12,78.5,79.0,76.5,79.0,400480,GAS
2015-02-13,79.5,80.0,79.0,79.0,196250,GAS
2015-02-24,79.5,79.5,79.0,79.5,131510,GAS
2015-02-25,79.5,79.5,78.5,78.5,233210,GAS
2015-02-26,79.0,79.0,77.5,78.5,185200,GAS
2015-02-27,78.5,79.0,77.5,79.0,289710,GAS
2015-03-02,78.5,79.0,78.0,78.5,95850,GAS
2015-03-03,78.5,79.0,78.0,78.0,420410,GAS
2015-03-04,78.5,79.5,78.0,79.5,806850,GAS
2015-03-05,80.5,81.5,80.0,80.5,1020720,GAS
2015-03-06,81.0,81.0,79.5,79.5,361220,GAS
2015-03-09,79.5,80.0,78.0,78.0,332440,GAS
2015-03-10,78.0,79.0,78.0,78.5,431920,GAS
2015-03-11,78.5,78.5,77.0,77.5,359610,GAS
2015-03-12,77.0,78.0,77.0,77.5,199670,GAS
2015-03-13,77.0,78.0,76.5,76.5,202010,GAS
2015-03-16,77.5,78.5,76.5,76.5,291740,GAS
2015-03-17,77.0,77.5,76.5,77.0,295300,GAS
2015-03-18,77.0,77.0,75.5,76.0,152790,GAS
2015-03-19,77.0,77.0,75.5,75.5,215120,GAS
2015-03-20,77.0,76.5,75.0,75.5,384350,GAS
2015-03-23,75.5,77.5,75.5,76.0,476500,GAS
2015-03-24,76.0,76.5,73.5,75.0,384090,GAS
2015-03-25,75.0,75.5,70.0,70.0,1296740,GAS
2015-03-26,68.0,69.0,65.5,67.0,1157060,GAS
2015-03-27,68.5,69.5,65.5,65.5,719800,GAS
2015-03-30,65.5,67.0,64.0,64.0,444770,GAS
2015-03-31,64.0,66.5,63.5,66.0,1041160,GAS
2015-04-01,64.0,66.5,61.5,62.0,1028480,GAS
2015-04-02,62.5,63.5,61.0,63.0,546750,GAS
2015-04-03,64.0,64.0,62.5,64.0,291480,GAS
2015-04-06,64.0,64.0,62.5,62.5,524550,GAS
2015-04-07,62.5,63.5,61.5,62.5,409230,GAS
2015-04-08,63.5,64.0,62.0,62.5,406840,GAS
2015-04-09,62.5,62.5,61.5,62.0,319300,GAS
2015-04-10,62.0,62.5,61.5,62.0,418270,GAS
2015-04-13,62.0,64.0,62.0,63.0,404770,GAS
2015-04-14,63.5,65.0,63.0,64.0,548310,GAS
2015-04-15,64.5,68.0,64.5,67.5,1192200,GAS
2015-04-16,69.5,69.5,67.5,67.5,648620,GAS
2015-04-17,67.5,69.0,66.5,66.5,1311260,GAS
2015-04-20,66.5,67.0,65.0,65.5,594950,GAS
2015-04-21,65.0,66.5,65.0,65.0,493320,GAS
2015-04-22,65.0,65.5,64.5,65.0,337590,GAS
2015-04-23,65.0,65.0,63.5,64.5,324800,GAS
2015-04-24,65.0,67.0,64.0,66.0,869410,GAS
2015-04-27,66.5,66.5,65.5,66.0,236030,GAS
2015-05-04,67.0,67.0,62.5,62.5,511070,GAS
2015-05-05,62.5,63.5,61.5,63.0,432150,GAS
2015-05-06,64.0,66.0,63.5,64.0,544250,GAS
2015-05-07,64.0,64.5,63.5,63.5,138300,GAS
2015-05-08,63.5,64.0,63.0,63.5,152640,GAS
2015-05-11,63.5,64.0,62.5,63.0,346780,GAS
2015-05-12,63.0,63.5,62.0,62.0,270730,GAS
2015-05-13,62.5,62.5,61.5,62.0,387320,GAS
2015-05-14,62.0,63.0,61.5,62.0,293250,GAS
2015-05-15,62.0,62.5,61.0,61.0,399800,GAS
2015-05-18,61.0,61.0,58.0,58.0,458080,GAS
2015-05-19,59.0,61.0,58.0,61.0,452250,GAS
2015-05-20,60.5,63.5,60.0,63.5,396180,GAS
2015-05-21,63.5,64.0,62.5,63.0,284220,GAS
2015-05-22,63.5,64.0,62.5,64.0,348700,GAS
2015-05-25,64.0,64.5,63.0,64.0,178580,GAS
2015-05-26,64.0,64.5,63.0,63.5,335220,GAS
2015-05-27,63.5,63.5,62.5,62.5,162200,GAS
2015-05-28,62.5,63.5,62.0,63.5,221430,GAS
2015-05-29,63.5,63.5,62.5,62.5,166190,GAS
2015-06-01,63.0,63.0,62.0,62.0,221080,GAS
2015-06-02,62.5,62.5,61.5,61.5,173200,GAS
2015-06-03,62.0,63.0,62.0,62.5,96830,GAS
2015-06-04,62.0,63.0,62.0,62.0,88840,GAS
2015-06-05,62.0,64.0,62.0,64.0,477570,GAS
2015-06-08,64.0,65.0,63.0,63.5,434550,GAS
2015-06-09,63.5,64.0,62.5,62.5,167890,GAS
2015-06-10,63.0,64.0,62.5,63.5,211270,GAS
2015-06-11,64.0,67.0,64.0,66.0,1166050,GAS
2015-06-12,67.0,67.0,65.5,66.0,513670,GAS
2015-06-15,66.0,66.0,64.5,65.0,119500,GAS
2015-06-16,65.0,65.0,63.5,63.5,235210,GAS
2015-06-17,63.5,64.0,63.0,63.0,144770,GAS
2015-06-18,63.0,64.0,62.5,63.0,200850,GAS
2015-06-19,64.0,64.0,63.0,63.0,187420,GAS
2015-06-22,63.0,63.5,62.5,63.5,242180,GAS
2015-06-23,63.5,64.5,63.5,63.5,203460,GAS
2015-06-24,64.0,64.5,63.0,63.5,190740,GAS
2015-06-25,63.5,63.5,62.0,62.5,511820,GAS
2015-06-26,62.5,63.0,62.0,62.0,302220,GAS
2015-06-29,62.0,63.0,61.5,63.0,424890,GAS
2015-06-30,62.5,64.0,62.0,62.0,632010,GAS
2015-07-01,63.0,63.0,62.0,62.0,470410,GAS
