date,open,high,low,close,volume,ticker
2024-01-02,21.45,21.45,20.9,20.95,2681000,GVR
2024-01-03,20.9,21.9,20.8,21.6,4320100,GVR
2024-01-04,21.5,21.75,21.4,21.4,2912300,GVR
2024-01-05,21.5,21.95,21.45,21.8,2868500,GVR
2024-01-08,22.0,22.0,21.5,21.5,1878400,GVR
2024-01-09,21.65,21.65,21.0,21.4,3126900,GVR
2024-01-10,21.35,21.6,21.1,21.6,1652900,GVR
2024-01-11,21.6,21.65,21.15,21.2,1699700,GVR
2024-01-12,21.0,21.2,20.3,20.4,3546100,GVR
2024-01-15,20.55,20.9,20.4,20.55,2017500,GVR
2024-01-16,20.5,20.95,20.5,20.95,1319800,GVR
2024-01-17,20.95,21.45,20.9,21.2,2063200,GVR
2024-01-18,21.2,21.4,20.95,21.1,1784700,GVR
2024-01-19,21.1,21.65,21.1,21.3,2034500,GVR
2024-01-22,21.45,21.45,20.85,21.05,2143000,GVR
2024-01-23,20.95,21.05,20.8,20.9,1485300,GVR
2024-01-24,20.85,21.3,20.85,20.9,1074100,GVR
2024-01-25,20.9,21.0,20.8,20.9,664000,GVR
2024-01-26,21.0,21.45,20.95,21.45,2436000,GVR
2024-01-29,21.6,22.7,21.6,22.5,6728900,GVR
2024-01-30,22.5,23.3,22.25,22.95,3698000,GVR
2024-01-31,23.1,23.1,22.0,22.4,4073900,GVR
2024-02-01,22.45,23.95,22.45,23.95,5949400,GVR
2024-02-02,24.5,24.9,24.25,24.6,5668700,GVR
2024-02-05,24.8,25.35,24.3,25.05,5140900,GVR
2024-02-06,25.05,25.55,24.8,25.2,2648100,GVR
2024-02-07,25.2,25.4,24.95,25.35,2757100,GVR
2024-02-15,25.4,25.55,24.75,24.95,4639300,GVR
2024-02-16,24.9,26.65,24.85,26.65,7573400,GVR
2024-02-19,26.95,28.2,26.8,26.8,5352800,GVR
2024-02-20,26.9,28.2,26.35,28.2,5439800,GVR
2024-02-21,28.25,28.5,27.7,28.15,3976300,GVR
2024-02-22,28.1,28.3,27.75,27.95,2740800,GVR
2024-02-23,28.1,28.3,26.8,27.55,5825900,GVR
2024-02-26,27.5,29.1,27.3,28.8,7028600,GVR
2024-02-27,28.9,29.4,28.65,28.9,3318500,GVR
2024-02-28,28.9,29.9,28.45,28.9,5552600,GVR
2024-02-29,28.9,28.9,28.15,28.6,4998300,GVR
2024-03-01,28.6,29.25,28.0,29.15,4188200,GVR
2024-03-04,29.65,30.75,29.45,29.8,6026300,GVR
2024-03-05,29.5,29.95,29.35,29.7,2287200,GVR
2024-03-06,29.55,29.65,28.85,28.95,2515100,GVR
2024-03-07,28.85,29.2,28.65,29.1,3414800,GVR
2024-03-08,29.6,29.8,28.5,29.0,5529700,GVR
2024-03-11,29.0,30.35,29.0,29.55,5766000,GVR
2024-03-12,29.55,31.6,29.5,31.6,9490400,GVR
2024-03-13,32.2,33.0,31.8,32.3,3675000,GVR
2024-03-14,32.3,33.15,31.8,32.8,4827500,GVR
2024-03-15,32.8,34.6,32.4,34.6,5677900,GVR
2024-03-18,34.6,35.8,32.2,32.55,13916500,GVR
2024-03-19,32.75,33.9,31.9,32.55,5437600,GVR
2024-03-20,32.65,33.0,32.2,32.8,4024600,GVR
2024-03-21,33.3,33.4,32.6,33.25,4064500,GVR
2024-03-22,33.4,33.7,32.75,33.25,5647400,GVR
2024-03-25,32.8,33.2,31.6,31.9,6119700,GVR
2024-03-26,31.9,34.05,31.85,33.9,5040000,GVR
2024-03-27,33.9,33.9,33.0,33.4,2580500,GVR
2024-03-28,33.55,33.6,33.0,33.05,3194600,GVR
2024-03-29,33.0,33.7,32.9,33.15,3228200,GVR
2024-04-01,33.15,33.35,32.65,32.95,3763000,GVR
2024-04-02,32.8,35.25,32.75,35.25,10181700,GVR
2024-04-03,35.05,35.2,34.25,34.25,3897300,GVR
2024-04-04,34.15,34.4,33.1,33.1,5221500,GVR
2024-04-05,32.8,33.0,31.5,31.5,7351500,GVR
2024-04-08,31.6,32.4,31.3,31.7,3618000,GVR
2024-04-09,32.0,32.35,31.6,32.3,2029700,GVR
2024-04-10,32.45,32.5,31.6,31.65,2554900,GVR
2024-04-11,31.2,32.3,31.15,31.9,2722100,GVR
2024-04-12,31.95,32.25,31.65,32.0,2989100,GVR
2024-04-15,32.0,33.25,29.8,29.8,7398600,GVR
2024-04-16,30.0,30.35,29.3,30.35,5269100,GVR
2024-04-17,30.7,30.7,28.65,28.65,4711100,GVR
2024-04-19,27.5,29.4,27.5,28.1,5880600,GVR
2024-04-22,28.9,29.05,28.2,28.7,2522300,GVR
2024-04-23,28.65,28.9,27.05,27.6,4113200,GVR
2024-04-24,28.1,29.5,27.85,29.5,6235900,GVR
2024-04-25,29.7,30.0,29.15,29.4,3440300,GVR
2024-04-26,29.05,30.45,29.05,30.0,3970200,GVR
2024-05-02,30.0,30.35,29.25,30.0,3824600,GVR
2024-05-03,30.3,30.3,29.35,29.4,3957900,GVR
2024-05-06,29.85,31.25,29.5,31.2,6482900,GVR
2024-05-07,31.3,31.75,30.8,31.45,3851600,GVR
2024-05-08,31.0,32.15,30.5,31.7,5303200,GVR
2024-05-09,31.8,32.7,31.6,31.75,5780200,GVR
2024-05-10,31.8,31.9,31.2,31.65,3561300,GVR
2024-05-13,31.8,32.25,31.3,32.0,3373900,GVR
2024-05-14,32.2,32.85,32.1,32.5,4214600,GVR
2024-05-15,32.85,32.85,32.3,32.75,3872800,GVR
2024-05-16,33.0,33.4,32.5,32.55,4267900,GVR
2024-05-17,32.4,34.15,32.3,33.35,6321300,GVR
2024-05-20,33.65,34.5,33.5,33.6,5485900,GVR
2024-05-21,33.6,33.75,32.9,33.35,4039900,GVR
2024-05-22,33.8,33.95,32.6,32.8,5201400,GVR
2024-05-23,32.6,33.45,32.4,33.4,4457900,GVR
2024-05-24,33.0,35.0,32.8,34.25,12307800,GVR
2024-05-27,34.2,35.95,33.55,35.25,7430800,GVR
2024-05-28,35.5,35.6,34.95,35.6,4463400,GVR
2024-05-29,35.55,36.9,34.8,34.9,6868300,GVR
2024-05-30,34.3,36.25,34.05,36.0,8152400,GVR
2024-05-31,36.1,36.2,35.15,35.15,2634500,GVR
2024-06-03,35.7,35.7,35.0,35.0,4507700,GVR
2024-06-04,35.0,35.75,34.95,35.1,3282900,GVR
2024-06-05,35.5,36.3,35.1,35.15,4617800,GVR
2024-06-06,35.2,35.45,34.6,34.8,3062400,GVR
2024-06-07,34.9,35.2,34.8,35.0,2124000,GVR
2024-06-10,35.25,36.75,35.25,36.2,6186600,GVR
2024-06-11,36.3,36.45,35.25,35.6,4490900,GVR
2024-06-12,35.4,35.8,35.05,35.75,3275500,GVR
2024-06-13,35.95,35.95,35.3,35.35,3580700,GVR
2024-06-14,35.4,35.7,33.0,33.0,5510300,GVR
2024-06-17,33.4,33.9,33.0,33.35,5119400,GVR
2024-06-18,33.8,34.3,33.5,33.95,2555200,GVR
2024-06-19,33.95,34.0,33.4,33.6,3074300,GVR
2024-06-20,33.5,34.0,33.4,34.0,2558700,GVR
2024-06-21,34.0,34.85,34.0,34.55,3665100,GVR
2024-06-24,34.05,34.4,33.0,33.0,4719500,GVR
2024-06-25,33.25,33.7,33.0,33.6,2336500,GVR
2024-06-26,33.95,35.95,33.6,35.95,10259700,GVR
2024-06-27,35.95,36.8,35.3,36.0,6491300,GVR
2024-06-28,36.0,36.05,33.5,34.2,7376400,GVR
2024-07-01,34.2,34.45,33.6,34.3,3247900,GVR
2024-07-02,34.45,34.8,34.15,34.6,2052100,GVR
2024-07-03,34.6,35.1,34.4,34.6,3127200,GVR
2024-07-04,34.5,35.55,34.15,35.0,5654700,GVR
2024-07-05,35.0,35.45,34.6,35.1,3118000,GVR
2024-07-08,35.35,36.5,35.1,36.5,6637100,GVR
2024-07-09,37.4,38.5,37.15,38.0,8135400,GVR
2024-07-10,38.15,38.3,37.0,37.0,5595000,GVR
2024-07-11,37.5,37.8,36.65,36.95,3800800,GVR
