date,open,high,low,close,volume,ticker
2024-01-02,20.0,20.25,19.7,19.9,6716700,HDB
2024-01-03,19.9,20.0,19.8,20.0,8191900,HDB
2024-01-04,20.05,20.55,19.95,20.4,11205900,HDB
2024-01-05,20.4,20.5,20.2,20.5,6534200,HDB
2024-01-08,20.55,20.75,20.45,20.55,5512500,HDB
2024-01-09,20.55,20.6,20.4,20.55,6278100,HDB
2024-01-10,20.55,20.7,20.4,20.7,6372700,HDB
2024-01-11,20.7,20.85,20.65,20.8,5494800,HDB
2024-01-12,20.8,20.9,20.5,20.9,5939300,HDB
2024-01-15,20.95,21.0,20.65,21.0,6596800,HDB
2024-01-16,20.95,21.05,20.8,21.0,6365800,HDB
2024-01-17,21.0,21.0,20.55,20.85,7111200,HDB
2024-01-18,20.85,20.9,20.7,20.8,5720600,HDB
2024-01-19,20.8,20.95,20.75,20.95,7102600,HDB
2024-01-22,21.0,21.2,20.8,21.2,7951600,HDB
2024-01-23,21.2,21.25,20.8,21.0,6413600,HDB
2024-01-24,21.0,21.15,20.85,21.15,7038900,HDB
2024-01-25,21.15,21.15,20.9,21.05,5419800,HDB
2024-01-26,21.05,21.35,21.05,21.3,6671900,HDB
2024-01-29,21.3,21.4,21.25,21.4,5915200,HDB
2024-01-30,21.45,21.95,21.4,21.85,6298600,HDB
2024-01-31,21.85,22.0,21.5,21.8,5774700,HDB
2024-02-01,21.8,21.9,21.7,21.8,6251200,HDB
2024-02-02,21.8,22.35,21.8,22.35,9315300,HDB
2024-02-05,22.35,22.7,22.2,22.65,9564100,HDB
2024-02-06,22.65,23.05,22.6,23.0,6045600,HDB
2024-02-07,23.05,23.55,22.95,23.55,5967300,HDB
2024-02-15,23.65,23.8,23.25,23.65,6878100,HDB
2024-02-16,23.6,23.65,23.2,23.3,6111700,HDB
2024-02-19,23.3,23.35,22.95,23.35,6618400,HDB
2024-02-20,23.3,23.65,23.0,23.6,6840900,HDB
2024-02-21,23.55,23.75,23.2,23.5,6161800,HDB
2024-02-22,23.5,23.5,22.9,22.9,7166400,HDB
2024-02-23,22.9,23.05,22.5,22.5,7478000,HDB
2024-02-26,22.5,22.9,22.45,22.7,5605100,HDB
2024-02-27,22.7,23.0,22.55,22.7,6314600,HDB
2024-02-28,22.7,23.2,22.7,23.2,6189000,HDB
2024-02-29,23.2,23.4,23.15,23.3,6024000,HDB
2024-03-01,23.3,23.35,22.95,23.3,6105500,HDB
2024-03-04,23.3,23.35,23.1,23.3,5918000,HDB
2024-03-05,23.3,23.5,23.0,23.5,6840800,HDB
2024-03-06,23.35,23.5,23.25,23.35,3480400,HDB
2024-03-07,23.1,23.4,23.1,23.15,5641400,HDB
2024-03-08,23.15,23.15,22.75,23.0,6184400,HDB
2024-03-11,23.0,23.15,22.75,23.1,6432300,HDB
2024-03-12,23.05,23.05,22.45,22.95,6583000,HDB
2024-03-13,22.95,23.2,22.6,23.1,6348800,HDB
2024-03-14,23.15,23.15,22.75,22.95,5685700,HDB
2024-03-15,22.8,23.1,22.65,23.0,5970800,HDB
2024-03-18,23.0,23.05,22.3,22.3,6625200,HDB
2024-03-19,22.3,22.35,21.55,22.35,8886200,HDB
2024-03-20,22.4,22.8,21.8,22.6,6221500,HDB
2024-03-21,22.65,23.9,22.55,23.9,11192400,HDB
2024-03-22,23.9,23.95,23.65,23.8,6529100,HDB
2024-03-25,23.8,23.8,23.35,23.55,6285100,HDB
2024-03-26,23.5,24.2,23.4,24.2,7234100,HDB
2024-03-27,24.3,24.5,23.95,24.15,5709200,HDB
2024-03-28,24.0,24.25,24.0,24.25,5404000,HDB
2024-03-29,24.3,24.3,23.8,24.1,6435200,HDB
2024-04-01,24.1,24.15,23.65,24.0,6006100,HDB
2024-04-02,23.7,23.95,23.5,23.9,5775100,HDB
2024-04-03,23.85,23.9,23.35,23.4,6572300,HDB
2024-04-04,23.4,23.8,23.35,23.35,6108000,HDB
2024-04-05,23.3,23.7,23.2,23.35,6316400,HDB
2024-04-08,23.35,24.0,23.3,23.9,8077300,HDB
2024-04-09,23.9,24.05,23.7,23.95,5817400,HDB
2024-04-10,24.0,24.05,23.6,23.95,6265700,HDB
2024-04-11,23.7,24.0,23.5,24.0,5637400,HDB
2024-04-12,24.0,24.4,23.65,24.3,8521700,HDB
2024-04-15,24.25,24.35,23.3,23.5,9741700,HDB
2024-04-16,23.5,23.65,23.0,23.5,7196500,HDB
2024-04-17,23.55,23.55,22.4,23.0,8715000,HDB
2024-04-19,22.7,22.75,21.9,22.25,9469500,HDB
2024-04-22,22.3,22.65,22.2,22.4,8545200,HDB
2024-04-23,22.2,22.45,21.6,22.2,8711200,HDB
2024-04-24,22.3,22.6,22.2,22.4,9415200,HDB
2024-04-25,22.4,22.65,22.25,22.5,7367500,HDB
2024-04-26,22.5,23.6,22.35,23.6,9976900,HDB
2024-05-02,23.6,23.65,23.35,23.65,6123700,HDB
2024-05-03,23.65,24.45,23.65,24.45,11392400,HDB
