date,open,high,low,close,volume,ticker
2015-01-05,53.0,54.0,52.5,53.0,207020,HPG
2015-01-06,52.0,53.5,52.0,53.5,260380,HPG
2015-01-07,53.5,54.0,53.0,53.0,232770,HPG
2015-01-08,53.0,53.5,52.5,53.0,107380,HPG
2015-01-09,53.0,54.0,52.5,54.0,409230,HPG
2015-01-12,53.5,55.0,53.5,54.0,695280,HPG
2015-01-13,53.5,54.0,53.5,54.0,77750,HPG
2015-01-14,53.5,54.0,52.5,54.0,229360,HPG
2015-01-15,53.5,54.5,53.5,54.0,199440,HPG
2015-01-16,53.5,53.5,53.0,53.0,220730,HPG
2015-01-19,53.0,53.5,52.5,52.5,293800,HPG
2015-01-20,52.5,53.0,52.0,53.0,146590,HPG
2015-01-21,53.0,53.5,52.5,53.5,628920,HPG
2015-01-22,53.5,53.5,52.5,53.0,258970,HPG
2015-01-23,53.0,53.0,51.0,51.5,1294880,HPG
2015-01-26,51.5,51.5,49.8,49.8,1167630,HPG
2015-01-27,50.5,51.0,49.9,50.5,1091760,HPG
2015-01-28,51.0,51.0,49.8,50.5,187910,HPG
2015-01-29,50.5,50.5,49.1,49.4,305240,HPG
2015-01-30,49.4,49.4,47.8,47.8,790190,HPG
2015-02-02,47.8,48.8,47.5,47.5,193890,HPG
2015-02-03,47.5,48.0,46.7,46.7,456170,HPG
2015-02-04,46.3,47.2,45.1,45.2,603690,HPG
2015-02-05,45.0,45.1,44.0,44.9,972680,HPG
2015-02-06,45.9,46.7,45.7,46.0,202240,HPG
2015-02-09,46.0,46.5,44.8,44.8,368440,HPG
2015-02-10,45.0,46.5,44.1,46.3,700570,HPG
2015-02-11,46.3,48.4,46.3,48.4,382460,HPG
2015-02-12,48.5,49.4,48.0,48.8,328920,HPG
2015-02-13,48.8,49.6,48.5,49.2,337680,HPG
2015-02-24,49.3,49.3,48.5,49.3,416880,HPG
2015-02-25,48.7,49.2,48.4,48.4,487940,HPG
2015-02-26,48.4,48.8,47.5,47.9,645750,HPG
2015-02-27,47.7,47.7,46.7,47.1,1111170,HPG
2015-03-02,46.6,47.1,46.1,46.2,635450,HPG
2015-03-03,46.6,47.3,46.4,47.1,670000,HPG
2015-03-04,47.1,47.5,47.0,47.1,324080,HPG
2015-03-05,47.2,47.8,47.2,47.3,752710,HPG
2015-03-06,47.3,47.3,46.9,47.2,296850,HPG
2015-03-09,47.4,49.0,47.4,48.6,1110350,HPG
2015-03-10,48.6,49.0,47.9,48.0,924780,HPG
2015-03-11,47.8,48.6,47.5,47.5,485870,HPG
2015-03-12,47.1,47.5,46.7,46.8,750130,HPG
2015-03-13,46.8,47.1,46.4,46.5,472400,HPG
2015-03-16,46.5,46.5,44.9,45.1,1037700,HPG
2015-03-17,45.1,45.9,45.0,45.0,640370,HPG
2015-03-18,45.3,45.4,44.4,44.6,1092640,HPG
2015-03-19,45.3,44.8,43.5,44.0,1270400,HPG
2015-03-20,44.5,46.3,43.8,46.3,2188020,HPG
2015-03-23,46.3,46.3,45.0,45.0,1140180,HPG
2015-03-24,44.5,44.8,44.1,44.3,804400,HPG
2015-03-25,44.1,44.5,43.9,44.0,765950,HPG
2015-03-26,43.9,44.5,43.8,43.9,498620,HPG
2015-03-27,43.9,44.3,43.8,43.9,253180,HPG
2015-03-30,44.1,44.4,43.8,44.0,685590,HPG
2015-03-31,44.0,44.3,44.0,44.1,668940,HPG
2015-04-01,44.0,44.6,43.9,44.0,573070,HPG
2015-04-02,44.0,44.2,43.7,44.1,450390,HPG
2015-04-03,44.2,45.1,44.0,44.9,1033520,HPG
2015-04-06,44.8,44.9,44.3,44.4,271760,HPG
2015-04-07,44.2,44.8,44.2,44.4,469470,HPG
2015-04-08,44.6,44.6,44.2,44.2,334680,HPG
2015-04-09,44.2,44.7,44.2,44.2,397900,HPG
2015-04-10,44.3,44.5,44.2,44.2,388880,HPG
2015-04-13,44.6,44.6,44.2,44.2,201090,HPG
2015-04-14,44.2,44.5,44.2,44.3,422120,HPG
2015-04-15,44.4,45.5,44.4,45.0,1231840,HPG
2015-04-16,45.2,45.6,44.9,44.9,725910,HPG
2015-04-17,44.7,46.5,44.7,45.6,982040,HPG
2015-04-20,45.5,45.6,45.0,45.1,375410,HPG
2015-04-21,45.1,45.1,44.9,45.1,424870,HPG
2015-04-22,45.1,46.1,45.1,45.1,639770,HPG
2015-04-23,45.2,45.5,44.4,44.5,485650,HPG
2015-04-24,44.6,44.7,44.5,44.5,371010,HPG
2015-04-27,45.0,45.5,44.0,44.0,394780,HPG
2015-05-04,44.7,44.7,43.0,43.3,1045680,HPG
2015-05-05,43.3,44.7,43.2,44.2,767180,HPG
2015-05-06,44.3,44.5,43.5,43.5,993740,HPG
2015-05-07,43.5,44.0,43.5,43.8,540380,HPG
2015-05-08,28.8,29.5,28.2,28.2,565420,HPG
2015-05-11,28.1,28.4,27.6,27.7,405070,HPG
2015-05-12,28.1,28.1,26.9,26.9,684210,HPG
2015-05-13,26.7,26.9,26.0,26.3,1291880,HPG
2015-05-14,26.1,26.8,26.0,26.8,734690,HPG
2015-05-15,26.8,26.8,26.1,26.1,554930,HPG
2015-05-18,25.6,26.0,24.8,24.8,1773500,HPG
2015-05-19,24.6,25.2,24.6,25.0,859380,HPG
2015-05-20,25.0,26.7,25.0,26.7,904140,HPG
2015-05-21,26.7,26.9,26.3,26.7,580790,HPG
2015-05-22,26.5,26.9,26.4,26.9,500280,HPG
2015-05-25,26.9,27.2,26.4,26.7,202540,HPG
2015-05-26,26.9,27.3,26.6,27.2,681280,HPG
2015-05-27,27.1,27.2,26.7,26.8,414100,HPG
2015-05-28,26.5,27.1,26.5,26.8,423170,HPG
2015-05-29,26.8,27.0,26.5,26.6,559300,HPG
2015-06-01,26.6,26.7,26.4,26.4,543570,HPG
2015-06-02,26.2,26.5,26.2,26.3,948500,HPG
2015-06-03,26.1,26.4,25.6,25.6,1464690,HPG
2015-06-04,25.6,25.9,25.6,25.7,1077090,HPG
2015-06-05,25.8,25.8,25.1,25.3,1935780,HPG
2015-06-08,25.5,26.1,25.5,26.0,917010,HPG
2015-06-09,26.0,27.8,25.9,27.0,2789760,HPG
2015-06-10,27.5,28.4,27.5,28.3,3194220,HPG
2015-06-11,28.9,29.2,28.5,28.8,1445080,HPG
2015-06-12,28.8,29.1,28.4,28.6,1333800,HPG
2015-06-15,28.6,28.8,28.4,28.7,1672040,HPG
2015-06-16,28.8,29.5,28.6,28.9,1806050,HPG
2015-06-17,28.7,28.8,28.3,28.4,1581070,HPG
2015-06-18,28.7,28.7,28.1,28.3,887580,HPG
2015-06-19,28.2,28.3,27.5,27.5,2592640,HPG
2015-06-22,27.9,27.9,27.6,27.8,524900,HPG
2015-06-23,27.7,28.5,27.7,28.2,801860,HPG
2015-06-24,27.9,28.2,27.8,27.9,1042290,HPG
2015-06-25,27.7,27.9,27.4,27.4,898180,HPG
2015-06-26,27.4,28.0,27.2,27.3,726400,HPG
2015-06-29,27.3,28.0,27.3,28.0,1060110,HPG
2015-06-30,27.9,28.9,27.8,28.9,3428620,HPG
2015-07-01,28.9,29.0,28.0,28.2,1078850,HPG
2015-07-02,28.2,28.7,28.0,28.6,925320,HPG
2015-07-03,28.7,29.0,28.6,28.7,1073110,HPG
2015-07-06,28.7,29.5,28.7,29.4,1864540,HPG
2015-07-07,29.4,30.7,29.0,30.1,2857450,HPG
2015-07-08,30.1,30.5,29.6,29.8,1753620,HPG
2015-07-09,29.6,29.7,29.1,29.2,1809260,HPG
2015-07-10,29.5,29.5,28.9,28.9,1348180,HPG
2015-07-13,29.0,29.4,28.6,28.7,1169610,HPG
2015-07-14,28.7,29.7,28.2,29.2,2295100,HPG
2015-07-15,29.3,29.4,28.6,28.6,931880,HPG
2015-07-16,28.5,29.7,28.3,29.6,1582160,HPG
2015-07-17,30.3,30.9,30.1,30.2,2675200,HPG
2015-07-20,30.1,30.5,29.6,30.5,1390780,HPG
2015-07-21,30.5,31.4,30.5,31.4,2696070,HPG
2015-07-22,31.5,33.5,31.5,33.5,5105670,HPG
2015-07-23,33.8,34.1,33.0,33.1,1600250,HPG
2015-07-24,33.1,34.9,33.1,34.6,3303290,HPG
2015-07-27,35.0,35.9,35.0,35.6,2415310,HPG
2015-07-28,35.6,35.9,34.3,34.3,2009060,HPG
2015-07-29,34.0,34.6,33.4,33.4,3073500,HPG
2015-07-30,33.3,34.1,33.2,33.6,1363300,HPG
2015-07-31,33.5,33.7,32.5,32.5,2290540,HPG
2015-08-03,32.0,32.9,31.5,32.5,2856040,HPG
2015-08-04,32.5,33.3,32.3,32.6,996510,HPG
2015-08-05,33.6,33.8,32.9,33.6,1060620,HPG
2015-08-06,33.7,33.7,33.1,33.2,998530,HPG
2015-08-07,33.4,34.3,33.2,34.1,2700970,HPG
2015-08-10,34.4,35.2,34.4,34.8,2228850,HPG
2015-08-11,35.0,35.0,34.3,34.5,1979760,HPG
2015-08-12,34.3,34.3,33.1,33.3,2887340,HPG
2015-08-13,33.1,33.3,32.1,32.7,2493440,HPG
2015-08-14,32.6,33.3,32.0,32.6,1829940,HPG
2015-08-17,32.8,32.8,31.7,31.7,1433820,HPG
2015-08-18,31.7,32.2,31.4,32.1,1422730,HPG
2015-08-19,31.9,32.0,31.2,31.8,1641650,HPG
2015-08-20,31.8,32.0,30.9,31.1,1210690,HPG
2015-08-21,30.5,30.5,29.4,30.2,2521210,HPG
2015-08-24,29.6,29.6,28.1,28.1,4405860,HPG
2015-08-25,27.6,30.0,27.6,30.0,2794310,HPG
2015-08-26,30.4,31.8,30.4,31.5,1892880,HPG
2015-08-27,31.5,31.9,31.1,31.3,2252900,HPG
2015-08-28,31.3,32.0,31.2,31.6,2353430,HPG
2015-08-31,31.5,31.5,31.0,31.1,1019870,HPG
2015-09-01,31.1,31.6,31.0,31.1,1450450,HPG
2015-09-03,31.0,31.0,29.8,30.1,1419780,HPG
2015-09-04,30.1,30.4,29.5,29.7,830070,HPG
2015-09-07,29.4,29.8,29.1,29.2,895920,HPG
2015-09-08,29.3,30.2,29.2,30.2,815360,HPG
2015-09-09,30.6,30.8,30.3,30.7,1426770,HPG
2015-09-10,30.3,30.7,30.0,30.4,697840,HPG
2015-09-11,30.3,30.4,29.7,29.7,880950,HPG
2015-09-14,29.7,29.9,29.1,29.3,594000,HPG
2015-09-15,29.2,29.4,29.1,29.2,480030,HPG
2015-09-16,29.3,29.7,29.2,29.7,356310,HPG
2015-09-17,29.8,30.4,29.8,30.0,608370,HPG
2015-09-18,30.5,30.9,30.4,30.8,1592720,HPG
2015-09-21,31.7,32.3,30.4,31.7,2153670,HPG
2015-09-22,31.7,32.0,31.5,31.8,786300,HPG
2015-09-23,31.5,31.8,31.3,31.6,1064130,HPG
2015-09-24,31.7,31.7,31.3,31.4,1011600,HPG
2015-09-25,31.2,31.4,31.0,31.1,506830,HPG
2015-09-28,31.0,31.2,30.2,30.2,1005260,HPG
2015-09-29,30.0,30.1,29.7,30.1,1006020,HPG
2015-09-30,30.2,30.7,30.2,30.4,554080,HPG
2015-10-01,30.4,30.7,30.4,30.7,304040,HPG
2015-10-02,30.7,31.3,30.7,30.9,903700,HPG
2015-10-05,30.9,31.4,30.8,31.4,1300420,HPG
2015-10-06,31.7,32.1,31.5,32.0,3208050,HPG
2015-10-07,32.1,32.1,31.4,31.5,1510940,HPG
2015-10-08,31.6,32.3,31.4,32.2,1920520,HPG
2015-10-09,32.4,32.8,32.1,32.4,1589230,HPG
2015-10-12,32.5,33.0,32.4,32.8,2015180,HPG
2015-10-13,32.6,32.7,32.4,32.4,903340,HPG
2015-10-14,32.3,32.6,32.3,32.3,1203260,HPG
2015-10-15,32.4,33.3,32.3,32.3,2543820,HPG
2015-10-16,32.0,32.8,31.9,32.0,2343410,HPG
2015-10-19,32.2,32.2,31.8,32.0,1717090,HPG
2015-10-20,32.0,32.0,31.3,31.4,1727880,HPG
2015-10-21,31.4,31.8,31.1,31.2,1133870,HPG
