date,open,high,low,close,volume,ticker
2024-01-02,18.7,19.0,18.65,18.85,13785400,MBB
2024-01-03,18.75,19.2,18.7,19.15,13854700,MBB
2024-01-04,19.15,20.45,19.15,20.1,49414900,MBB
2024-01-05,20.1,20.5,20.1,20.5,22517200,MBB
2024-01-08,20.6,20.85,20.4,20.7,20147300,MBB
2024-01-09,20.75,20.9,20.5,20.85,19794000,MBB
2024-01-10,20.85,21.15,20.65,20.9,24684700,MBB
2024-01-11,20.9,21.1,20.5,20.65,24683900,MBB
2024-01-12,20.5,21.55,20.4,21.35,45903400,MBB
2024-01-15,21.5,21.9,21.4,21.45,25082400,MBB
2024-01-16,21.45,21.5,21.15,21.5,17491400,MBB
2024-01-17,21.6,21.8,21.3,21.5,20484100,MBB
2024-01-18,21.4,21.75,21.3,21.7,23623500,MBB
2024-01-19,21.8,22.15,21.7,22.05,21610300,MBB
2024-01-22,22.3,22.55,22.0,22.1,29129500,MBB
2024-01-23,22.1,22.35,21.9,21.95,15904700,MBB
2024-01-24,21.85,22.15,21.8,21.9,12689700,MBB
2024-01-25,21.95,21.95,21.7,21.9,14697100,MBB
2024-01-26,21.9,22.15,21.9,22.0,9493000,MBB
2024-01-29,22.0,22.45,22.0,22.15,15667000,MBB
2024-01-30,22.15,22.25,21.85,22.1,14352700,MBB
2024-01-31,22.25,22.25,21.65,21.75,27845100,MBB
2024-02-01,21.7,21.95,21.6,21.9,11396700,MBB
2024-02-02,21.9,22.0,21.75,21.75,15083600,MBB
2024-02-05,21.75,23.15,21.75,22.95,37093300,MBB
2024-02-06,23.0,23.15,22.95,23.05,11519300,MBB
2024-02-07,23.1,23.7,23.1,23.5,21181800,MBB
2024-02-15,23.7,24.2,23.55,24.15,24091300,MBB
2024-02-16,24.1,24.1,23.7,24.0,16165200,MBB
2024-02-19,24.0,24.1,23.6,23.95,20952600,MBB
2024-02-20,23.85,24.1,23.65,23.85,20313600,MBB
2024-02-21,23.85,24.2,23.7,24.0,24984200,MBB
2024-02-22,24.0,24.1,23.85,23.95,14943900,MBB
2024-02-23,24.0,24.7,23.75,23.9,49051800,MBB
2024-02-26,23.9,24.05,23.65,24.0,21383500,MBB
2024-02-27,24.05,24.45,23.85,24.25,22906700,MBB
2024-02-28,24.35,24.55,24.15,24.4,19275500,MBB
2024-02-29,24.5,24.55,23.95,24.15,24034500,MBB
2024-03-01,24.1,24.15,23.8,24.0,20474600,MBB
2024-03-04,24.1,24.45,23.75,24.2,31949800,MBB
2024-03-05,24.2,24.65,24.1,24.6,22768900,MBB
2024-03-06,24.6,25.15,24.5,24.6,21911700,MBB
2024-03-07,24.7,24.8,24.35,24.4,19759000,MBB
2024-03-08,24.5,24.5,23.6,23.6,49382200,MBB
2024-03-11,23.55,23.6,22.8,22.95,34911300,MBB
2024-03-12,22.9,23.25,22.75,23.1,19120400,MBB
2024-03-13,23.1,23.85,23.1,23.85,15265200,MBB
2024-03-14,23.95,23.95,23.4,23.45,18358800,MBB
2024-03-15,23.45,23.85,23.15,23.8,18886100,MBB
2024-03-18,23.75,23.8,22.4,23.2,31782600,MBB
2024-03-19,23.2,23.35,22.95,23.2,13605300,MBB
2024-03-20,23.2,24.4,23.1,24.15,39357200,MBB
2024-03-21,24.3,24.75,24.1,24.75,30974800,MBB
2024-03-22,25.0,25.7,24.85,25.05,41534600,MBB
2024-03-25,25.05,25.35,24.6,24.7,21215200,MBB
2024-03-26,24.7,25.25,24.6,25.25,15606500,MBB
2024-03-27,25.25,25.4,25.0,25.3,11404900,MBB
2024-03-28,25.65,25.7,25.2,25.5,15988900,MBB
2024-03-29,25.55,25.55,25.15,25.4,11652100,MBB
2024-04-01,25.2,25.25,24.7,24.9,19236200,MBB
2024-04-02,24.6,24.8,24.2,24.8,28974400,MBB
2024-04-03,24.8,24.8,24.2,24.2,22559800,MBB
2024-04-04,24.2,24.25,23.8,23.8,27793500,MBB
2024-04-05,23.55,23.75,23.3,23.35,25376700,MBB
2024-04-08,23.4,23.8,23.15,23.5,24714800,MBB
2024-04-09,23.5,24.0,23.4,24.0,15734800,MBB
2024-04-10,24.3,24.35,23.8,23.8,21078100,MBB
2024-04-11,23.5,23.85,23.4,23.75,9011600,MBB
2024-04-12,23.85,24.7,23.75,24.65,23911200,MBB
2024-04-15,24.45,25.05,23.0,23.4,47595100,MBB
2024-04-16,23.4,23.9,23.05,23.9,32717500,MBB
2024-04-17,24.0,24.05,23.1,23.1,23979900,MBB
2024-04-19,22.6,23.3,22.6,22.7,28182700,MBB
2024-04-22,22.8,23.05,22.55,22.6,17581500,MBB
2024-04-23,22.6,22.7,21.75,22.0,31998000,MBB
2024-04-24,22.2,22.65,21.95,22.55,18650800,MBB
2024-04-25,22.6,22.6,22.15,22.25,13003200,MBB
2024-04-26,22.0,22.45,22.0,22.25,13332200,MBB
2024-05-02,22.3,22.55,22.2,22.4,11078300,MBB
2024-05-03,22.6,22.8,22.3,22.4,11857800,MBB
2024-05-06,22.55,22.95,22.55,22.9,16199300,MBB
2024-05-07,23.0,23.05,22.65,22.75,9604700,MBB
2024-05-08,22.4,22.7,22.3,22.55,21437700,MBB
2024-05-09,22.6,22.8,22.35,22.65,15643200,MBB
2024-05-10,22.75,22.9,22.5,22.6,11418400,MBB
2024-05-13,22.6,23.0,22.6,22.65,14003500,MBB
2024-05-14,22.9,23.2,22.7,22.85,16668300,MBB
2024-05-15,22.95,23.05,22.8,22.9,15300500,MBB
2024-05-16,23.15,23.55,23.0,23.4,31430700,MBB
2024-05-17,23.45,23.45,23.15,23.25,15465900,MBB
2024-05-20,23.6,23.6,23.4,23.45,17925500,MBB
2024-05-21,23.45,23.6,23.25,23.6,16402300,MBB
2024-05-22,23.6,23.65,23.2,23.2,20042500,MBB
2024-05-23,22.7,22.85,22.5,22.8,13080600,MBB
2024-05-24,22.55,23.3,22.15,22.45,36358800,MBB
2024-05-27,22.6,22.6,22.35,22.45,7993800,MBB
2024-05-28,22.7,22.75,22.35,22.6,13107300,MBB
