date,open,high,low,close,volume,ticker
2017-04-21,51.8,51.8,46.0,48.9,4820970,PLX
2017-04-24,48.9,49.5,48.0,48.4,1757390,PLX
2017-04-25,48.1,48.4,45.05,45.15,2533550,PLX
2017-04-26,43.1,44.5,43.1,44.1,1743790,PLX
2017-04-27,44.1,45.9,44.1,45.9,825430,PLX
2017-04-28,46.1,47.0,46.1,46.65,781910,PLX
2017-05-03,46.65,46.8,46.0,46.75,521490,PLX
2017-05-04,46.75,47.5,46.7,47.5,2947740,PLX
2017-05-05,47.1,47.5,47.0,47.1,1274310,PLX
2017-05-08,47.0,47.5,46.6,47.5,1414880,PLX
2017-05-09,47.5,47.5,46.9,46.9,864620,PLX
2017-05-10,46.9,47.4,46.9,47.1,2706150,PLX
2017-05-11,47.1,49.7,47.1,48.6,3351200,PLX
2017-05-12,48.6,48.9,48.4,48.6,1272460,PLX
2017-05-15,48.25,49.2,48.0,48.7,2429190,PLX
2017-05-16,49.1,52.0,48.7,51.1,3627190,PLX
2017-05-17,51.0,52.0,50.5,51.0,1642560,PLX
2017-05-18,50.8,53.0,50.8,53.0,3077950,PLX
2017-05-19,53.8,56.7,53.3,56.7,4369030,PLX
2017-05-22,59.8,60.6,59.0,60.6,3062670,PLX
2017-05-23,61.0,64.5,60.6,60.6,2839240,PLX
2017-05-24,60.6,60.7,57.5,59.0,1789900,PLX
2017-05-25,59.0,60.1,58.6,59.0,684100,PLX
2017-05-26,58.2,58.9,57.6,58.1,1237030,PLX
2017-05-29,58.0,60.5,58.0,60.1,967250,PLX
2017-05-30,60.1,62.1,60.1,61.0,1067000,PLX
2017-05-31,61.5,61.7,60.4,61.2,714650,PLX
2017-06-01,61.2,61.8,61.2,61.2,522880,PLX
2017-06-02,60.7,61.2,59.7,59.7,1244790,PLX
2017-06-05,59.7,61.8,59.2,61.1,665100,PLX
2017-06-06,61.1,61.5,60.8,61.5,554760,PLX
2017-06-07,61.4,61.8,61.0,61.1,626820,PLX
2017-06-08,61.1,61.3,60.8,61.1,325680,PLX
2017-06-09,61.0,63.4,61.0,62.6,1104760,PLX
2017-06-12,62.6,64.5,62.3,63.0,830860,PLX
2017-06-13,63.2,63.7,62.7,63.0,422580,PLX
2017-06-14,62.8,63.0,61.9,63.0,848170,PLX
2017-06-15,62.5,63.3,62.1,62.8,546160,PLX
2017-06-16,62.4,63.0,62.3,62.4,369590,PLX
2017-06-19,62.3,63.8,62.3,63.8,797760,PLX
2017-06-20,64.0,65.4,63.9,65.4,1506260,PLX
2017-06-21,65.5,67.0,64.4,66.9,980190,PLX
2017-06-22,67.6,69.8,67.5,69.5,1121960,PLX
2017-06-23,69.7,72.0,69.6,71.4,1825360,PLX
2017-06-26,72.0,73.3,71.2,71.8,1137940,PLX
2017-06-27,71.3,71.6,68.8,68.8,1547410,PLX
2017-06-28,68.4,69.7,67.3,68.6,1212630,PLX
2017-06-29,68.8,70.2,67.9,69.5,980940,PLX
2017-06-30,69.9,70.1,69.0,69.0,846590,PLX
2017-07-03,69.0,69.6,68.5,68.9,1235890,PLX
2017-07-04,68.5,68.6,67.2,67.7,983220,PLX
2017-07-05,67.6,69.4,67.3,68.8,493040,PLX
2017-07-06,68.5,71.2,68.0,71.0,1697930,PLX
2017-07-07,70.7,71.0,69.4,69.5,1345800,PLX
2017-07-10,68.5,69.4,68.2,68.8,1149130,PLX
2017-07-11,68.8,68.8,68.0,68.8,669300,PLX
2017-07-12,69.8,69.8,68.8,68.8,905250,PLX
2017-07-13,69.0,70.2,69.0,70.2,1069020,PLX
2017-07-14,70.8,71.0,70.0,70.0,766980,PLX
2017-07-17,70.0,70.4,68.6,68.7,613290,PLX
2017-07-18,68.3,69.2,68.2,68.9,796070,PLX
2017-07-19,68.8,69.9,68.8,69.3,998340,PLX
2017-07-20,66.7,66.9,65.3,65.5,583230,PLX
2017-07-21,65.5,66.0,65.3,65.5,615940,PLX
2017-07-24,64.5,65.5,63.0,63.0,1064220,PLX
2017-07-25,62.0,65.0,61.0,64.9,1548220,PLX
2017-07-26,65.2,65.2,64.3,64.6,328670,PLX
2017-07-27,64.1,64.1,62.8,62.8,883020,PLX
2017-07-28,62.7,64.2,62.1,64.2,505210,PLX
2017-07-31,64.0,64.0,62.8,62.8,291180,PLX
2017-08-01,62.2,63.7,62.2,63.0,420960,PLX
2017-08-02,62.8,63.5,62.1,63.2,347480,PLX
2017-08-03,63.0,63.2,62.7,63.0,331860,PLX
2017-08-04,62.8,63.9,62.7,63.6,515090,PLX
2017-08-07,63.6,66.8,63.5,66.8,1648590,PLX
2017-08-08,66.8,69.0,66.8,67.5,1347990,PLX
2017-08-09,67.5,68.0,65.5,65.8,699190,PLX
2017-08-10,65.0,66.0,64.8,65.2,283290,PLX
2017-08-11,65.0,65.9,64.2,64.5,186140,PLX
2017-08-14,64.5,66.2,64.2,66.0,264910,PLX
2017-08-15,66.3,66.3,65.5,66.3,269720,PLX
2017-08-16,66.3,66.7,65.5,66.1,578890,PLX
2017-08-17,66.1,66.3,65.8,65.8,202030,PLX
2017-08-18,65.8,66.4,65.7,66.1,287630,PLX
2017-08-21,67.0,67.9,66.8,67.3,1445250,PLX
2017-08-22,67.7,67.8,66.3,66.7,211800,PLX
2017-08-23,66.3,66.8,66.2,66.7,103940,PLX
2017-08-24,66.6,67.8,66.4,67.6,865230,PLX
2017-08-25,67.6,68.4,67.3,67.5,501000,PLX
2017-08-28,67.5,68.5,67.3,68.3,939860,PLX
2017-08-29,68.1,68.7,67.8,68.0,544800,PLX
2017-08-30,67.7,68.0,67.0,67.0,357560,PLX
2017-08-31,67.0,67.7,66.6,66.8,403980,PLX
