date,open,high,low,close,volume,ticker
2024-01-02,11.3,11.35,11.2,11.25,3502100,POW
2024-01-03,11.25,11.4,11.2,11.4,4520200,POW
2024-01-04,11.45,11.6,11.4,11.45,7748000,POW
2024-01-05,11.45,11.5,11.3,11.3,4310300,POW
2024-01-08,11.35,11.45,11.3,11.4,6005800,POW
2024-01-09,11.4,11.45,11.35,11.45,4060000,POW
2024-01-10,11.5,11.55,11.35,11.4,4321200,POW
2024-01-11,11.4,11.8,11.4,11.65,11453500,POW
2024-01-12,11.75,11.75,11.35,11.45,8294100,POW
2024-01-15,11.55,11.6,11.4,11.4,4254200,POW
2024-01-16,11.4,11.5,11.35,11.5,2788400,POW
2024-01-17,11.5,11.55,11.4,11.4,4245500,POW
2024-01-18,11.4,11.45,11.35,11.4,3571700,POW
2024-01-19,11.45,11.6,11.45,11.55,5917700,POW
2024-01-22,11.6,11.65,11.45,11.55,4024000,POW
2024-01-23,11.55,11.6,11.4,11.45,4086900,POW
2024-01-24,11.45,11.5,11.35,11.4,3625700,POW
2024-01-25,11.4,11.45,11.35,11.45,1763500,POW
2024-01-26,11.4,11.45,11.4,11.4,2315600,POW
2024-01-29,11.45,11.5,11.4,11.4,3347200,POW
2024-01-30,11.45,11.65,11.4,11.5,7274600,POW
2024-01-31,11.55,11.55,11.35,11.35,4573100,POW
2024-02-01,11.35,11.45,11.3,11.35,2541200,POW
2024-02-02,11.4,11.4,11.3,11.3,2618100,POW
2024-02-05,11.35,11.35,11.25,11.25,3680400,POW
2024-02-06,11.3,11.35,11.25,11.35,3944300,POW
2024-02-07,11.35,11.4,11.3,11.35,2857700,POW
2024-02-15,11.4,11.45,11.35,11.4,4291100,POW
2024-02-16,11.45,11.5,11.4,11.5,2896000,POW
2024-02-19,11.5,12.1,11.5,12.0,22515100,POW
2024-02-20,12.05,12.25,11.85,11.9,7675800,POW
2024-02-21,11.85,11.9,11.75,11.8,6651900,POW
2024-02-22,11.8,11.9,11.75,11.75,5355200,POW
2024-02-23,11.8,11.85,11.5,11.5,9330900,POW
