date,open,high,low,close,volume,ticker
2015-01-05,27.4,27.6,27.1,27.1,1636640,SSI
2015-01-06,26.6,27.2,26.4,27.1,2031640,SSI
2015-01-07,27.2,27.4,26.9,27.0,1659050,SSI
2015-01-08,27.1,27.2,26.9,27.0,1365600,SSI
2015-01-09,27.0,27.4,27.0,27.3,2251920,SSI
2015-01-12,27.3,27.5,26.9,27.0,1812820,SSI
2015-01-13,26.8,27.2,26.8,27.0,1183110,SSI
2015-01-14,27.0,27.6,26.5,27.3,2599080,SSI
2015-01-15,27.4,27.6,27.3,27.5,2098530,SSI
2015-01-16,27.8,28.0,27.4,27.5,2549490,SSI
2015-01-19,27.5,27.5,27.1,27.1,1140290,SSI
2015-01-20,27.0,27.2,26.9,26.9,1017940,SSI
2015-01-21,27.1,27.3,26.8,26.9,1645360,SSI
2015-01-22,27.1,27.3,26.7,27.1,1321470,SSI
2015-01-23,27.3,27.8,27.1,27.5,2700260,SSI
2015-01-26,27.6,27.7,27.3,27.3,1413710,SSI
2015-01-27,27.2,27.4,26.8,26.9,2347460,SSI
2015-01-28,26.9,27.0,26.6,26.8,1363000,SSI
2015-01-29,26.8,26.9,26.6,26.9,1238270,SSI
2015-01-30,26.9,26.9,26.2,26.3,2606200,SSI
2015-02-02,26.2,26.5,25.8,25.8,2074990,SSI
2015-02-03,25.8,26.0,25.5,25.5,1267900,SSI
2015-02-04,25.8,25.8,25.3,25.4,1658490,SSI
2015-02-05,25.5,25.7,25.4,25.5,797240,SSI
2015-02-06,25.4,25.9,25.4,25.9,588670,SSI
2015-02-09,26.0,26.0,25.6,25.6,592540,SSI
2015-02-10,25.7,25.9,25.5,25.7,1186050,SSI
2015-02-11,25.7,26.7,25.7,26.6,1938290,SSI
2015-02-12,26.8,27.0,26.6,27.0,1766860,SSI
2015-02-13,27.0,27.2,26.8,27.1,1589890,SSI
2015-02-24,27.0,27.7,27.0,27.5,1939300,SSI
2015-02-25,27.7,27.7,27.1,27.1,2134530,SSI
2015-02-26,27.1,27.4,27.1,27.2,1092220,SSI
2015-02-27,27.3,27.5,27.1,27.3,1084500,SSI
2015-03-02,27.3,27.4,27.2,27.3,719070,SSI
2015-03-03,27.3,27.5,27.2,27.4,1507630,SSI
2015-03-04,27.6,27.7,27.5,27.7,2432850,SSI
2015-03-05,27.8,27.8,27.3,27.3,2324850,SSI
2015-03-06,23.3,23.6,23.2,23.2,3302290,SSI
2015-03-09,23.3,23.3,22.6,22.7,1103230,SSI
