date,open,high,low,close,volume,ticker
2024-01-02,31.9,32.25,31.8,32.1,3710100,TCB
2024-01-03,31.9,32.6,31.85,32.6,5610600,TCB
2024-01-04,32.6,33.65,32.55,33.1,10073900,TCB
2024-01-05,33.1,33.4,33.0,33.2,3569900,TCB
2024-01-08,33.5,34.15,33.35,34.1,6323800,TCB
2024-01-09,34.0,34.5,33.8,34.5,6900500,TCB
2024-01-10,34.55,34.7,34.25,34.4,7189800,TCB
2024-01-11,34.3,34.6,33.8,34.15,6731000,TCB
2024-01-12,33.85,34.7,33.55,34.65,10186600,TCB
2024-01-15,34.7,34.8,34.3,34.3,3727300,TCB
2024-01-16,34.1,34.2,33.8,34.15,4458700,TCB
2024-01-17,34.15,34.65,34.0,34.05,4420000,TCB
2024-01-18,34.25,34.6,34.05,34.4,4108200,TCB
2024-01-19,34.6,35.15,34.5,34.95,7947400,TCB
2024-01-22,35.3,35.3,34.7,34.95,4313700,TCB
2024-01-23,35.5,36.0,35.4,35.45,10075300,TCB
2024-01-24,35.25,35.55,35.25,35.25,3141400,TCB
2024-01-25,35.25,35.25,34.9,35.0,4271400,TCB
2024-01-26,35.05,35.5,35.0,35.4,3145200,TCB
2024-01-29,35.45,35.65,35.2,35.25,3145300,TCB
2024-01-30,35.1,35.25,34.7,35.2,5207300,TCB
2024-01-31,35.2,35.25,34.4,34.55,5380200,TCB
2024-02-01,34.45,34.65,34.0,34.15,6209900,TCB
2024-02-02,34.0,34.45,34.0,34.15,7864700,TCB
2024-02-05,34.45,36.0,34.4,35.5,9600300,TCB
2024-02-06,35.65,36.2,35.6,35.65,4013800,TCB
2024-02-07,35.8,37.3,35.8,37.3,11167100,TCB
2024-02-15,37.5,38.95,37.45,38.4,13071500,TCB
2024-02-16,38.5,38.7,37.9,38.5,7217800,TCB
2024-02-19,38.55,39.05,38.45,38.9,9734800,TCB
2024-02-20,38.8,39.0,38.5,38.9,5413200,TCB
2024-02-21,38.75,39.35,38.6,39.0,7674900,TCB
2024-02-22,39.0,40.35,38.95,40.3,9645200,TCB
2024-02-23,40.75,42.35,40.0,40.1,16442400,TCB
2024-02-26,40.2,41.5,40.2,41.2,9615100,TCB
2024-02-27,41.4,41.95,41.0,41.95,8413100,TCB
2024-02-28,42.05,42.35,41.55,42.2,7524100,TCB
2024-02-29,42.45,42.45,41.35,42.2,9026500,TCB
2024-03-01,41.7,41.85,41.25,41.85,9291100,TCB
2024-03-04,41.75,42.2,41.35,41.85,8435000,TCB
2024-03-05,41.8,42.2,41.4,42.2,6316800,TCB
2024-03-06,42.05,43.5,41.8,42.65,8453900,TCB
2024-03-07,42.85,43.3,42.4,42.6,7214000,TCB
2024-03-08,42.45,42.6,41.0,41.0,20127300,TCB
2024-03-11,40.9,41.2,39.9,40.4,11182600,TCB
2024-03-12,40.35,41.3,40.1,41.2,8497100,TCB
2024-03-13,41.2,42.0,40.95,42.0,7892700,TCB
2024-03-14,42.1,42.1,41.25,41.4,6636800,TCB
2024-03-15,41.25,41.65,40.4,41.4,7540800,TCB
2024-03-18,41.2,41.2,39.4,40.1,11297200,TCB
2024-03-19,40.2,40.4,39.6,40.3,5330900,TCB
2024-03-20,40.4,42.45,40.05,42.3,16882000,TCB
2024-03-21,42.6,45.1,42.6,45.1,16923300,TCB
2024-03-22,45.5,45.5,44.05,44.9,10791500,TCB
2024-03-25,45.6,46.4,44.15,44.8,10737400,TCB
2024-03-26,44.8,46.2,44.5,45.95,7755900,TCB
2024-03-27,46.2,46.2,45.1,45.55,4640100,TCB
2024-03-28,48.7,48.7,47.7,48.0,30022800,TCB
2024-03-29,47.95,48.15,47.55,47.55,6403800,TCB
2024-04-01,47.55,47.7,46.85,47.45,8561000,TCB
2024-04-02,47.6,48.0,47.0,47.65,13559100,TCB
2024-04-03,47.4,47.95,46.8,46.8,8776700,TCB
2024-04-04,46.5,46.75,45.95,46.0,10756900,TCB
2024-04-05,45.5,45.9,45.15,45.2,12129600,TCB
2024-04-08,45.0,45.85,44.9,45.5,9964400,TCB
2024-04-09,45.5,45.8,45.2,45.8,5384200,TCB
2024-04-10,46.0,46.8,45.6,45.65,7754300,TCB
2024-04-11,45.05,45.65,44.95,45.1,11371200,TCB
2024-04-12,45.45,47.45,45.1,47.4,13456300,TCB
2024-04-15,47.2,47.45,44.2,44.4,13735800,TCB
2024-04-16,44.95,45.5,44.2,45.5,15151800,TCB
2024-04-17,45.5,45.6,44.65,44.85,7454000,TCB
2024-04-19,44.0,44.65,43.35,44.5,14444400,TCB
2024-04-22,45.35,45.7,44.9,45.25,6813500,TCB
2024-04-23,45.5,47.5,45.5,46.2,15592800,TCB
2024-04-24,46.8,47.05,46.4,47.0,7532200,TCB
2024-04-25,47.0,47.0,45.8,46.15,7161400,TCB
2024-04-26,46.0,46.9,45.65,46.6,5678300,TCB
2024-05-02,46.8,46.95,46.35,46.85,4351500,TCB
2024-05-03,47.5,48.8,47.4,48.2,13660600,TCB
2024-05-06,48.5,48.7,47.9,48.35,7906500,TCB
2024-05-07,48.35,48.35,47.7,47.9,9058500,TCB
2024-05-08,47.9,49.2,47.3,48.2,15386300,TCB
2024-05-09,48.6,48.9,47.8,48.45,8705600,TCB
2024-05-10,48.8,48.8,47.9,48.5,7679300,TCB
2024-05-13,48.5,48.65,48.0,48.4,6004900,TCB
2024-05-14,48.45,48.45,47.85,47.9,7472800,TCB
2024-05-15,47.9,48.15,47.75,48.1,9678900,TCB
2024-05-16,48.5,49.95,48.4,49.9,20864900,TCB
2024-05-17,49.75,50.0,49.65,49.75,6345600,TCB
2024-05-20,49.95,50.5,49.55,49.7,9304700,TCB
2024-05-21,48.1,48.2,47.05,47.2,11258500,TCB
2024-05-22,47.25,47.5,46.35,46.4,14666400,TCB
2024-05-23,46.3,46.65,45.85,46.5,7238900,TCB
2024-05-24,46.15,47.25,45.8,46.4,14617600,TCB
2024-05-27,46.4,46.6,46.0,46.5,5007700,TCB
2024-05-28,46.5,46.95,46.3,46.9,6014900,TCB
2024-05-29,47.0,47.05,46.4,46.5,6948600,TCB
2024-05-30,46.05,46.8,45.85,46.8,7573700,TCB
2024-05-31,46.8,47.0,46.3,47.0,5677200,TCB
2024-06-03,47.5,47.7,47.1,47.15,10681000,TCB
2024-06-04,47.5,47.8,47.0,47.6,9962000,TCB
2024-06-05,47.7,47.75,47.2,47.5,9260100,TCB
2024-06-06,47.55,48.0,47.2,48.0,13114900,TCB
2024-06-07,49.0,49.7,48.7,49.1,15463100,TCB
2024-06-10,49.5,49.5,48.35,48.9,8633400,TCB
2024-06-11,49.5,49.85,49.15,49.35,16586900,TCB
2024-06-12,49.35,49.5,49.0,49.4,9157900,TCB
2024-06-13,49.5,49.6,49.3,49.4,8424900,TCB
2024-06-14,49.5,49.55,49.1,49.1,9835600,TCB
2024-06-17,49.05,49.05,48.5,48.6,9687200,TCB
2024-06-18,48.6,49.1,48.2,48.8,10243100,TCB
2024-06-19,49.0,49.0,48.15,48.3,17027300,TCB
