date,open,high,low,close,volume,ticker
2024-01-02,17.45,17.5,17.25,17.3,6970700,TPB
2024-01-03,17.25,17.45,17.1,17.45,7154500,TPB
2024-01-04,17.5,18.2,17.4,17.9,30598000,TPB
2024-01-05,17.9,18.15,17.75,18.0,11024500,TPB
2024-01-08,18.2,18.2,17.8,17.95,10132200,TPB
2024-01-09,18.0,18.05,17.7,17.75,10503800,TPB
2024-01-10,17.8,18.6,17.75,18.5,24216600,TPB
2024-01-11,18.5,19.0,18.35,18.5,18114600,TPB
2024-01-12,18.35,18.8,18.15,18.55,18899600,TPB
2024-01-15,18.75,18.8,18.3,18.3,6963100,TPB
2024-01-16,18.2,18.6,18.2,18.6,9333300,TPB
2024-01-17,18.55,18.7,18.35,18.35,7453000,TPB
2024-01-18,18.35,18.45,18.2,18.45,5369000,TPB
2024-01-19,18.45,18.65,18.4,18.6,5649500,TPB
2024-01-22,18.6,18.7,18.45,18.65,8796900,TPB
2024-01-23,18.65,18.8,18.5,18.6,9420200,TPB
2024-01-24,18.55,18.55,18.25,18.3,9177000,TPB
2024-01-25,18.3,18.3,18.15,18.15,5630100,TPB
2024-01-26,18.2,18.5,18.15,18.3,3898400,TPB
2024-01-29,18.3,18.4,18.15,18.15,2947500,TPB
2024-01-30,18.15,18.45,18.15,18.3,7021600,TPB
2024-01-31,18.45,18.45,17.8,17.85,8855600,TPB
2024-02-01,17.85,18.05,17.8,17.85,5055900,TPB
2024-02-02,17.9,17.95,17.5,17.5,9172100,TPB
2024-02-05,17.5,18.25,17.5,18.15,18712100,TPB
2024-02-06,18.25,18.35,18.1,18.1,9956100,TPB
2024-02-07,18.1,18.6,18.1,18.5,14675200,TPB
2024-02-15,18.65,19.15,18.6,18.85,25897300,TPB
2024-02-16,18.9,19.05,18.8,18.9,14361000,TPB
2024-02-19,18.9,18.95,18.65,18.8,8778700,TPB
2024-02-20,18.75,18.85,18.65,18.75,9312600,TPB
2024-02-21,18.75,19.5,18.55,19.5,31792400,TPB
2024-02-22,19.5,19.75,19.2,19.55,15643700,TPB
2024-02-23,19.6,20.1,19.1,19.1,43600000,TPB
2024-02-26,19.05,19.3,18.95,19.15,8201000,TPB
2024-02-27,19.15,19.3,18.85,19.15,15268600,TPB
2024-02-28,19.25,20.0,19.1,20.0,25599800,TPB
2024-02-29,20.0,20.25,19.7,19.85,30155900,TPB
2024-03-01,19.85,19.95,19.55,19.85,14281200,TPB
2024-03-04,19.9,19.95,19.5,19.6,15039300,TPB
2024-03-05,19.6,19.6,19.3,19.4,12293300,TPB
2024-03-06,19.4,19.65,19.2,19.3,7445700,TPB
2024-03-07,19.35,19.35,19.15,19.25,9134900,TPB
2024-03-08,19.25,19.3,18.6,18.6,22061000,TPB
2024-03-11,18.55,18.8,18.4,18.5,11033100,TPB
2024-03-12,18.5,18.7,18.45,18.5,7979800,TPB
2024-03-13,18.5,19.0,18.45,19.0,7641800,TPB
2024-03-14,19.0,19.05,18.6,18.75,7674300,TPB
2024-03-15,18.7,19.0,18.45,18.8,8997700,TPB
2024-03-18,19.0,19.0,17.7,18.3,13698800,TPB
2024-03-19,18.3,18.4,18.2,18.2,4381200,TPB
2024-03-20,18.2,18.75,17.95,18.6,15977100,TPB
2024-03-21,18.8,18.85,18.5,18.75,9181400,TPB
2024-03-22,18.8,19.25,18.65,18.75,17965600,TPB
2024-03-25,18.8,19.25,18.7,19.0,17580600,TPB
2024-03-26,19.0,19.2,18.9,19.15,10841600,TPB
2024-03-27,19.2,19.25,19.0,19.2,6029000,TPB
2024-03-28,19.4,19.5,19.0,19.1,10132800,TPB
2024-03-29,19.2,19.2,19.0,19.1,5775400,TPB
2024-04-01,19.0,19.05,18.65,18.75,10017500,TPB
2024-04-02,18.65,18.85,18.3,18.85,10357500,TPB
2024-04-03,18.8,18.8,18.45,18.5,8201800,TPB
2024-04-04,18.5,18.55,18.3,18.4,11405700,TPB
2024-04-05,18.2,18.35,18.1,18.2,9629700,TPB
2024-04-08,18.2,18.6,18.1,18.25,11665800,TPB
2024-04-09,18.35,18.6,18.15,18.6,4445600,TPB
2024-04-10,18.65,18.65,18.35,18.35,4267500,TPB
2024-04-11,18.1,18.35,18.1,18.35,6870000,TPB
2024-04-12,18.35,18.7,18.25,18.7,10980100,TPB
2024-04-15,18.45,18.65,17.5,17.5,12288000,TPB
2024-04-16,17.5,17.75,17.0,17.6,16793400,TPB
2024-04-17,17.7,17.7,17.0,17.0,6196500,TPB
2024-04-19,16.95,17.1,16.4,16.6,8460400,TPB
2024-04-22,17.0,17.55,16.8,17.5,12634100,TPB
2024-04-23,17.4,17.6,17.15,17.25,6323700,TPB
2024-04-24,17.55,18.0,17.5,18.0,11888100,TPB
2024-04-25,17.95,18.0,17.7,17.95,4944200,TPB
2024-04-26,17.65,17.95,17.65,17.9,3090800,TPB
2024-05-02,17.9,17.95,17.65,17.65,1667000,TPB
2024-05-03,17.75,17.9,17.5,17.5,7855100,TPB
2024-05-06,17.7,17.9,17.6,17.8,4036600,TPB
2024-05-07,17.85,17.85,17.6,17.75,2573500,TPB
2024-05-08,17.7,17.8,17.55,17.75,4167200,TPB
2024-05-09,17.8,18.4,17.7,18.15,15535600,TPB
2024-05-10,18.2,18.3,18.0,18.1,8319000,TPB
2024-05-13,18.1,18.35,17.9,18.0,5842600,TPB
2024-05-14,18.05,18.2,17.9,18.0,4385800,TPB
2024-05-15,18.2,18.2,17.9,17.95,9486200,TPB
2024-05-16,18.2,18.4,18.0,18.35,9637600,TPB
2024-05-17,18.4,18.65,18.25,18.4,12133500,TPB
2024-05-20,18.4,18.6,18.4,18.45,13761500,TPB
2024-05-21,18.5,18.5,18.2,18.35,4448700,TPB
2024-05-22,18.4,18.45,18.1,18.15,6154000,TPB
2024-05-23,18.15,18.3,18.05,18.3,5060500,TPB
2024-05-24,18.0,18.35,17.6,17.75,15598300,TPB
2024-05-27,17.75,17.9,17.55,17.7,5790100,TPB
2024-05-28,17.8,17.9,17.7,17.85,4456600,TPB
2024-05-29,17.9,17.9,17.7,17.7,4679700,TPB
2024-05-30,17.7,17.75,17.5,17.7,6358400,TPB
2024-05-31,17.7,17.8,17.55,17.65,3886000,TPB
