date,open,high,low,close,volume,ticker
2024-01-02,82.9,83.6,82.2,83.5,1785800,VCB
2024-01-03,83.5,84.5,82.8,84.5,1373000,VCB
2024-01-04,84.5,86.2,84.0,85.9,2657900,VCB
2024-01-05,85.9,86.2,85.7,86.2,1180300,VCB
2024-01-08,86.3,86.8,86.3,86.8,1607800,VCB
2024-01-09,86.8,87.9,86.8,87.8,1926400,VCB
2024-01-10,87.8,89.5,87.2,89.5,1795400,VCB
2024-01-11,89.5,90.0,88.6,89.3,1489100,VCB
2024-01-12,88.1,89.5,87.4,88.7,1909500,VCB
2024-01-15,89.0,90.1,88.9,90.0,1914200,VCB
2024-01-16,89.0,90.1,88.9,90.0,1367200,VCB
2024-01-17,89.0,91.0,89.0,90.9,1578200,VCB
2024-01-18,90.9,91.2,90.0,91.1,1422900,VCB
2024-01-19,91.0,93.0,90.4,92.6,1472600,VCB
2024-01-22,93.5,93.5,92.0,92.0,1046300,VCB
2024-01-23,92.1,92.4,90.4,91.5,1256900,VCB
2024-01-24,91.6,92.0,90.9,91.1,744700,VCB
2024-01-25,91.1,91.6,90.7,91.0,503300,VCB
2024-01-26,91.6,92.0,91.4,92.0,953100,VCB
2024-01-29,91.8,92.0,90.9,91.2,730500,VCB
2024-01-30,91.2,91.2,90.1,91.0,888600,VCB
2024-01-31,90.6,90.6,88.5,88.5,945600,VCB
2024-02-01,88.0,90.2,88.0,89.8,598100,VCB
2024-02-02,89.1,90.5,89.1,90.3,733000,VCB
2024-02-05,90.2,90.6,89.4,90.0,1949000,VCB
2024-02-06,90.3,90.6,89.1,89.5,1352300,VCB
2024-02-07,90.0,90.8,89.3,90.0,1371400,VCB
2024-02-15,90.0,90.7,89.1,89.9,1046700,VCB
2024-02-16,89.9,90.2,89.5,89.6,734100,VCB
2024-02-19,89.9,90.5,89.3,90.2,1045300,VCB
2024-02-20,90.1,91.4,89.4,91.3,1404300,VCB
2024-02-21,91.7,91.7,90.5,91.2,1367400,VCB
2024-02-22,90.6,91.0,89.5,89.5,1223900,VCB
2024-02-23,89.5,91.4,88.9,88.9,1800900,VCB
2024-02-26,88.9,90.0,88.9,89.5,722000,VCB
2024-02-27,89.6,91.2,89.1,91.1,1604900,VCB
2024-02-28,91.0,97.4,90.4,97.4,4219900,VCB
2024-02-29,98.5,100.5,97.3,97.3,1897000,VCB
2024-03-01,98.2,98.2,94.9,97.3,2379600,VCB
2024-03-04,98.0,98.0,95.6,96.0,1640400,VCB
2024-03-05,96.6,96.6,95.2,95.5,1364800,VCB
2024-03-06,95.5,96.8,95.4,96.2,1307400,VCB
2024-03-07,95.9,97.4,95.5,95.8,2362300,VCB
2024-03-08,95.9,96.5,95.1,95.1,2229600,VCB
2024-03-11,95.1,96.0,94.1,94.1,1840000,VCB
2024-03-12,94.1,94.9,94.0,94.4,1107000,VCB
2024-03-13,94.9,96.5,94.3,96.0,3124500,VCB
2024-03-14,96.0,96.1,94.6,95.0,2319300,VCB
2024-03-15,95.0,95.0,93.9,94.0,2302500,VCB
2024-03-18,94.3,94.5,92.5,93.0,1839300,VCB
2024-03-19,92.5,93.5,92.5,92.5,868500,VCB
2024-03-20,92.5,94.1,92.5,93.2,897700,VCB
2024-03-21,94.0,95.5,94.0,95.2,1452700,VCB
2024-03-22,95.2,96.8,95.2,96.4,1844100,VCB
2024-03-25,95.0,96.9,94.1,95.7,1368800,VCB
2024-03-26,96.0,96.6,95.8,96.3,735400,VCB
2024-03-27,96.2,96.2,95.6,95.8,1046200,VCB
2024-03-28,96.2,96.4,95.6,95.7,1232800,VCB
2024-03-29,95.9,95.9,94.9,94.9,801200,VCB
2024-04-01,94.9,96.0,94.7,95.2,1221000,VCB
2024-04-02,95.1,95.2,93.9,94.5,969000,VCB
2024-04-03,94.4,94.8,93.8,93.8,1321100,VCB
2024-04-04,94.9,96.0,94.4,96.0,2022700,VCB
2024-04-05,94.8,95.6,94.2,94.9,779200,VCB
2024-04-08,94.9,95.3,94.2,94.9,864100,VCB
2024-04-09,95.0,95.4,94.2,94.3,686800,VCB
2024-04-10,94.3,94.6,94.1,94.5,737400,VCB
2024-04-11,94.0,94.6,93.5,94.0,778000,VCB
2024-04-12,94.5,95.5,93.8,94.6,844800,VCB
2024-04-15,94.6,96.5,92.0,92.0,1900300,VCB
2024-04-16,93.8,93.8,90.5,91.0,1857700,VCB
2024-04-17,91.2,92.1,89.5,90.5,1452600,VCB
2024-04-19,90.0,90.9,89.7,90.5,1324800,VCB
2024-04-22,90.5,91.4,90.2,90.6,999100,VCB
2024-04-23,90.6,91.2,89.2,90.1,1562900,VCB
2024-04-24,91.0,91.1,90.1,90.6,1925200,VCB
2024-04-25,90.6,92.9,90.5,91.0,1235700,VCB
2024-04-26,91.7,93.3,91.2,91.2,1698300,VCB
2024-05-02,92.1,92.5,91.1,91.9,932400,VCB
2024-05-03,92.4,93.4,91.8,92.5,1470700,VCB
2024-05-06,92.9,93.3,92.7,93.0,1147200,VCB
2024-05-07,93.4,94.1,92.9,92.9,1154200,VCB
2024-05-08,92.7,93.2,92.1,93.0,1246000,VCB
2024-05-09,92.9,93.4,92.3,92.5,606600,VCB
2024-05-10,92.7,92.7,91.7,92.0,823400,VCB
2024-05-13,92.1,92.4,90.5,91.0,1232600,VCB
2024-05-14,91.1,91.6,90.5,90.6,818400,VCB
2024-05-15,91.0,91.3,90.8,91.0,883100,VCB
2024-05-16,92.0,92.7,91.5,92.6,1713900,VCB
2024-05-17,92.6,92.6,91.7,91.8,1084700,VCB
2024-05-20,92.3,93.0,91.8,91.9,1043800,VCB
2024-05-21,91.9,92.0,90.7,91.1,1486400,VCB
2024-05-22,91.5,91.7,90.7,90.7,1347700,VCB
2024-05-23,90.7,91.5,90.5,91.0,1317500,VCB
2024-05-24,91.0,91.0,90.0,90.2,2241500,VCB
2024-05-27,90.4,90.6,89.7,90.2,1058500,VCB
2024-05-28,89.8,90.7,89.8,90.7,1350100,VCB
2024-05-29,90.8,91.0,89.8,89.8,1186300,VCB
2024-05-30,89.5,89.7,88.5,88.6,2356000,VCB
2024-05-31,88.7,89.0,87.2,87.2,3921500,VCB
2024-06-03,88.0,89.3,88.0,88.2,2108600,VCB
2024-06-04,88.9,89.2,88.3,88.7,1814600,VCB
2024-06-05,88.7,89.5,88.6,88.8,1882800,VCB
2024-06-06,88.9,89.7,88.8,89.0,1699700,VCB
2024-06-07,89.1,89.7,88.5,88.5,1129500,VCB
2024-06-10,88.9,89.2,87.9,88.0,2641600,VCB
2024-06-11,88.3,88.4,87.1,87.2,2252400,VCB
2024-06-12,87.4,89.2,87.0,88.7,2249800,VCB
2024-06-13,88.9,89.1,88.4,88.4,1600400,VCB
2024-06-14,88.5,89.1,87.5,87.5,2482100,VCB
2024-06-17,87.6,87.8,87.1,87.1,2293700,VCB
2024-06-18,87.5,88.5,87.1,87.1,1370900,VCB
2024-06-19,87.3,87.5,86.5,86.6,2174300,VCB
2024-06-20,86.6,86.6,85.6,86.0,2648800,VCB
2024-06-21,86.1,86.7,85.5,86.0,1808400,VCB
2024-06-24,86.0,87.4,85.5,85.5,2149800,VCB
2024-06-25,85.7,86.7,85.5,85.5,1565900,VCB
2024-06-26,85.9,86.3,85.2,85.2,1706900,VCB
2024-06-27,85.2,86.0,85.2,85.2,1423000,VCB
2024-06-28,86.0,86.0,85.0,85.2,1112400,VCB
2024-07-01,85.8,86.2,85.2,86.1,1179200,VCB
2024-07-02,86.7,88.8,86.2,88.2,2425200,VCB
2024-07-03,88.0,88.7,87.8,88.5,2250700,VCB
2024-07-04,88.6,89.7,88.0,88.0,3060300,VCB
2024-07-05,88.1,89.2,88.0,88.0,1847400,VCB
2024-07-08,88.0,88.7,87.2,87.2,1143800,VCB
2024-07-09,87.5,88.4,86.7,88.1,1549000,VCB
2024-07-10,88.3,89.2,88.0,88.6,1722900,VCB
2024-07-11,88.6,88.9,88.1,88.1,1445100,VCB
2024-07-12,88.2,88.6,87.6,87.6,1373400,VCB
2024-07-15,87.6,88.3,87.5,87.5,1172000,VCB
2024-07-16,87.6,88.6,87.6,87.9,1534100,VCB
2024-07-17,88.8,90.0,87.5,88.0,3362500,VCB
