date,open,high,low,close,volume,ticker
2015-01-05,47.7,47.7,47.3,47.6,320790,VIC
2015-01-06,47.4,47.8,47.3,47.8,462360,VIC
2015-01-07,47.8,48.0,47.5,47.7,319600,VIC
2015-01-08,47.7,48.4,47.7,48.0,788420,VIC
2015-01-09,48.0,48.6,47.8,47.8,969330,VIC
2015-01-12,47.8,48.2,47.3,47.3,472380,VIC
2015-01-13,47.2,47.6,46.9,47.1,784490,VIC
2015-01-14,47.4,47.4,47.0,47.1,585600,VIC
2015-01-15,47.1,47.5,46.8,47.4,826580,VIC
2015-01-16,47.4,47.4,47.0,47.3,275570,VIC
2015-01-19,47.3,47.9,47.2,47.3,407620,VIC
2015-01-20,47.4,47.6,47.1,47.1,316350,VIC
2015-01-21,47.1,47.4,47.1,47.1,227060,VIC
2015-01-22,47.4,47.4,47.1,47.1,204950,VIC
2015-01-23,47.4,48.0,47.3,48.0,770380,VIC
2015-01-26,48.5,48.9,48.0,48.2,241650,VIC
2015-01-27,48.2,48.3,47.4,48.0,517330,VIC
2015-01-28,47.6,48.0,47.5,47.6,323250,VIC
2015-01-29,47.6,47.8,47.4,47.6,185770,VIC
2015-01-30,47.7,48.4,47.6,48.0,938950,VIC
2015-02-02,48.0,48.1,47.7,47.7,408830,VIC
2015-02-03,47.7,47.8,46.9,46.9,304890,VIC
2015-02-04,47.3,47.3,46.5,46.9,754650,VIC
2015-02-05,46.7,47.0,46.7,46.8,264080,VIC
2015-02-06,47.0,47.2,46.8,46.9,160630,VIC
2015-02-09,46.9,47.5,46.9,47.3,437370,VIC
2015-02-10,47.5,47.7,47.2,47.2,362290,VIC
2015-02-11,47.4,48.5,47.2,48.5,894030,VIC
2015-02-12,48.9,50.0,48.8,50.0,2221520,VIC
2015-02-13,50.0,51.5,50.0,50.5,1455720,VIC
2015-02-24,51.0,51.5,50.0,51.5,906580,VIC
2015-02-25,51.0,51.5,50.0,50.0,756990,VIC
2015-02-26,50.0,50.5,49.2,49.9,1158830,VIC
2015-02-27,50.0,50.0,49.5,49.5,538120,VIC
2015-03-02,49.6,50.0,49.5,49.9,788530,VIC
2015-03-03,49.9,52.5,49.9,52.0,2373010,VIC
2015-03-04,52.0,52.0,51.0,51.5,816360,VIC
2015-03-05,51.0,51.5,50.5,51.0,845730,VIC
2015-03-06,50.0,51.0,49.9,49.9,1493200,VIC
2015-03-09,49.9,50.5,49.6,49.7,661550,VIC
2015-03-10,49.5,49.9,49.4,49.7,895980,VIC
2015-03-11,49.7,49.7,49.2,49.3,844110,VIC
2015-03-12,49.3,49.9,49.3,49.6,814790,VIC
2015-03-13,49.6,49.9,49.5,49.6,529480,VIC
2015-03-16,49.5,49.6,48.9,49.2,1155790,VIC
2015-03-17,49.3,49.4,49.1,49.3,332570,VIC
2015-03-18,49.3,49.4,49.2,49.3,709890,VIC
2015-03-19,49.3,49.5,48.8,49.1,787290,VIC
2015-03-20,49.4,49.2,48.6,48.6,1952070,VIC
2015-03-23,49.1,49.1,48.2,48.3,709040,VIC
2015-03-24,48.3,48.4,48.1,48.3,1057820,VIC
2015-03-25,48.3,48.4,48.1,48.2,637570,VIC
2015-03-26,48.0,48.2,47.5,47.5,581580,VIC
2015-03-27,48.3,48.3,47.0,47.1,1097010,VIC
2015-03-30,47.2,47.3,46.6,46.6,934790,VIC
2015-03-31,47.2,47.1,46.6,47.0,710820,VIC
2015-04-01,46.6,47.0,46.0,46.0,482240,VIC
2015-04-02,46.4,46.4,45.9,46.3,444740,VIC
2015-04-03,46.3,46.3,46.1,46.1,311650,VIC
2015-04-06,46.1,46.2,45.9,45.9,455810,VIC
2015-04-07,45.9,46.2,45.7,46.2,672070,VIC
2015-04-08,46.2,46.3,46.0,46.0,611130,VIC
2015-04-09,46.0,46.6,46.0,46.1,639520,VIC
2015-04-10,46.3,47.9,46.3,47.5,1224360,VIC
