date,open,high,low,close,volume,ticker
2024-01-02,68.2,68.5,67.9,68.3,2142800,VNM
2024-01-03,68.4,69.0,68.0,69.0,1889800,VNM
2024-01-04,69.1,69.5,69.0,69.0,3401500,VNM
2024-01-05,69.3,69.3,68.5,68.8,1475700,VNM
2024-01-08,69.0,69.1,68.2,68.2,2396400,VNM
2024-01-09,68.2,68.5,68.0,68.1,2460400,VNM
2024-01-10,68.1,68.1,67.4,67.5,3006600,VNM
2024-01-11,67.5,68.5,67.5,67.9,2083900,VNM
2024-01-12,67.6,67.9,67.0,67.2,3283000,VNM
2024-01-15,67.2,67.5,67.0,67.0,2226700,VNM
2024-01-16,67.0,67.4,66.7,67.4,2072400,VNM
2024-01-17,67.5,67.9,67.0,67.1,1826400,VNM
2024-01-18,67.3,67.8,67.3,67.4,1228400,VNM
2024-01-19,67.4,68.6,67.4,68.0,2619900,VNM
2024-01-22,68.0,68.7,68.0,68.3,1959800,VNM
2024-01-23,68.3,68.3,67.6,67.7,2112000,VNM
2024-01-24,67.8,68.0,67.2,67.3,2083500,VNM
2024-01-25,67.4,67.5,66.9,66.9,2660500,VNM
2024-01-26,67.0,67.5,67.0,67.0,1675800,VNM
2024-01-29,67.1,67.3,66.9,67.0,1732800,VNM
2024-01-30,67.3,67.3,66.9,66.9,1790400,VNM
2024-01-31,67.2,68.2,66.9,67.0,4020100,VNM
2024-02-01,67.2,67.8,67.2,67.5,2499300,VNM
2024-02-02,67.5,67.7,67.0,67.4,2611300,VNM
2024-02-05,67.4,68.2,67.2,68.0,3565900,VNM
2024-02-06,68.1,68.2,67.6,67.6,2392800,VNM
2024-02-07,67.6,67.9,67.2,67.6,2736300,VNM
2024-02-15,67.6,68.0,67.2,67.6,3876600,VNM
2024-02-16,67.8,70.3,67.5,70.0,11114600,VNM
2024-02-19,70.9,72.6,70.7,71.9,6652800,VNM
2024-02-20,71.7,72.4,71.3,71.5,4385700,VNM
2024-02-21,71.5,71.9,71.0,71.3,3590200,VNM
2024-02-22,71.3,72.7,71.1,71.6,4648100,VNM
2024-02-23,71.8,72.7,71.0,71.0,6142500,VNM
2024-02-26,71.0,71.7,70.7,71.0,3048400,VNM
2024-02-27,71.2,72.4,71.1,72.0,5282500,VNM
2024-02-28,72.4,72.6,71.5,72.2,3419000,VNM
2024-02-29,72.6,73.3,71.6,72.0,6539800,VNM
2024-03-01,72.1,72.1,71.2,71.5,4397700,VNM
2024-03-04,71.8,72.7,71.6,72.0,5014600,VNM
2024-03-05,72.0,73.0,71.7,73.0,5440900,VNM
2024-03-06,73.3,73.5,72.0,72.1,3403000,VNM
2024-03-07,71.7,72.1,71.3,72.0,5067600,VNM
2024-03-08,72.1,72.9,70.0,70.0,7361000,VNM
2024-03-11,70.5,71.3,70.0,70.3,4208400,VNM
2024-03-12,70.4,70.6,70.0,70.0,3844000,VNM
2024-03-13,70.1,70.9,70.0,70.8,5646500,VNM
2024-03-14,71.0,71.3,70.3,70.5,5445400,VNM
2024-03-15,70.1,70.1,68.7,68.8,4851100,VNM
2024-03-18,68.8,69.1,67.6,67.9,6796400,VNM
2024-03-19,68.5,68.5,67.8,67.8,3164500,VNM
2024-03-20,67.8,68.6,67.5,68.0,3546900,VNM
2024-03-21,68.2,68.5,67.9,68.4,4906200,VNM
2024-03-22,68.6,68.7,67.8,67.8,6066700,VNM
2024-03-25,67.9,68.2,67.1,67.3,5450700,VNM
2024-03-26,67.4,67.9,67.3,67.7,2504200,VNM
2024-03-27,68.0,68.0,67.5,67.7,2637700,VNM
2024-03-28,67.7,68.4,67.6,67.7,4470700,VNM
2024-03-29,68.4,68.4,67.5,67.6,3484600,VNM
2024-04-01,67.6,67.7,67.0,67.0,4988000,VNM
2024-04-02,67.0,67.4,66.7,67.3,4322900,VNM
2024-04-03,67.3,67.3,66.7,66.7,5046100,VNM
2024-04-04,66.7,68.4,66.7,68.2,7472800,VNM
2024-04-05,68.2,68.2,67.7,67.9,4233800,VNM
2024-04-08,68.0,68.0,66.9,67.0,3666000,VNM
2024-04-09,67.1,67.3,66.8,67.0,2516000,VNM
2024-04-10,67.1,67.3,66.8,66.8,2765500,VNM
2024-04-11,66.7,66.9,66.5,66.6,2947700,VNM
2024-04-12,66.8,67.1,66.6,66.7,2509200,VNM
2024-04-15,66.7,66.7,64.9,64.9,5756100,VNM
2024-04-16,64.9,65.0,63.0,64.0,7128700,VNM
2024-04-17,64.4,64.9,64.2,64.2,4589800,VNM
2024-04-19,64.2,64.4,63.3,64.2,4516100,VNM
2024-04-22,64.7,65.3,64.0,64.0,2035200,VNM
2024-04-23,64.2,64.3,63.2,63.5,2014400,VNM
2024-04-24,64.0,64.3,63.5,64.0,2401300,VNM
2024-04-25,64.0,64.8,63.9,64.7,1916000,VNM
2024-04-26,64.7,65.8,64.5,65.0,2940600,VNM
2024-05-02,65.4,65.5,64.9,65.4,2563400,VNM
2024-05-03,65.6,66.0,65.5,65.6,1966400,VNM
2024-05-06,65.8,66.4,65.5,65.8,2261300,VNM
2024-05-07,66.0,68.5,65.9,68.0,8485900,VNM
2024-05-08,68.0,68.0,67.1,67.9,2964400,VNM
2024-05-09,67.9,67.9,66.6,66.6,2998000,VNM
2024-05-10,66.7,67.5,66.1,66.5,2418100,VNM
2024-05-13,66.6,66.8,65.4,65.8,2732500,VNM
2024-05-14,65.9,67.0,65.9,66.5,2433100,VNM
2024-05-15,66.9,67.3,66.7,67.0,3234900,VNM
2024-05-16,67.1,67.7,67.0,67.2,2911400,VNM
2024-05-17,67.3,67.8,66.8,67.0,4169000,VNM
2024-05-20,67.1,67.6,66.4,66.4,4920600,VNM
2024-05-21,66.4,66.6,65.8,66.2,3799500,VNM
2024-05-22,66.4,66.7,65.8,65.8,3618300,VNM
2024-05-23,66.0,67.0,65.8,67.0,2991400,VNM
2024-05-24,66.7,66.9,65.7,66.0,4104100,VNM
2024-05-27,66.1,66.6,65.8,66.1,2336600,VNM
2024-05-28,66.3,67.3,66.1,66.8,5347500,VNM
2024-05-29,67.0,67.3,66.0,66.3,3357900,VNM
2024-05-30,66.1,66.2,65.5,65.7,4412600,VNM
2024-05-31,65.9,65.9,65.3,65.4,4143400,VNM
2024-06-03,65.8,66.6,65.7,66.1,3190500,VNM
2024-06-04,66.1,66.6,66.0,66.0,2445200,VNM
2024-06-05,66.2,69.2,66.2,68.5,11865800,VNM
2024-06-06,69.0,69.0,67.2,67.2,4887800,VNM
2024-06-07,67.6,68.6,67.5,67.8,4127600,VNM
2024-06-10,68.4,68.5,67.2,67.2,4564100,VNM
2024-06-11,67.4,67.5,66.4,66.5,6177100,VNM
2024-06-12,66.5,67.3,66.3,67.0,3425100,VNM
2024-06-13,67.0,67.4,66.8,66.9,2803600,VNM
2024-06-14,67.0,67.3,66.2,66.2,4124200,VNM
2024-06-17,66.3,66.6,66.0,66.0,3617600,VNM
2024-06-18,66.5,66.5,65.9,65.9,2751700,VNM
2024-06-19,66.0,66.0,65.1,65.3,6155000,VNM
2024-06-20,65.4,66.8,65.2,66.0,4397100,VNM
2024-06-21,66.5,67.1,66.0,66.0,3967700,VNM
2024-06-24,66.1,66.6,65.3,65.5,3847700,VNM
2024-06-25,65.8,66.2,65.5,65.5,2433600,VNM
2024-06-26,65.8,65.8,65.1,65.2,2485100,VNM
2024-06-27,65.2,65.6,65.1,65.3,2708400,VNM
2024-06-28,65.5,66.0,65.3,65.5,2731700,VNM
2024-07-01,65.8,66.0,65.3,66.0,1909300,VNM
2024-07-02,66.0,66.3,65.8,66.2,2042800,VNM
2024-07-03,66.2,66.3,66.0,66.2,1332600,VNM
2024-07-04,66.3,66.9,66.3,66.4,2688900,VNM
2024-07-05,66.4,67.5,66.4,67.2,4180100,VNM
2024-07-08,67.3,67.7,67.0,67.6,4942400,VNM
2024-07-09,67.6,67.8,67.2,67.5,5045200,VNM
2024-07-10,67.5,67.8,66.8,66.8,3881700,VNM
2024-07-11,66.9,67.0,66.3,66.3,3787100,VNM
2024-07-12,66.4,66.6,66.1,66.3,2079900,VNM
2024-07-15,66.3,66.9,66.2,66.2,2155300,VNM
2024-07-16,66.4,66.7,66.1,66.1,2243700,VNM
2024-07-17,66.2,66.5,65.6,65.7,3464800,VNM
2024-07-18,66.0,66.0,65.5,65.9,2283000,VNM
2024-07-19,65.9,65.9,65.1,65.3,3392700,VNM
2024-07-22,65.3,66.0,65.2,65.4,2654800,VNM
2024-07-23,65.6,66.3,65.5,65.9,3777800,VNM
2024-07-24,65.8,66.1,65.6,65.6,3613500,VNM
2024-07-25,65.6,65.7,65.3,65.6,1957600,VNM
2024-07-26,65.4,66.2,65.4,65.8,2975400,VNM
2024-07-29,66.2,67.6,65.9,67.2,5781800,VNM
2024-07-30,67.3,68.4,66.9,67.7,6375600,VNM
2024-07-31,68.5,72.0,68.5,71.6,21144900,VNM
2024-08-01,71.8,71.9,70.1,70.3,8865800,VNM
2024-08-02,70.0,71.9,70.0,71.5,10290200,VNM
2024-08-05,71.0,71.2,68.5,69.4,12155500,VNM
2024-08-06,70.3,73.3,70.0,72.7,13496200,VNM
2024-08-07,73.2,73.8,72.4,73.8,10700700,VNM
2024-08-08,73.9,74.4,72.2,72.7,5811000,VNM
