date,open,high,low,close,volume,ticker
2024-01-02,19.2,19.2,18.85,18.85,8798600,VPB
2024-01-03,18.85,19.1,18.65,19.1,8220900,VPB
2024-01-04,19.15,19.65,18.95,19.35,25321300,VPB
2024-01-05,19.35,19.45,19.1,19.2,9906800,VPB
2024-01-08,19.3,19.4,19.15,19.25,9012800,VPB
2024-01-09,19.25,19.35,19.1,19.15,6451500,VPB
2024-01-10,19.1,19.75,19.1,19.6,31567400,VPB
2024-01-11,19.8,19.85,19.55,19.65,17937600,VPB
2024-01-12,19.45,19.75,19.3,19.65,25020500,VPB
2024-01-15,19.8,19.8,19.35,19.35,11340300,VPB
2024-01-16,19.3,19.45,19.2,19.45,9593500,VPB
2024-01-17,19.45,19.55,19.25,19.3,11934200,VPB
2024-01-18,19.4,19.55,19.3,19.5,8447900,VPB
2024-01-19,19.55,19.75,19.55,19.7,16580100,VPB
2024-01-22,19.85,19.95,19.7,19.8,16135000,VPB
2024-01-23,19.85,19.9,19.65,19.7,10961900,VPB
2024-01-24,19.7,19.8,19.55,19.65,7406900,VPB
2024-01-25,19.65,19.7,19.55,19.65,5002000,VPB
2024-01-26,19.7,19.75,19.65,19.75,7546300,VPB
2024-01-29,19.75,19.75,19.55,19.75,4834600,VPB
2024-01-30,19.65,19.85,19.65,19.7,6805100,VPB
2024-01-31,19.65,19.7,19.15,19.4,20001700,VPB
2024-02-01,19.35,19.35,19.1,19.15,6507100,VPB
2024-02-02,19.15,19.2,18.8,18.8,16720300,VPB
2024-02-05,18.85,19.45,18.85,19.2,10730400,VPB
2024-02-06,19.3,19.4,19.2,19.3,5805600,VPB
2024-02-07,19.35,19.6,19.3,19.6,10722600,VPB
2024-02-15,19.6,20.15,19.6,19.8,19362100,VPB
2024-02-16,19.95,19.95,19.7,19.85,7324700,VPB
2024-02-19,19.85,19.95,19.65,19.8,11047900,VPB
2024-02-20,19.7,19.75,19.5,19.6,16244900,VPB
2024-02-21,19.6,20.0,19.6,19.75,17579300,VPB
2024-02-22,19.8,19.9,19.6,19.7,10541600,VPB
2024-02-23,19.7,20.25,19.5,19.5,42130600,VPB
2024-02-26,19.55,19.55,19.2,19.25,12770300,VPB
2024-02-27,19.35,19.5,19.2,19.35,17762400,VPB
2024-02-28,19.4,19.9,19.4,19.9,20960400,VPB
2024-02-29,20.1,20.2,19.65,19.9,17115500,VPB
2024-03-01,19.9,19.9,19.65,19.65,9758900,VPB
2024-03-04,19.8,19.8,19.6,19.6,12989200,VPB
2024-03-05,19.6,19.75,19.55,19.75,8094000,VPB
2024-03-06,19.8,19.85,19.5,19.55,6629200,VPB
2024-03-07,19.4,19.6,19.4,19.45,8016100,VPB
2024-03-08,19.45,19.5,18.95,19.0,29743400,VPB
2024-03-11,18.95,19.1,18.55,18.55,16575400,VPB
2024-03-12,18.55,18.75,18.5,18.55,10959400,VPB
2024-03-13,18.65,19.1,18.6,19.05,10986000,VPB
2024-03-14,19.1,19.1,18.65,18.8,9582800,VPB
2024-03-15,18.75,18.8,18.55,18.65,13581400,VPB
2024-03-18,18.65,18.7,17.95,18.2,23317100,VPB
2024-03-19,18.2,18.5,18.1,18.15,12349900,VPB
2024-03-20,18.2,18.65,18.2,18.65,11504800,VPB
2024-03-21,18.75,18.95,18.55,18.75,16882000,VPB
2024-03-22,18.9,19.0,18.65,18.8,14969100,VPB
2024-03-25,18.8,19.15,18.65,18.9,19751100,VPB
2024-03-26,18.9,19.6,18.9,19.6,37172800,VPB
2024-03-27,19.65,19.75,19.35,19.6,16220800,VPB
2024-03-28,19.65,19.8,19.5,19.65,14691300,VPB
2024-03-29,19.7,19.8,19.45,19.75,20541100,VPB
2024-04-01,19.6,19.75,19.45,19.65,11686300,VPB
2024-04-02,19.55,19.6,18.9,19.55,25838800,VPB
2024-04-03,19.35,19.5,19.25,19.35,16269600,VPB
2024-04-04,19.4,19.6,19.2,19.3,12592700,VPB
2024-04-05,19.1,19.45,19.0,19.45,11106300,VPB
2024-04-08,19.45,19.45,19.1,19.4,8428800,VPB
2024-04-09,19.35,19.4,19.15,19.35,9349100,VPB
2024-04-10,19.4,19.95,19.3,19.35,29210400,VPB
2024-04-11,19.35,19.6,19.3,19.35,9554900,VPB
2024-04-12,19.4,19.7,19.4,19.7,17723300,VPB
2024-04-15,19.6,19.8,18.4,18.6,28346300,VPB
2024-04-16,18.7,19.0,18.5,18.75,23551000,VPB
2024-04-17,18.95,19.05,18.15,18.15,13194900,VPB
2024-04-19,18.15,18.5,17.95,18.1,15355900,VPB
2024-04-22,18.4,18.6,18.25,18.3,8682900,VPB
2024-04-23,18.35,18.6,18.0,18.4,15635300,VPB
2024-04-24,18.5,18.75,18.4,18.6,13072600,VPB
2024-04-25,18.75,18.75,18.35,18.6,10618000,VPB
2024-04-26,18.4,18.6,18.3,18.55,8253200,VPB
2024-05-02,18.55,18.6,18.3,18.3,6332900,VPB
2024-05-03,18.4,18.5,18.35,18.4,10568400,VPB
2024-05-06,18.5,18.75,18.4,18.75,11299500,VPB
2024-05-07,18.75,18.85,18.55,18.8,7408000,VPB
2024-05-08,18.65,18.8,18.5,18.55,10945500,VPB
2024-05-09,18.65,18.85,18.5,18.75,9750600,VPB
2024-05-10,18.7,18.75,18.4,18.5,10354900,VPB
2024-05-13,18.55,18.9,18.45,18.8,16732700,VPB
2024-05-14,19.0,19.3,18.9,19.1,20931300,VPB
2024-05-15,19.25,19.25,19.05,19.05,10503000,VPB
2024-05-16,19.2,19.45,19.1,19.4,20748200,VPB
2024-05-17,19.4,19.45,19.25,19.4,12369500,VPB
2024-05-20,19.55,19.85,19.5,19.8,25252400,VPB
2024-05-21,19.8,19.85,19.6,19.8,24050900,VPB
2024-05-22,18.8,18.8,18.25,18.3,22572900,VPB
2024-05-23,18.3,18.5,18.15,18.5,9367000,VPB
2024-05-24,18.4,18.5,18.0,18.0,19560300,VPB
2024-05-27,18.15,18.15,17.95,18.0,7401000,VPB
2024-05-28,18.1,18.2,18.0,18.05,8406700,VPB
2024-05-29,18.1,18.1,17.95,18.05,8290900,VPB
2024-05-30,18.0,18.0,17.7,17.95,10458100,VPB
