symbol,date,open,high,low,close,volume
BID,2016-01-04,10340,10430,10140,10140,1019270
BID,2016-01-05,10090,10250,10040,10090,1104280
BID,2016-01-06,10040,10200,10040,10140,895200
BID,2016-01-07,10090,10140,9530,9680,2583350
BID,2016-01-08,9680,9680,9190,9440,1217770
BID,2016-01-11,9530,9680,9490,9530,902550
BID,2016-01-12,9530,9680,9530,9680,615630
BID,2016-01-13,9730,9780,9490,9530,528540
BID,2016-01-14,9440,9490,9240,9290,1115000
BID,2016-01-15,9290,9440,8930,8930,1334000
BID,2016-01-18,8730,8730,8330,8330,3664530
BID,2016-01-19,8330,8630,8330,8580,1606710
BID,2016-01-20,8580,8580,8440,8490,760120
BID,2016-01-21,8440,8490,7930,7930,2699730
BID,2016-01-22,7930,7980,7380,7530,5376560
BID,2016-01-25,7830,8029,7780,8029,1964520
BID,2016-01-26,8080,8440,7780,8280,2678070
BID,2016-01-27,8280,8680,8230,8630,2314620
BID,2016-01-28,8730,8780,8280,8280,1853090
BID,2016-01-29,8280,8490,8230,8440,1764470
BID,2016-02-01,8280,8490,8180,8180,1626710
BID,2016-02-02,8130,8440,8029,8130,824540
BID,2016-02-03,8080,8230,8029,8230,718690
BID,2016-02-04,8280,8330,8130,8130,1099370
BID,2016-02-05,8130,8230,8080,8230,490750
BID,2016-02-15,8180,8280,8080,8230,452890
BID,2016-02-16,8280,8280,8130,8180,781240
BID,2016-02-17,8180,8180,8029,8029,1511740
BID,2016-02-18,8130,8230,8080,8080,1277910
BID,2016-02-19,8130,8380,8080,8280,1647780
BID,2016-02-22,8380,8630,8330,8630,2247920
BID,2016-02-23,8730,8730,8490,8540,1871900
BID,2016-02-24,8490,9080,8440,9080,5780650
BID,2016-02-25,9340,9530,9080,9190,3264500
BID,2016-02-26,9290,9390,9140,9240,1813600
BID,2016-02-29,9140,9190,8880,8880,2484180
BID,2016-03-01,8980,9080,8880,8880,1866330
BID,2016-03-02,9030,9190,8980,9190,1811300
BID,2016-03-03,9190,9240,9030,9140,1274450
BID,2016-03-04,9140,9190,9080,9080,1180200
BID,2016-03-07,9140,9140,8980,8980,1713710
BID,2016-03-08,8980,9030,8880,8930,1485440
BID,2016-03-09,8930,8980,8680,8730,1236990
BID,2016-03-10,8830,8880,8730,8880,951910
BID,2016-03-11,8980,9030,8880,8880,1299460
BID,2016-03-14,8880,8980,8830,8880,968310
BID,2016-03-15,8880,8880,8730,8780,1208710
BID,2016-03-16,8780,8930,8730,8880,1398670
BID,2016-03-17,8930,8980,8880,8880,970590
BID,2016-03-18,8880,8880,8680,8830,954300
BID,2016-03-21,8880,8980,8830,8830,1464080
BID,2016-03-22,8830,8830,8680,8680,1313850
BID,2016-03-23,8730,8830,8680,8830,994300
BID,2016-03-24,8780,8780,8630,8630,943010
BID,2016-03-25,8630,8680,8490,8680,1473220
BID,2016-03-28,8730,8730,8580,8630,580320
BID,2016-03-29,8540,8630,8490,8490,697840
BID,2016-03-30,8490,8540,8380,8490,824140
BID,2016-03-31,8580,8630,8380,8380,769430
BID,2016-04-01,8440,8540,8330,8330,1187420
BID,2016-04-04,8330,8540,8280,8280,764980
BID,2016-04-05,8280,8380,8280,8330,437370
BID,2016-04-06,8330,8490,8330,8490,1197530
BID,2016-04-07,8540,8540,8440,8490,452990
