symbol,date,open,high,low,close,volume
CTG,2016-01-04,7860,7900,7690,7770,404050
CTG,2016-01-05,7690,7770,7650,7690,319920
CTG,2016-01-06,7690,7810,7690,7770,544940
CTG,2016-01-07,7690,7810,7560,7690,1592360
CTG,2016-01-08,7650,7650,7520,7520,992590
CTG,2016-01-11,7520,7600,7470,7520,667790
CTG,2016-01-12,7520,7600,7470,7560,591100
CTG,2016-01-13,7600,7650,7520,7520,458080
CTG,2016-01-14,7520,7520,7340,7520,853540
CTG,2016-01-15,7520,7560,7380,7470,648830
CTG,2016-01-18,7300,7300,6970,7140,1397320
CTG,2016-01-19,7090,7380,7090,7380,1027250
CTG,2016-01-20,7340,7340,7180,7180,608350
CTG,2016-01-21,7140,7230,6920,6970,1144260
CTG,2016-01-22,6970,7010,6710,6840,874560
CTG,2016-01-25,7010,7300,7010,7300,879160
CTG,2016-01-26,7230,7380,7140,7380,974540
CTG,2016-01-27,7380,7560,7380,7430,390160
CTG,2016-01-28,7430,7470,7300,7300,168290
CTG,2016-01-29,7300,7340,7230,7300,220720
CTG,2016-02-01,7470,7470,7260,7260,325280
CTG,2016-02-02,7260,7380,7230,7260,163090
CTG,2016-02-03,7180,7260,7090,7230,182840
CTG,2016-02-04,7300,7300,7230,7300,242050
CTG,2016-02-05,7300,7340,7300,7300,223150
CTG,2016-02-15,7180,7340,7180,7300,153830
CTG,2016-02-16,7300,7340,7260,7260,168880
CTG,2016-02-17,7260,7300,7230,7260,264310
CTG,2016-02-18,7260,7380,7230,7380,462570
CTG,2016-02-19,7340,7380,7300,7300,464980
CTG,2016-02-22,7340,7380,7230,7300,798720
CTG,2016-02-23,7340,7380,7260,7260,547820
CTG,2016-02-24,7230,7730,7230,7730,3102090
CTG,2016-02-25,7810,7860,7650,7810,1745900
CTG,2016-02-26,7770,7810,7730,7770,391080
CTG,2016-02-29,7730,7730,7560,7560,927670
CTG,2016-03-01,7560,7650,7470,7470,795250
CTG,2016-03-02,7520,7650,7520,7600,600340
CTG,2016-03-03,7650,7690,7560,7650,908900
CTG,2016-03-04,7650,7690,7560,7560,988840
CTG,2016-03-07,7650,7650,7520,7560,738230
CTG,2016-03-08,7520,7600,7430,7520,1265670
CTG,2016-03-09,7520,7560,7380,7380,848880
CTG,2016-03-10,7430,7470,7380,7430,337750
CTG,2016-03-11,7470,7520,7380,7380,599880
CTG,2016-03-14,7430,7470,7340,7380,556200
CTG,2016-03-15,7380,7380,7260,7340,749470
CTG,2016-03-16,7340,7430,7300,7340,661310
CTG,2016-03-17,7380,7470,7340,7380,948590
CTG,2016-03-18,7380,7430,7340,7340,210600
CTG,2016-03-21,7380,7520,7340,7340,633320
CTG,2016-03-22,7300,7380,7260,7260,478150
CTG,2016-03-23,7260,7340,7260,7300,206120
CTG,2016-03-24,7340,7340,7180,7180,549240
CTG,2016-03-25,7180,7230,7050,7180,653890
CTG,2016-03-28,7260,7260,7140,7180,260810
CTG,2016-03-29,7180,7180,7050,7050,531710
CTG,2016-03-30,7090,7090,7010,7090,693910
CTG,2016-03-31,7090,7090,6920,6970,573010
CTG,2016-04-01,6970,7010,6880,6920,499970
CTG,2016-04-04,6920,7010,6880,7010,341700
CTG,2016-04-05,6970,7050,6920,6970,316480
CTG,2016-04-06,6970,7090,6920,7090,1125710
CTG,2016-04-07,7140,7140,7010,7090,1000690
CTG,2016-04-08,7140,7140,7050,7090,485640
CTG,2016-04-11,7140,7140,6970,7010,1579920
CTG,2016-04-12,7010,7050,6840,6880,1469180
CTG,2016-04-13,6880,6920,6800,6880,889370
CTG,2016-04-14,6920,6970,6840,6840,479910
CTG,2016-04-15,6840,6920,6840,6880,1575310
CTG,2016-04-19,6920,6920,6750,6800,593650
CTG,2016-04-20,6800,6840,6710,6800,809560
CTG,2016-04-21,6840,6840,6750,6800,436360
CTG,2016-04-22,6800,7260,6750,7140,2636290
CTG,2016-04-25,7230,7380,7230,7260,2999940
CTG,2016-04-26,7300,7300,7140,7180,644470
CTG,2016-04-27,7230,7230,7010,7010,1759290
CTG,2016-04-28,6970,7010,6840,6880,1137280
CTG,2016-04-29,6840,7180,6840,7050,1345320
CTG,2016-05-04,7050,7090,6920,6970,775300
CTG,2016-05-05,7050,7180,6970,7090,1517550
CTG,2016-05-06,7090,7380,7090,7340,3576280
CTG,2016-05-09,7430,7560,7300,7340,2398820
CTG,2016-05-10,7260,7470,7230,7380,1709950
CTG,2016-05-11,7430,7650,7340,7650,3463790
CTG,2016-05-12,7730,7730,7470,7520,1282940
CTG,2016-05-13,7520,7690,7430,7520,1600710
CTG,2016-05-16,7520,7520,7380,7430,894230
CTG,2016-05-17,7520,7650,7470,7650,1847570
CTG,2016-05-18,7600,7730,7560,7600,1645270
CTG,2016-05-19,7600,7650,7520,7520,555110
