symbol,date,open,high,low,close,volume,"('date', '')","('open', 'FPT.VN')","('high', 'FPT.VN')","('low', 'FPT.VN')","('close', 'FPT.VN')","('volume', 'FPT.VN')"
FPT,2016-01-04,9020.0,9050.0,8900.0,8900.0,602210.0,,,,,,
FPT,2016-01-05,8900.0,8940.0,8880.0,8900.0,734050.0,,,,,,
FPT,2016-01-06,8900.0,8970.0,8900.0,8930.0,446810.0,,,,,,
FPT,2016-01-07,8930.0,8930.0,8750.0,8750.0,1841620.0,,,,,,
FPT,2016-01-08,8720.0,8740.0,8550.0,8610.0,1773760.0,,,,,,
FPT,2016-01-11,8610.0,8610.0,8550.0,8550.0,805440.0,,,,,,
FPT,2016-01-12,8550.0,8740.0,8510.0,8740.0,582160.0,,,,,,
FPT,2016-01-13,8750.0,8810.0,8610.0,8640.0,542910.0,,,,,,
FPT,2016-01-14,8580.0,8640.0,8550.0,8610.0,509720.0,,,,,,
FPT,2016-01-15,8610.0,8660.0,8550.0,8580.0,593280.0,,,,,,
FPT,2016-01-18,8480.0,8510.0,8250.0,8360.0,2255130.0,,,,,,
FPT,2016-01-19,8390.0,8440.0,8320.0,8400.0,873480.0,,,,,,
FPT,2016-01-20,8400.0,8480.0,8360.0,8360.0,651980.0,,,,,,
FPT,2016-01-21,8320.0,8400.0,8300.0,8360.0,647810.0,,,,,,
FPT,2016-01-22,8390.0,8400.0,8250.0,8340.0,692750.0,,,,,,
FPT,2016-01-25,8480.0,8770.0,8390.0,8770.0,892040.0,,,,,,
FPT,2016-01-26,8660.0,8680.0,8550.0,8550.0,661130.0,,,,,,
FPT,2016-01-27,8660.0,8660.0,8610.0,8610.0,336620.0,,,,,,
FPT,2016-01-28,8610.0,8640.0,8530.0,8550.0,491030.0,,,,,,
FPT,2016-01-29,8610.0,8660.0,8550.0,8640.0,496970.0,,,,,,
FPT,2016-02-01,8660.0,8740.0,8550.0,8680.0,584110.0,,,,,,
FPT,2016-02-02,8610.0,8700.0,8610.0,8610.0,184210.0,,,,,,
FPT,2016-02-03,8640.0,8740.0,8610.0,8680.0,641500.0,,,,,,
FPT,2016-02-04,8740.0,8740.0,8660.0,8660.0,282030.0,,,,,,
FPT,2016-02-05,8700.0,8750.0,8660.0,8740.0,363780.0,,,,,,
FPT,2016-02-15,8700.0,8720.0,8610.0,8700.0,342070.0,,,,,,
FPT,2016-02-16,8750.0,8840.0,8700.0,8810.0,346480.0,,,,,,
FPT,2016-02-17,8870.0,8990.0,8840.0,8840.0,719440.0,,,,,,
FPT,2016-02-18,8880.0,9010.0,8870.0,8970.0,737190.0,,,,,,
FPT,2016-02-19,8940.0,8940.0,8870.0,8880.0,530400.0,,,,,,
FPT,2016-02-22,8880.0,8990.0,8880.0,8990.0,518820.0,,,,,,
FPT,2016-02-23,9050.0,9050.0,8900.0,8900.0,727180.0,,,,,,
FPT,2016-02-24,8880.0,8940.0,8870.0,8900.0,655980.0,,,,,,
FPT,2016-02-25,8940.0,9010.0,8870.0,8870.0,673070.0,,,,,,
FPT,2016-02-26,8880.0,8900.0,8830.0,8880.0,383230.0,,,,,,
FPT,2016-02-29,8930.0,8930.0,8870.0,8900.0,516250.0,,,,,,
FPT,2016-03-01,8880.0,9110.0,8870.0,8990.0,1215810.0,,,,,,
FPT,2016-03-02,9020.0,9100.0,9010.0,9080.0,811910.0,,,,,,
FPT,2016-03-03,9110.0,9180.0,9100.0,9100.0,831440.0,,,,,,
FPT,2016-03-04,9070.0,9180.0,9070.0,9130.0,855930.0,,,,,,
FPT,2016-03-07,9130.0,9200.0,9070.0,9070.0,731820.0,,,,,,
FPT,2016-03-08,9070.0,9080.0,8940.0,8940.0,1138510.0,,,,,,
FPT,2016-03-09,8900.0,8990.0,8900.0,8940.0,406000.0,,,,,,
FPT,2016-03-10,9010.0,9010.0,8930.0,8990.0,278390.0,,,,,,
FPT,2016-03-11,9020.0,9110.0,9020.0,9050.0,752610.0,,,,,,
FPT,2016-03-14,9160.0,9200.0,9080.0,9080.0,1011740.0,,,,,,
FPT,2016-03-15,9110.0,9140.0,9050.0,9050.0,545350.0,,,,,,
FPT,2016-03-16,9050.0,9080.0,9020.0,9050.0,492970.0,,,,,,
FPT,2016-03-17,9070.0,9110.0,9050.0,9050.0,630200.0,,,,,,
FPT,2016-03-18,9140.0,9290.0,9130.0,9180.0,2537440.0,,,,,,
FPT,2016-03-21,9180.0,9210.0,9130.0,9160.0,708370.0,,,,,,
FPT,2016-03-22,9130.0,9140.0,9080.0,9080.0,630690.0,,,,,,
FPT,2016-03-23,9080.0,9130.0,9050.0,9080.0,573490.0,,,,,,
FPT,2016-03-24,9100.0,9110.0,9020.0,9020.0,831940.0,,,,,,
FPT,2016-03-25,8990.0,9020.0,8870.0,8930.0,1134790.0,,,,,,
FPT,2016-03-28,9010.0,9010.0,8930.0,8940.0,402090.0,,,,,,
FPT,2016-03-29,8940.0,8940.0,8830.0,8840.0,731100.0,,,,,,
FPT,2016-03-30,8790.0,8930.0,8790.0,8840.0,595920.0,,,,,,
FPT,2016-03-31,8840.0,8940.0,8770.0,8770.0,623130.0,,,,,,
FPT,2016-04-01,8770.0,8790.0,8700.0,8720.0,530180.0,,,,,,
FPT,2016-04-04,8700.0,8750.0,8700.0,8720.0,370410.0,,,,,,
FPT,2016-04-05,8720.0,8790.0,8700.0,8750.0,286440.0,,,,,,
FPT,2016-04-06,8750.0,8830.0,8740.0,8830.0,288080.0,,,,,,
FPT,2016-04-07,8840.0,8930.0,8830.0,8900.0,485800.0,,,,,,
FPT,2016-04-08,8870.0,8940.0,8870.0,8870.0,312220.0,,,,,,
FPT,2016-04-11,8900.0,8990.0,8840.0,8930.0,814800.0,,,,,,
FPT,2016-04-12,8940.0,8940.0,8840.0,8880.0,393630.0,,,,,,
FPT,2016-04-13,8870.0,8900.0,8840.0,8870.0,568090.0,,,,,,
FPT,2016-04-14,8840.0,8900.0,8840.0,8840.0,572360.0,,,,,,
FPT,2016-04-15,8870.0,8880.0,8790.0,8790.0,712110.0,,,,,,
FPT,2016-04-19,8790.0,8840.0,8750.0,8750.0,545970.0,,,,,,
FPT,2016-04-20,8750.0,8790.0,8740.0,8770.0,878290.0,,,,,,
FPT,2016-04-21,8810.0,8840.0,8770.0,8810.0,496340.0,,,,,,
FPT,2016-04-22,8810.0,8900.0,8770.0,8900.0,829700.0,,,,,,
FPT,2016-04-25,8940.0,9010.0,8900.0,8930.0,562230.0,,,,,,
FPT,2016-04-26,8930.0,8940.0,8840.0,8930.0,333520.0,,,,,,
FPT,2016-04-27,8940.0,8970.0,8840.0,8880.0,593060.0,,,,,,
FPT,2016-04-28,8940.0,9180.0,8880.0,9020.0,3007080.0,,,,,,
FPT,2016-04-29,9020.0,9080.0,9010.0,9070.0,614320.0,,,,,,
FPT,2016-05-04,8970.0,9010.0,8880.0,8970.0,771190.0,,,,,,
FPT,2016-05-05,8930.0,9020.0,8900.0,8900.0,908780.0,,,,,,
FPT,2016-05-06,8900.0,8940.0,8840.0,8840.0,693360.0,,,,,,
FPT,2016-05-09,8870.0,8900.0,8790.0,8790.0,605810.0,,,,,,
FPT,2016-05-10,8770.0,8840.0,8750.0,8810.0,465650.0,,,,,,
FPT,2016-05-11,8880.0,8900.0,8810.0,8880.0,290200.0,,,,,,
FPT,2016-05-12,8930.0,8930.0,8830.0,8830.0,412430.0,,,,,,
FPT,2016-05-13,8840.0,8870.0,8790.0,8830.0,393240.0,,,,,,
FPT,2016-05-16,8830.0,8840.0,8790.0,8810.0,310390.0,,,,,,
FPT,2016-05-17,8830.0,8900.0,8810.0,8870.0,354380.0,,,,,,
FPT,2016-05-18,8940.0,9020.0,8880.0,8880.0,692880.0,,,,,,
FPT,2016-05-19,8940.0,8940.0,8870.0,8880.0,186020.0,,,,,,
FPT,2016-05-20,8880.0,8930.0,8880.0,8930.0,485060.0,,,,,,
FPT,2016-05-23,9010.0,9010.0,8900.0,8900.0,345150.0,,,,,,
FPT,2016-05-24,8930.0,8940.0,8880.0,8880.0,369180.0,,,,,,
FPT,2016-05-25,8900.0,8930.0,8870.0,8880.0,598370.0,,,,,,
FPT,2016-05-26,8900.0,8930.0,8840.0,8840.0,1328870.0,,,,,,
FPT,2016-05-27,8860.0,9000.0,8830.0,8980.0,543580.0,,,,,,
FPT,2016-05-30,8980.0,9070.0,8980.0,9000.0,447160.0,,,,,,
FPT,2016-05-31,9020.0,9020.0,8930.0,8930.0,589350.0,,,,,,
FPT,2016-06-01,8980.0,8980.0,8930.0,8930.0,519620.0,,,,,,
