symbol,date,open,high,low,close,volume,"('date', '')","('open', 'GAS.VN')","('high', 'GAS.VN')","('low', 'GAS.VN')","('close', 'GAS.VN')","('volume', 'GAS.VN')"
GAS,2016-01-04,18260.0,18310.0,17900.0,17900.0,182580.0,,,,,,
GAS,2016-01-05,17900.0,18050.0,17810.0,17860.0,233890.0,,,,,,
GAS,2016-01-06,17860.0,18010.0,17860.0,17950.0,105380.0,,,,,,
GAS,2016-01-07,17810.0,17810.0,17070.0,17070.0,759190.0,,,,,,
GAS,2016-01-08,17100.0,17370.0,17020.0,17310.0,332300.0,,,,,,
GAS,2016-01-11,17310.0,17470.0,17220.0,17310.0,324170.0,,,,,,
GAS,2016-01-12,16880.0,17220.0,16880.0,17170.0,337230.0,,,,,,
GAS,2016-01-13,17170.0,17660.0,17170.0,17310.0,473070.0,,,,,,
GAS,2016-01-14,17310.0,17310.0,16970.0,17020.0,435400.0,,,,,,
GAS,2016-01-15,17100.0,17270.0,16970.0,16970.0,214240.0,,,,,,
GAS,2016-01-18,16760.0,16760.0,15780.0,15780.0,1238200.0,,,,,,
GAS,2016-01-19,15830.0,16079.0,15730.0,15780.0,514120.0,,,,,,
GAS,2016-01-20,15780.0,15780.0,15180.0,15180.0,873730.0,,,,,,
GAS,2016-01-21,14890.0,15180.0,14740.0,14830.0,1009530.0,,,,,,
GAS,2016-01-22,15040.0,15880.0,14930.0,15830.0,1189260.0,,,,,,
GAS,2016-01-25,16720.0,16910.0,16720.0,16910.0,753540.0,,,,,,
GAS,2016-01-26,16810.0,18050.0,16329.0,17560.0,1059720.0,,,,,,
GAS,2016-01-27,18050.0,18400.0,17900.0,18050.0,967500.0,,,,,,
GAS,2016-01-28,18310.0,18610.0,17950.0,18150.0,1009030.0,,,,,,
GAS,2016-01-29,18550.0,19390.0,18350.0,19390.0,1288510.0,,,,,,
GAS,2016-02-01,19480.0,19540.0,18550.0,18550.0,1125880.0,,,,,,
GAS,2016-02-02,17860.0,18200.0,17560.0,17810.0,766710.0,,,,,,
GAS,2016-02-03,17270.0,18900.0,17100.0,18900.0,869550.0,,,,,,
GAS,2016-02-04,19340.0,19340.0,18650.0,18810.0,357750.0,,,,,,
GAS,2016-02-05,18810.0,18810.0,18550.0,18810.0,193980.0,,,,,,
GAS,2016-02-15,18610.0,19040.0,18550.0,18900.0,799110.0,,,,,,
GAS,2016-02-16,18950.0,19790.0,18950.0,19790.0,1364980.0,,,,,,
GAS,2016-02-17,19680.0,19740.0,19290.0,19480.0,765590.0,,,,,,
GAS,2016-02-18,20040.0,20780.0,19980.0,20620.0,1427340.0,,,,,,
GAS,2016-02-19,20190.0,21270.0,20190.0,21030.0,1219680.0,,,,,,
GAS,2016-02-22,20920.0,21420.0,20920.0,21220.0,691380.0,,,,,,
GAS,2016-02-23,21380.0,22250.0,21380.0,21420.0,1480380.0,,,,,,
GAS,2016-02-24,21320.0,21470.0,20780.0,21180.0,1509510.0,,,,,,
GAS,2016-02-25,21660.0,21660.0,20670.0,20670.0,686070.0,,,,,,
GAS,2016-02-26,21030.0,21220.0,20780.0,21030.0,787790.0,,,,,,
GAS,2016-02-29,21180.0,21420.0,21080.0,21120.0,612850.0,,,,,,
GAS,2016-03-01,21320.0,21860.0,21120.0,21560.0,909320.0,,,,,,
GAS,2016-03-02,21760.0,22020.0,21660.0,21820.0,779100.0,,,,,,
GAS,2016-03-03,22120.0,22460.0,22120.0,22360.0,775150.0,,,,,,
GAS,2016-03-04,22250.0,22960.0,22160.0,22900.0,1085350.0,,,,,,
GAS,2016-03-07,23690.0,24480.0,23600.0,24430.0,1965600.0,,,,,,
GAS,2016-03-08,24730.0,25470.0,23750.0,23840.0,1734860.0,,,,,,
GAS,2016-03-09,23300.0,23890.0,23300.0,23450.0,978270.0,,,,,,
GAS,2016-03-10,24040.0,24230.0,23650.0,23890.0,896680.0,,,,,,
GAS,2016-03-11,23890.0,23950.0,23600.0,23800.0,926390.0,,,,,,
GAS,2016-03-14,23950.0,24090.0,23800.0,23840.0,535200.0,,,,,,
GAS,2016-03-15,23600.0,23600.0,22900.0,23000.0,1433850.0,,,,,,
GAS,2016-03-16,23050.0,23350.0,22960.0,23200.0,609350.0,,,,,,
GAS,2016-03-17,24600.0,24640.0,24230.0,24230.0,1231580.0,,,,,,
GAS,2016-03-18,24600.0,24600.0,23870.0,23870.0,739470.0,,,,,,
GAS,2016-03-21,23770.0,23870.0,23250.0,23250.0,670640.0,,,,,,
GAS,2016-03-22,23620.0,24030.0,23040.0,23510.0,1011840.0,,,,,,
GAS,2016-03-23,23510.0,24030.0,23460.0,23970.0,612230.0,,,,,,
GAS,2016-03-24,23660.0,23770.0,23310.0,23310.0,855580.0,,,,,,
GAS,2016-03-25,23200.0,23460.0,23100.0,23360.0,750070.0,,,,,,
GAS,2016-03-28,23400.0,23510.0,23250.0,23360.0,273940.0,,,,,,
GAS,2016-03-29,23200.0,23200.0,22480.0,22480.0,824770.0,,,,,,
GAS,2016-03-30,22370.0,22630.0,22120.0,22210.0,607540.0,,,,,,
GAS,2016-03-31,22120.0,22120.0,21190.0,21190.0,814690.0,,,,,,
GAS,2016-04-01,21190.0,21560.0,21130.0,21440.0,470820.0,,,,,,
GAS,2016-04-04,20770.0,21440.0,20770.0,20880.0,697070.0,,,,,,
GAS,2016-04-05,20660.0,21190.0,20450.0,21190.0,813570.0,,,,,,
GAS,2016-04-06,21750.0,22210.0,21600.0,22210.0,844500.0,,,,,,
GAS,2016-04-07,22800.0,23000.0,22520.0,22800.0,1021450.0,,,,,,
GAS,2016-04-08,23510.0,23510.0,22590.0,22800.0,693050.0,,,,,,
GAS,2016-04-11,23360.0,23620.0,23200.0,23250.0,968630.0,,,,,,
GAS,2016-04-12,23250.0,23560.0,23250.0,23510.0,914510.0,,,,,,
GAS,2016-04-13,23930.0,24290.0,23620.0,23870.0,1273840.0,,,,,,
GAS,2016-04-14,23510.0,23930.0,23510.0,23720.0,714940.0,,,,,,
GAS,2016-04-15,23770.0,24180.0,23770.0,23930.0,880220.0,,,,,,
GAS,2016-04-19,23250.0,23310.0,22800.0,22890.0,1543460.0,,,,,,
GAS,2016-04-20,23150.0,23200.0,22940.0,23150.0,859070.0,,,,,,
GAS,2016-04-21,23660.0,24600.0,23620.0,24600.0,1430930.0,,,,,,
GAS,2016-04-22,24290.0,25570.0,24290.0,25570.0,2152670.0,,,,,,
