symbol,date,open,high,low,close,volume
GVR,2018-03-21,12960.0,12960.0,8460.0,9420.0,515800
GVR,2018-03-22,9500.0,9760.0,8810.0,9420.0,260800
GVR,2018-03-23,9150.0,9150.0,8640.0,9060.0,111800
GVR,2018-03-26,8810.0,9060.0,8810.0,8900.0,267800
GVR,2018-03-27,9330.0,9500.0,9060.0,9420.0,52200
GVR,2018-03-28,9420.0,10180.0,9330.0,9940.0,139800
GVR,2018-03-29,10100.0,10620.0,9850.0,10270.0,587200
GVR,2018-03-30,10710.0,11220.0,9760.0,10620.0,540800
GVR,2018-04-02,10800.0,11220.0,10800.0,11140.0,348000
GVR,2018-04-03,11140.0,11220.0,10800.0,10880.0,421300
GVR,2018-04-04,11060.0,11060.0,10360.0,10360.0,216100
GVR,2018-04-05,10540.0,10710.0,9670.0,9760.0,166200
GVR,2018-04-06,10180.0,10180.0,9500.0,9580.0,165600
GVR,2018-04-09,9330.0,9330.0,9150.0,9330.0,78200
GVR,2018-04-10,9150.0,9670.0,9060.0,9580.0,102000
GVR,2018-04-11,9330.0,9670.0,8980.0,9150.0,332300
GVR,2018-04-12,9150.0,9420.0,8980.0,9420.0,192400
GVR,2018-04-13,9500.0,9500.0,9150.0,9150.0,81100
GVR,2018-04-16,9150.0,9240.0,9060.0,9060.0,102600
GVR,2018-04-17,8980.0,9330.0,8980.0,9330.0,159800
GVR,2018-04-18,9330.0,9420.0,9150.0,9240.0,83800
GVR,2018-04-19,9150.0,9240.0,8980.0,9240.0,165400
GVR,2018-04-20,9150.0,9240.0,8980.0,9150.0,76100
GVR,2018-04-23,9150.0,9150.0,8810.0,9150.0,211500
GVR,2018-04-24,8640.0,8980.0,8640.0,8900.0,21100
GVR,2018-04-26,8810.0,8900.0,8640.0,8640.0,102600
GVR,2018-04-27,8810.0,8900.0,8640.0,8730.0,82200
GVR,2018-05-02,8640.0,8640.0,8640.0,8640.0,59200
GVR,2018-05-03,9240.0,9240.0,8640.0,9060.0,56200
GVR,2018-05-04,8640.0,8980.0,8640.0,8900.0,5500
GVR,2018-05-07,8900.0,8980.0,8640.0,8730.0,130900
GVR,2018-05-08,8640.0,8900.0,8550.0,8640.0,98300
GVR,2018-05-09,8640.0,8730.0,8550.0,8730.0,166300
GVR,2018-05-10,8550.0,8810.0,8460.0,8640.0,122500
GVR,2018-05-11,8640.0,8640.0,8460.0,8550.0,155800
GVR,2018-05-14,8550.0,8550.0,8290.0,8550.0,122000
GVR,2018-05-15,8550.0,8640.0,8380.0,8640.0,111100
GVR,2018-05-16,8460.0,8460.0,8460.0,8460.0,39000
GVR,2018-05-17,8550.0,8640.0,8460.0,8460.0,73100
GVR,2018-05-18,8640.0,8640.0,8550.0,8640.0,67100
GVR,2018-05-21,8550.0,8640.0,8550.0,8550.0,144400
GVR,2018-05-22,8640.0,8640.0,8460.0,8460.0,212200
GVR,2018-05-23,8460.0,8460.0,8200.0,8200.0,87700
GVR,2018-05-24,8290.0,8380.0,8200.0,8290.0,42700
GVR,2018-05-25,8290.0,8380.0,8109.0,8109.0,33000
GVR,2018-05-28,8109.0,8200.0,7600.0,7690.0,194500
GVR,2018-05-29,7600.0,7870.0,7600.0,7690.0,48100
GVR,2018-05-30,7600.0,7600.0,7350.0,7350.0,204200
GVR,2018-05-31,7510.0,7690.0,7510.0,7690.0,70800
GVR,2018-06-01,7600.0,7690.0,7510.0,7600.0,48200
GVR,2018-06-04,7600.0,7780.0,7510.0,7600.0,52900
GVR,2018-06-05,7600.0,7600.0,7260.0,7260.0,201900
GVR,2018-06-06,7350.0,7350.0,7260.0,7260.0,187800
GVR,2018-06-07,7260.0,7600.0,7260.0,7600.0,144800
GVR,2018-06-08,7350.0,7350.0,7170.0,7260.0,136900
GVR,2018-06-11,7260.0,7350.0,7260.0,7260.0,60400
GVR,2018-06-12,7260.0,7260.0,7080.0,7170.0,112600
GVR,2018-06-13,7170.0,7260.0,7170.0,7260.0,33700
GVR,2018-06-14,7170.0,7170.0,6570.0,6900.0,182100
GVR,2018-06-15,6990.0,6990.0,6900.0,6900.0,95300
GVR,2018-06-18,6900.0,6900.0,6220.0,6900.0,106100
GVR,2018-06-19,6740.0,6740.0,5790.0,5960.0,166500
GVR,2018-06-20,6300.0,6990.0,6300.0,6900.0,161400
GVR,2018-06-21,6900.0,6900.0,6570.0,6900.0,141300
GVR,2018-06-22,6660.0,6990.0,6570.0,6740.0,247200
GVR,2018-06-25,6900.0,6990.0,6740.0,6990.0,231700
GVR,2018-06-26,6820.0,7170.0,6740.0,7170.0,47800
GVR,2018-06-27,7170.0,7950.0,7170.0,7870.0,295200
GVR,2018-06-28,7870.0,7950.0,7510.0,7780.0,59600
GVR,2018-06-29,7870.0,7870.0,7600.0,7690.0,64400
GVR,2018-07-02,7690.0,7690.0,7600.0,7600.0,30200
GVR,2018-07-03,6820.0,7510.0,6820.0,7510.0,32300
GVR,2018-07-04,7260.0,8200.0,7260.0,7870.0,139400
GVR,2018-07-05,7690.0,7870.0,6820.0,7350.0,200300
GVR,2018-07-06,7170.0,7350.0,7170.0,7350.0,90000
GVR,2018-07-09,7350.0,7420.0,7350.0,7420.0,20500
GVR,2018-07-10,7080.0,7350.0,6990.0,7350.0,69100
GVR,2018-07-11,7170.0,7170.0,6990.0,7170.0,472100
GVR,2018-07-12,7170.0,7170.0,6900.0,6900.0,64000
GVR,2018-07-13,7170.0,7170.0,7080.0,7080.0,372000
GVR,2018-07-16,7080.0,7080.0,6900.0,7080.0,187000
GVR,2018-07-17,6900.0,6900.0,6740.0,6820.0,33900
GVR,2018-07-18,7080.0,7080.0,6820.0,6820.0,27200
GVR,2018-07-19,6740.0,6820.0,6480.0,6820.0,101800
GVR,2018-07-20,6820.0,7510.0,6820.0,7510.0,114400
GVR,2018-07-23,7510.0,7690.0,7350.0,7510.0,500
GVR,2018-07-24,7080.0,7080.0,6990.0,6990.0,43000
GVR,2018-07-25,7420.0,7420.0,6990.0,7080.0,60200
GVR,2018-07-26,7080.0,7350.0,7080.0,7350.0,882600
GVR,2018-07-27,7080.0,7350.0,7080.0,7080.0,246900
GVR,2018-07-30,7080.0,7080.0,6990.0,7080.0,5400
GVR,2018-07-31,6990.0,7080.0,6900.0,6900.0,74900
GVR,2018-08-01,6900.0,7080.0,6900.0,7080.0,81600
GVR,2018-08-02,6990.0,6990.0,6990.0,6990.0,4400
GVR,2018-08-03,6990.0,7080.0,6990.0,7080.0,10800
GVR,2018-08-06,7080.0,7080.0,7080.0,7080.0,2800
GVR,2018-08-07,7080.0,7170.0,7080.0,7080.0,68600
GVR,2018-08-08,6990.0,7080.0,6900.0,7080.0,52000
GVR,2018-08-09,7080.0,7080.0,6990.0,6990.0,16800
GVR,2018-08-10,6900.0,6990.0,6900.0,6900.0,41900
GVR,2018-08-13,6900.0,6990.0,6900.0,6900.0,900
GVR,2018-08-14,6990.0,6990.0,6900.0,6900.0,25800
GVR,2018-08-15,6990.0,6990.0,6900.0,6990.0,235000
GVR,2018-08-16,6820.0,6820.0,6820.0,6820.0,105700
GVR,2018-08-17,6820.0,7080.0,6820.0,6820.0,60600
GVR,2018-08-20,6820.0,6900.0,6740.0,6820.0,72300
GVR,2018-08-21,6820.0,6900.0,6740.0,6900.0,37800
GVR,2018-08-22,6820.0,6900.0,6820.0,6900.0,11200
GVR,2018-08-23,6900.0,6900.0,6900.0,6900.0,8800
GVR,2018-08-24,6900.0,6900.0,6900.0,6900.0,16500
GVR,2018-08-27,6900.0,6900.0,6900.0,6900.0,16300
GVR,2018-08-28,6820.0,6990.0,6740.0,6900.0,42100
GVR,2018-08-29,6900.0,6900.0,6900.0,6900.0,7600
GVR,2018-08-30,7080.0,7780.0,6900.0,7170.0,1460300
GVR,2018-08-31,7170.0,7170.0,6900.0,6900.0,225500
GVR,2018-09-04,6990.0,7080.0,6990.0,6990.0,19000
GVR,2018-09-05,6900.0,6900.0,6740.0,6900.0,29500
GVR,2018-09-06,6820.0,6900.0,6740.0,6820.0,19000
GVR,2018-09-07,6900.0,6900.0,6820.0,6820.0,11600
GVR,2018-09-10,6820.0,6820.0,6820.0,6820.0,15000
GVR,2018-09-11,6820.0,6990.0,6820.0,6820.0,241360
GVR,2018-09-12,6900.0,6900.0,6820.0,6820.0,163700
GVR,2018-09-13,6820.0,6900.0,6740.0,6820.0,12000
GVR,2018-09-14,6820.0,6900.0,6820.0,6900.0,158000
GVR,2018-09-17,6820.0,6820.0,6740.0,6820.0,346950
GVR,2018-09-18,6820.0,6820.0,6740.0,6820.0,86300
GVR,2018-09-19,6820.0,6820.0,6740.0,6820.0,19300
GVR,2018-09-20,6900.0,6900.0,6820.0,6820.0,45200
GVR,2018-09-21,6900.0,7260.0,6900.0,6900.0,68300
GVR,2018-09-24,7080.0,7170.0,6990.0,7080.0,53200
GVR,2018-09-25,6990.0,7170.0,6990.0,7080.0,47900
GVR,2018-09-26,7260.0,7350.0,7170.0,7170.0,92800
GVR,2018-09-27,7260.0,7260.0,7080.0,7080.0,16100
GVR,2018-09-28,7170.0,7260.0,7170.0,7170.0,31400
