symbol,date,open,high,low,close,volume
HDB,2018-01-05,7440,7560,6960,7560,32205910
HDB,2018-01-08,7630,7630,7560,7570,3321420
HDB,2018-01-09,7570,7590,7420,7590,4537340
HDB,2018-01-10,7480,7700,7460,7700,8726070
HDB,2018-01-11,7710,8109,7700,8109,9874500
HDB,2018-01-12,8670,8670,8130,8670,18714750
HDB,2018-01-15,8690,8720,8390,8690,6559820
HDB,2018-01-16,8570,8620,8490,8570,6271100
HDB,2018-01-17,8150,8570,8150,8150,5794700
HDB,2018-01-18,8130,8390,7960,8390,5371340
HDB,2018-01-19,8500,8800,8500,8620,6728810
HDB,2018-01-22,8540,8670,8460,8650,4402360
HDB,2018-01-25,8690,9210,8580,9120,10284390
HDB,2018-01-26,9120,9180,8840,8980,5637470
HDB,2018-01-29,8990,9080,8840,8980,6592140
HDB,2018-01-30,8980,8980,8720,8980,6121930
HDB,2018-01-31,8950,8950,8780,8890,5581950
HDB,2018-02-01,8890,8910,8740,8780,3428660
HDB,2018-02-02,8780,8780,8650,8780,4567580
HDB,2018-02-05,8620,8700,8170,8200,3353170
HDB,2018-02-06,7630,7880,7630,7830,3906020
HDB,2018-02-07,8090,8370,8070,8370,4238270
HDB,2018-02-08,8370,8750,8300,8570,4667920
HDB,2018-02-09,8360,8540,8029,8500,3454800
HDB,2018-02-12,8540,8980,8520,8880,3436010
HDB,2018-02-13,8960,8960,8690,8890,5066980
HDB,2018-02-21,8950,8990,8690,8910,3263200
HDB,2018-02-22,8820,8820,8580,8580,2243860
HDB,2018-02-23,8580,8880,8460,8500,2175420
HDB,2018-02-26,8500,8780,8340,8390,2378080
HDB,2018-02-27,8500,8500,8170,8500,1579540
HDB,2018-02-28,8390,8500,8200,8470,2241390
HDB,2018-03-01,8270,8390,8240,8380,2739770
HDB,2018-03-02,8300,8300,8240,8300,1808640
HDB,2018-03-05,8320,8340,8189,8200,2578830
HDB,2018-03-06,8200,8300,8170,8240,2479350
HDB,2018-03-07,8240,8380,8050,8109,1357460
HDB,2018-03-08,8200,8300,7980,8109,2182740
