symbol,date,open,high,low,close,volume
HPG,2016-01-04,2940.0,2940.0,2880.0,2880.0,404530
HPG,2016-01-05,2870.0,2900.0,2860.0,2860.0,628760
HPG,2016-01-06,2860.0,2910.0,2860.0,2910.0,658730
HPG,2016-01-07,2870.0,2870.0,2820.0,2820.0,1030130
HPG,2016-01-08,2780.0,2820.0,2760.0,2780.0,864290
HPG,2016-01-11,2790.0,2790.0,2770.0,2780.0,488320
HPG,2016-01-12,2770.0,2820.0,2770.0,2810.0,343540
HPG,2016-01-13,2820.0,2820.0,2760.0,2760.0,685150
HPG,2016-01-14,2750.0,2750.0,2640.0,2660.0,1479820
HPG,2016-01-15,2660.0,2670.0,2540.0,2560.0,2199370
HPG,2016-01-18,2420.0,2500.0,2390.0,2480.0,2898070
HPG,2016-01-19,2500.0,2560.0,2480.0,2530.0,2466700
HPG,2016-01-20,2510.0,2560.0,2470.0,2530.0,1989300
HPG,2016-01-21,2480.0,2560.0,2480.0,2560.0,2017340
HPG,2016-01-22,2570.0,2600.0,2540.0,2570.0,2755250
HPG,2016-01-25,2610.0,2730.0,2610.0,2720.0,1238860
HPG,2016-01-26,2660.0,2720.0,2630.0,2640.0,1299900
HPG,2016-01-27,2700.0,2710.0,2670.0,2690.0,1218350
HPG,2016-01-28,2700.0,2720.0,2660.0,2660.0,778140
HPG,2016-01-29,2670.0,2760.0,2660.0,2760.0,860030
HPG,2016-02-01,2760.0,2810.0,2670.0,2670.0,855840
HPG,2016-02-02,2660.0,2700.0,2640.0,2690.0,289590
HPG,2016-02-03,2640.0,2700.0,2630.0,2690.0,1232420
HPG,2016-02-04,2700.0,2720.0,2700.0,2710.0,177320
HPG,2016-02-05,2710.0,2720.0,2690.0,2710.0,155980
HPG,2016-02-15,2710.0,2710.0,2610.0,2640.0,1033620
HPG,2016-02-16,2640.0,2690.0,2640.0,2670.0,489920
HPG,2016-02-17,2660.0,2690.0,2660.0,2670.0,605330
HPG,2016-02-18,2690.0,2720.0,2690.0,2690.0,502930
HPG,2016-02-19,2690.0,2720.0,2690.0,2710.0,704540
HPG,2016-02-22,2700.0,2780.0,2700.0,2720.0,1091060
HPG,2016-02-23,2790.0,2790.0,2720.0,2720.0,807300
HPG,2016-02-24,2720.0,2730.0,2690.0,2720.0,669660
HPG,2016-02-25,2730.0,2790.0,2720.0,2730.0,941770
HPG,2016-02-26,2750.0,2850.0,2730.0,2850.0,1862030
HPG,2016-02-29,2880.0,2880.0,2790.0,2790.0,941320
HPG,2016-03-01,2790.0,2790.0,2730.0,2750.0,964040
HPG,2016-03-02,2760.0,2770.0,2690.0,2720.0,1616220
HPG,2016-03-03,2750.0,2760.0,2710.0,2710.0,737360
HPG,2016-03-04,2720.0,2780.0,2700.0,2760.0,758830
HPG,2016-03-07,2770.0,2820.0,2760.0,2790.0,2201530
HPG,2016-03-08,2820.0,2940.0,2820.0,2900.0,6767430
HPG,2016-03-09,2910.0,2960.0,2860.0,2860.0,2672170
HPG,2016-03-10,2870.0,2870.0,2850.0,2870.0,1245540
HPG,2016-03-11,2870.0,2920.0,2860.0,2880.0,2144310
HPG,2016-03-14,2920.0,3030.0,2910.0,3010.0,3870560
HPG,2016-03-15,3030.0,3060.0,2970.0,3010.0,2696450
HPG,2016-03-16,3030.0,3030.0,2980.0,3000.0,1634300
HPG,2016-03-17,3030.0,3040.0,3000.0,3010.0,2100490
HPG,2016-03-18,3020.0,3020.0,2970.0,2970.0,2584200
HPG,2016-03-21,3000.0,3040.0,2980.0,2980.0,1512420
HPG,2016-03-22,3000.0,3000.0,2960.0,2960.0,1602960
HPG,2016-03-23,2940.0,2970.0,2920.0,2940.0,1576220
HPG,2016-03-24,2930.0,2970.0,2880.0,2880.0,1758820
HPG,2016-03-25,2880.0,2930.0,2870.0,2910.0,1704310
HPG,2016-03-28,2920.0,3000.0,2920.0,3000.0,1174990
HPG,2016-03-29,3010.0,3040.0,2980.0,2980.0,2044410
HPG,2016-03-30,2970.0,3000.0,2960.0,2960.0,1579390
HPG,2016-03-31,2960.0,3030.0,2950.0,2960.0,2460570
HPG,2016-04-01,2960.0,2970.0,2880.0,2910.0,1523320
HPG,2016-04-04,2910.0,2960.0,2900.0,2930.0,986480
HPG,2016-04-05,2930.0,2950.0,2920.0,2940.0,536800
HPG,2016-04-06,2940.0,3030.0,2940.0,3030.0,1954970
HPG,2016-04-07,3040.0,3070.0,3020.0,3020.0,2701300
HPG,2016-04-08,3020.0,3120.0,3010.0,3090.0,7079970
HPG,2016-04-11,3120.0,3180.0,3120.0,3160.0,5057970
HPG,2016-04-12,3160.0,3190.0,3150.0,3180.0,2850420
HPG,2016-04-13,3180.0,3180.0,3100.0,3120.0,3106110
HPG,2016-04-14,3130.0,3190.0,3120.0,3150.0,2142460
HPG,2016-04-15,3170.0,3200.0,3130.0,3130.0,2734540
HPG,2016-04-19,3150.0,3150.0,3100.0,3100.0,3047720
HPG,2016-04-20,3120.0,3160.0,3090.0,3120.0,2813360
HPG,2016-04-21,3150.0,3210.0,3150.0,3160.0,3670790
HPG,2016-04-22,3170.0,3290.0,3160.0,3280.0,4327260
HPG,2016-04-25,3310.0,3360.0,3300.0,3310.0,3046090
HPG,2016-04-26,3290.0,3350.0,3260.0,3310.0,3019430
HPG,2016-04-27,3310.0,3310.0,3250.0,3280.0,2321780
HPG,2016-04-28,3270.0,3290.0,3220.0,3260.0,1669040
HPG,2016-04-29,3250.0,3360.0,3250.0,3360.0,3455190
HPG,2016-05-04,3400.0,3550.0,3380.0,3510.0,6404100
HPG,2016-05-05,3520.0,3690.0,3460.0,3510.0,7908200
HPG,2016-05-06,3470.0,3500.0,3400.0,3410.0,4098640
HPG,2016-05-09,3450.0,3470.0,3400.0,3400.0,3455700
HPG,2016-05-10,3360.0,3410.0,3340.0,3360.0,4939730
HPG,2016-05-11,3410.0,3460.0,3400.0,3460.0,2497620
HPG,2016-05-12,3470.0,3470.0,3410.0,3410.0,1742800
HPG,2016-05-13,3380.0,3400.0,3320.0,3340.0,3860220
HPG,2016-05-16,3320.0,3340.0,3300.0,3320.0,2259110
HPG,2016-05-17,3340.0,3380.0,3340.0,3370.0,1339920
HPG,2016-05-18,3370.0,3370.0,3320.0,3320.0,1773380
HPG,2016-05-19,3320.0,3370.0,3310.0,3320.0,1726020
HPG,2016-05-20,3320.0,3340.0,3310.0,3320.0,1426750
HPG,2016-05-23,3320.0,3400.0,3320.0,3370.0,1149830
HPG,2016-05-24,3370.0,3420.0,3360.0,3370.0,1526440
HPG,2016-05-25,3380.0,3430.0,3370.0,3370.0,1842560
HPG,2016-05-26,3370.0,3380.0,3320.0,3320.0,1851110
