symbol,date,open,high,low,close,volume
MBB,2016-01-04,2690.0,2730.0,2660.0,2680.0,532510
MBB,2016-01-05,2660.0,2690.0,2660.0,2660.0,400260
MBB,2016-01-06,2660.0,2680.0,2660.0,2680.0,251050
MBB,2016-01-07,2680.0,2680.0,2630.0,2630.0,601470
MBB,2016-01-08,2620.0,2630.0,2600.0,2620.0,646260
MBB,2016-01-11,2620.0,2630.0,2600.0,2600.0,420860
MBB,2016-01-12,2600.0,2630.0,2600.0,2630.0,467350
MBB,2016-01-13,2630.0,2660.0,2620.0,2620.0,379460
MBB,2016-01-14,2600.0,2620.0,2570.0,2620.0,458130
MBB,2016-01-15,2600.0,2620.0,2570.0,2600.0,184170
MBB,2016-01-18,2570.0,2570.0,2490.0,2530.0,1449410
MBB,2016-01-19,2510.0,2560.0,2510.0,2560.0,462500
MBB,2016-01-20,2560.0,2570.0,2530.0,2530.0,698530
MBB,2016-01-21,2530.0,2560.0,2510.0,2530.0,913700
MBB,2016-01-22,2530.0,2570.0,2510.0,2570.0,1056680
MBB,2016-01-25,2600.0,2690.0,2600.0,2690.0,2057470
MBB,2016-01-26,2690.0,2690.0,2630.0,2680.0,2260550
MBB,2016-01-27,2690.0,2720.0,2680.0,2690.0,1354930
MBB,2016-01-28,2720.0,2770.0,2720.0,2750.0,2905770
MBB,2016-01-29,2750.0,2750.0,2720.0,2730.0,910630
MBB,2016-02-01,2730.0,2750.0,2720.0,2730.0,1100900
MBB,2016-02-02,2720.0,2730.0,2690.0,2730.0,1005280
MBB,2016-02-03,2720.0,2730.0,2720.0,2720.0,430430
MBB,2016-02-04,2730.0,2770.0,2720.0,2750.0,687940
MBB,2016-02-05,2750.0,2810.0,2750.0,2790.0,1556380
MBB,2016-02-15,2840.0,2870.0,2810.0,2840.0,2888150
MBB,2016-02-16,2840.0,2840.0,2810.0,2840.0,709220
MBB,2016-02-17,2840.0,2840.0,2830.0,2830.0,1166010
MBB,2016-02-18,2840.0,2870.0,2830.0,2830.0,2149910
MBB,2016-02-19,2870.0,2960.0,2830.0,2940.0,19280170
MBB,2016-02-22,2960.0,2980.0,2940.0,2940.0,8789450
MBB,2016-02-23,2940.0,2960.0,2900.0,2900.0,6181160
MBB,2016-02-24,2870.0,2920.0,2840.0,2900.0,6150650
