symbol,date,open,high,low,close,volume,"('date', '')","('open', 'MWG.VN')","('high', 'MWG.VN')","('low', 'MWG.VN')","('close', 'MWG.VN')","('volume', 'MWG.VN')"
MWG,2016-01-04,8890.0,9000.0,8710.0,8830.0,396020.0,,,,,,
MWG,2016-01-05,8830.0,8830.0,8670.0,8830.0,98210.0,,,,,,
MWG,2016-01-06,8770.0,8830.0,8710.0,8770.0,76610.0,,,,,,
MWG,2016-01-07,8710.0,8710.0,8390.0,8500.0,222750.0,,,,,,
MWG,2016-01-08,8440.0,8500.0,8160.0,8390.0,97350.0,,,,,,
MWG,2016-01-11,8330.0,8390.0,8160.0,8270.0,96610.0,,,,,,
MWG,2016-01-12,8160.0,8390.0,8160.0,8390.0,72520.0,,,,,,
MWG,2016-01-13,8440.0,8440.0,8330.0,8330.0,58300.0,,,,,,
MWG,2016-01-14,8210.0,8270.0,8100.0,8210.0,177250.0,,,,,,
MWG,2016-01-15,8210.0,8210.0,8100.0,8100.0,103340.0,,,,,,
MWG,2016-01-18,7990.0,8050.0,7550.0,7710.0,222550.0,,,,,,
MWG,2016-01-19,7710.0,7950.0,7660.0,7950.0,86980.0,,,,,,
MWG,2016-01-20,7950.0,7950.0,7770.0,7830.0,49190.0,,,,,,
MWG,2016-01-21,7830.0,7830.0,7660.0,7710.0,65230.0,,,,,,
MWG,2016-01-22,7710.0,7830.0,7490.0,7610.0,94540.0,,,,,,
MWG,2016-01-25,7950.0,8050.0,7770.0,8050.0,175000.0,,,,,,
MWG,2016-01-26,7950.0,7990.0,7830.0,7950.0,59150.0,,,,,,
MWG,2016-01-27,7950.0,7990.0,7890.0,7990.0,55080.0,,,,,,
MWG,2016-01-28,7990.0,7990.0,7830.0,7830.0,32570.0,,,,,,
MWG,2016-01-29,7830.0,8050.0,7830.0,8050.0,149010.0,,,,,,
MWG,2016-02-01,7950.0,8100.0,7950.0,8050.0,105090.0,,,,,,
MWG,2016-02-02,7990.0,8100.0,7990.0,8050.0,51310.0,,,,,,
MWG,2016-02-03,7950.0,8050.0,7950.0,8050.0,38030.0,,,,,,
MWG,2016-02-04,8050.0,8160.0,8050.0,8050.0,46320.0,,,,,,
MWG,2016-02-05,8100.0,8210.0,8050.0,8210.0,41110.0,,,,,,
MWG,2016-02-15,8050.0,8160.0,7990.0,8100.0,41340.0,,,,,,
MWG,2016-02-16,8100.0,8100.0,7990.0,8100.0,79510.0,,,,,,
MWG,2016-02-17,8100.0,8160.0,8050.0,8050.0,91360.0,,,,,,
MWG,2016-02-18,8050.0,8390.0,8050.0,8330.0,133790.0,,,,,,
MWG,2016-02-19,8390.0,8390.0,8270.0,8270.0,52460.0,,,,,,
MWG,2016-02-22,8330.0,8500.0,8330.0,8500.0,132720.0,,,,,,
MWG,2016-02-23,8620.0,8710.0,8560.0,8620.0,265520.0,,,,,,
MWG,2016-02-24,8620.0,8710.0,8500.0,8670.0,61870.0,,,,,,
MWG,2016-02-25,8670.0,8710.0,8500.0,8500.0,197130.0,,,,,,
MWG,2016-02-26,8500.0,8620.0,8440.0,8440.0,137910.0,,,,,,
