symbol,date,open,high,low,close,volume
PLX,2017-04-21,36450,36450,32369,34410,4820970
PLX,2017-04-24,34410,34820,33770,34060,1757390
PLX,2017-04-25,33850,34060,31700,31770,2533550
PLX,2017-04-26,30320,31310,30320,31030,1743790
PLX,2017-04-27,31030,32290,31030,32290,825430
PLX,2017-04-28,32439,33060,32439,32820,781910
PLX,2017-05-03,32820,32940,32369,32900,521490
PLX,2017-05-04,32900,33420,32860,33420,2947740
PLX,2017-05-05,33140,33420,33060,33140,1274310
PLX,2017-05-08,33060,33420,32780,33420,1414880
PLX,2017-05-09,33420,33420,33000,33000,864620
PLX,2017-05-10,33000,33350,33000,33140,2706150
PLX,2017-05-11,33140,34980,33140,34190,3351200
PLX,2017-05-12,34190,34410,34060,34190,1272460
PLX,2017-05-15,33950,34610,33770,34260,2429190
PLX,2017-05-16,34540,36580,34260,35950,3627190
PLX,2017-05-17,35890,36580,35530,35890,1642560
PLX,2017-05-18,35740,37280,35740,37280,3077950
PLX,2017-05-19,37850,39890,37490,39890,4369030
PLX,2017-05-22,42070,42640,41510,42640,3062670
PLX,2017-05-23,42920,45390,42640,42640,2839240
PLX,2017-05-24,42640,42700,40440,41510,1789900
PLX,2017-05-25,41510,42280,41230,41510,684100
PLX,2017-05-26,40940,41440,40520,40880,1237030
PLX,2017-05-29,40810,42560,40810,42280,967250
PLX,2017-05-30,42280,43690,42280,42920,1067000
PLX,2017-05-31,43270,43410,42500,43060,714650
PLX,2017-06-01,43060,43480,43060,43060,522880
PLX,2017-06-02,42700,43060,42000,42000,1244790
PLX,2017-06-05,42000,43480,41650,42990,665100
PLX,2017-06-06,42990,43270,42780,43270,554760
PLX,2017-06-07,43190,43480,42920,42990,626820
PLX,2017-06-08,42990,43130,42780,42990,325680
PLX,2017-06-09,42920,44610,42920,44050,1104760
PLX,2017-06-12,44050,45390,43830,44320,830860
PLX,2017-06-13,44470,44820,44110,44320,422580
PLX,2017-06-14,44180,44320,43560,44320,848170
PLX,2017-06-15,43980,44540,43690,44180,546160
PLX,2017-06-16,43910,44320,43830,43910,369590
PLX,2017-06-19,43830,44900,43830,44900,797760
PLX,2017-06-20,45030,46020,44950,46020,1506260
PLX,2017-06-21,46090,47140,45310,47070,980190
PLX,2017-06-22,47570,49100,47490,48890,1121960
PLX,2017-06-23,49040,50650,48970,50240,1825360
PLX,2017-06-26,50650,51570,50090,50520,1137940
PLX,2017-06-27,50160,50380,48400,48400,1547410
PLX,2017-06-28,48120,49040,47350,48270,1212630
PLX,2017-06-29,48400,49380,47780,48890,980940
PLX,2017-06-30,49180,49330,48550,48550,846590
PLX,2017-07-03,48770,48970,48190,48480,1235890
PLX,2017-07-04,48120,48270,47280,47630,983220
PLX,2017-07-05,47570,48830,47350,48400,493040
