symbol,date,open,high,low,close,volume
SAB,2016-12-06,47470,47470,47470,47470,3010
SAB,2016-12-07,50780,50780,50780,50780,30
SAB,2016-12-08,54310,54310,54310,54310,1000
SAB,2016-12-09,54310,58080,54310,58080,3010
SAB,2016-12-12,62140,62140,62140,62140,35690
SAB,2016-12-13,66450,66450,66450,66450,96830
SAB,2016-12-14,71100,71100,71100,71100,154380
SAB,2016-12-15,76060,76060,75520,76060,380050
SAB,2016-12-16,81370,81370,71920,80910,387520
SAB,2016-12-19,76230,80910,76230,76230,168190
SAB,2016-12-20,75880,76060,70910,70910,399710
SAB,2016-12-21,70910,73170,66540,72210,241750
SAB,2016-12-22,75470,75470,73000,73000,52460
SAB,2016-12-23,73000,73000,70870,71920,54810
SAB,2016-12-26,72290,72290,69370,71920,169870
SAB,2016-12-27,71920,72940,70510,72290,69880
SAB,2016-12-28,72940,72940,71950,72610,28530
SAB,2016-12-29,72290,72290,70470,71920,98560
SAB,2016-12-30,72290,72290,71370,72190,96740
SAB,2017-01-03,72190,72190,71530,71920,63170
SAB,2017-01-04,71920,72510,71200,71920,87490
SAB,2017-01-05,71920,72290,71550,71950,27170
SAB,2017-01-06,72250,76630,72000,75220,212390
SAB,2017-01-09,75220,75940,74850,74850,31390
SAB,2017-01-10,75540,75540,73580,74660,44540
SAB,2017-01-11,74480,76670,73740,76670,228480
SAB,2017-01-12,77770,77770,76670,76880,55290
SAB,2017-01-13,76930,77460,76880,77340,37670
SAB,2017-01-16,77040,77040,75940,76310,33890
SAB,2017-01-17,76120,79360,75980,79050,113760
SAB,2017-01-18,78600,82140,78600,81700,103480
SAB,2017-01-19,82140,82140,80320,81700,40040
SAB,2017-01-20,81410,82190,81410,81700,77940
SAB,2017-01-23,81700,81700,80510,81050,44360
SAB,2017-01-24,80320,81790,80320,81050,137100
SAB,2017-01-25,81050,81700,80320,81700,18800
SAB,2017-02-02,81750,81750,79960,79960,18560
SAB,2017-02-03,79360,81360,79000,79220,51700
SAB,2017-02-06,80130,80130,77210,78500,50070
SAB,2017-02-07,78500,80320,77770,78850,76580
SAB,2017-02-08,78850,79220,78500,78600,36350
SAB,2017-02-09,78600,78600,75940,77040,150070
SAB,2017-02-10,77040,78130,77040,77840,35880
SAB,2017-02-13,77840,78390,76670,77900,25240
SAB,2017-02-14,77900,79200,77810,78850,72220
SAB,2017-02-15,78850,78850,77690,78100,84300
SAB,2017-02-16,78130,78850,78130,78640,44230
SAB,2017-02-17,78500,78500,78130,78390,34430
SAB,2017-02-20,77860,79590,77840,79590,103930
SAB,2017-02-21,79450,80320,79450,80170,34930
SAB,2017-02-22,80130,81960,80130,81880,100360
SAB,2017-02-23,82100,82870,81790,82870,130020
SAB,2017-02-24,83240,83970,82510,82870,107840
SAB,2017-02-27,81960,83200,81790,82190,61270
SAB,2017-02-28,82340,82590,82190,82190,50720
