symbol,date,open,high,low,close,volume
SHB,2016-01-04,1860,1900,1810,1820,1570069
SHB,2016-01-05,1820,1820,1780,1810,1144659
SHB,2016-01-06,1810,1810,1780,1810,1013264
SHB,2016-01-07,1810,1810,1750,1780,1897964
SHB,2016-01-08,1750,1780,1730,1750,2841942
SHB,2016-01-11,1750,1780,1730,1750,1161091
SHB,2016-01-12,1750,1780,1750,1780,1492025
SHB,2016-01-13,1780,1810,1750,1780,364400
SHB,2016-01-14,1750,1780,1690,1730,1595530
SHB,2016-01-15,1730,1750,1690,1690,1373490
SHB,2016-01-18,1660,1690,1540,1640,3653980
SHB,2016-01-19,1610,1690,1610,1660,1071025
SHB,2016-01-20,1660,1690,1640,1660,1004103
SHB,2016-01-21,1660,1660,1610,1640,1528094
SHB,2016-01-22,1610,1730,1610,1690,4710693
SHB,2016-01-25,1730,1810,1690,1810,1606873
SHB,2016-01-26,1780,1820,1730,1820,3974894
SHB,2016-01-27,1820,1860,1810,1860,1074856
SHB,2016-01-28,1860,1860,1810,1860,1972136
SHB,2016-01-29,1860,1860,1810,1860,3598684
SHB,2016-02-01,1860,1860,1810,1820,1795311
SHB,2016-02-02,1820,1860,1810,1860,773667
SHB,2016-02-03,1860,1860,1820,1820,829087
SHB,2016-02-04,1820,1900,1820,1900,895958
SHB,2016-02-05,1900,1920,1860,1920,1184725
SHB,2016-02-15,1810,1980,1810,1960,2033319
SHB,2016-02-16,1960,2060,1920,2000,3961336
SHB,2016-02-17,2000,2040,1980,1980,3146044
SHB,2016-02-18,1980,2000,1980,2000,611603
SHB,2016-02-19,2000,2000,1920,1920,1239311
SHB,2016-02-22,1920,1980,1920,1960,1777956
SHB,2016-02-23,1980,1980,1920,1920,523892
SHB,2016-02-24,1920,1980,1900,1960,1979968
SHB,2016-02-25,1960,2000,1960,1980,2559532
SHB,2016-02-26,1960,1980,1960,1980,886874
SHB,2016-02-29,1960,1980,1920,1920,320350
SHB,2016-03-01,1960,1980,1920,1980,1650784
SHB,2016-03-02,1980,1980,1920,1920,1059208
SHB,2016-03-03,1960,1960,1920,1920,1189522
SHB,2016-03-04,1920,1980,1920,1960,1972900
SHB,2016-03-07,1960,1960,1920,1920,771751
SHB,2016-03-08,1900,1960,1900,1920,833641
SHB,2016-03-09,1920,1960,1900,1920,1032931
SHB,2016-03-10,1920,1960,1900,1960,308851
SHB,2016-03-11,1960,1960,1920,1920,1209476
SHB,2016-03-14,1920,1960,1900,1900,2620065
SHB,2016-03-15,1900,1920,1900,1900,549866
SHB,2016-03-16,1900,1920,1900,1900,1161859
SHB,2016-03-17,1900,1960,1900,1920,1651330
SHB,2016-03-18,1920,1920,1900,1920,848800
SHB,2016-03-21,1920,1920,1900,1900,1230510
SHB,2016-03-22,1900,1920,1860,1920,612220
SHB,2016-03-23,1900,1920,1900,1900,146549
SHB,2016-03-24,1900,1920,1900,1900,759617
SHB,2016-03-25,1900,1900,1860,1860,1021151
SHB,2016-03-28,1860,1900,1820,1860,549183
SHB,2016-03-29,1860,1900,1820,1860,395505
SHB,2016-03-30,1860,1860,1820,1860,460085
SHB,2016-03-31,1860,1860,1820,1860,622574
SHB,2016-04-01,1820,1860,1810,1810,696991
SHB,2016-04-04,1810,1860,1810,1810,454918
SHB,2016-04-05,1820,1820,1810,1820,189908
SHB,2016-04-06,1820,1820,1810,1820,650068
SHB,2016-04-07,1820,1860,1810,1820,497103
SHB,2016-04-08,1820,1860,1810,1860,537197
SHB,2016-04-11,1860,1860,1820,1820,231974
SHB,2016-04-12,1820,1860,1820,1820,2789645
SHB,2016-04-13,1860,1860,1820,1820,2026950
SHB,2016-04-14,1820,1860,1810,1820,2017439
SHB,2016-04-15,1860,1860,1820,1860,1107831
SHB,2016-04-19,1820,1860,1810,1820,2046214
SHB,2016-04-20,1820,1820,1780,1820,1752443
SHB,2016-04-21,1820,1820,1810,1810,561408
SHB,2016-04-22,1810,1860,1810,1860,1927412
SHB,2016-04-25,1860,1900,1820,1860,538538
SHB,2016-04-26,1860,1860,1810,1820,1197446
SHB,2016-04-27,1820,1820,1810,1810,832396
SHB,2016-04-28,1810,1820,1810,1820,507431
SHB,2016-04-29,1820,1900,1820,1860,2941709
SHB,2016-05-04,1860,1900,1820,1860,2875543
SHB,2016-05-05,1820,1860,1820,1860,1251634
SHB,2016-05-06,1820,1900,1820,1820,3078343
SHB,2016-05-09,1820,1900,1820,1860,3629253
SHB,2016-05-10,1860,1860,1820,1860,1280072
SHB,2016-05-11,1820,1860,1820,1820,958671
SHB,2016-05-12,1820,1920,1820,1860,5706283
SHB,2016-05-13,1900,1960,1900,1920,5378912
SHB,2016-05-16,1960,1960,1900,1920,3042085
SHB,2016-05-17,1920,1960,1900,1920,3863373
SHB,2016-05-18,1920,1980,1920,1920,4833252
SHB,2016-05-19,1920,1960,1860,1860,4667668
SHB,2016-05-20,1860,1920,1860,1860,2330159
SHB,2016-05-23,1900,1900,1860,1860,1759602
SHB,2016-05-24,1860,1860,1820,1820,1603371
SHB,2016-05-25,1820,1860,1810,1820,2469362
SHB,2016-05-26,1810,1820,1810,1810,2860089
SHB,2016-05-27,1810,1820,1810,1820,2599132
SHB,2016-05-30,1820,1820,1810,1810,1753352
SHB,2016-05-31,1810,1820,1810,1810,2306511
SHB,2016-06-01,1820,1820,1810,1810,2066400
SHB,2016-06-02,1810,1820,1810,1810,2063524
SHB,2016-06-03,1810,1820,1810,1820,3058262
SHB,2016-06-06,1810,1820,1810,1810,2243896
SHB,2016-06-07,1810,1820,1780,1810,1950158
SHB,2016-06-08,1810,1820,1810,1820,2899099
SHB,2016-06-09,1820,1820,1810,1820,993050
SHB,2016-06-10,1820,1860,1810,1810,1656672
SHB,2016-06-13,1810,1820,1810,1810,2347869
SHB,2016-06-14,1810,1820,1780,1810,1167292
SHB,2016-06-15,1810,1820,1780,1810,1380987
SHB,2016-06-16,1810,1810,1780,1780,1027003
SHB,2016-06-17,1810,1810,1780,1780,1684862
SHB,2016-06-20,1750,1810,1750,1810,708692
SHB,2016-06-21,1810,1810,1780,1780,434395
SHB,2016-06-22,1780,1810,1750,1780,502352
SHB,2016-06-23,1780,1810,1780,1810,1355216
SHB,2016-06-24,1810,1810,1690,1750,4440796
SHB,2016-06-27,1750,1780,1690,1780,1235929
SHB,2016-06-28,1780,1810,1730,1810,1017338
SHB,2016-06-29,1780,1780,1750,1780,525024
SHB,2016-06-30,1780,1780,1730,1750,643460
SHB,2016-07-01,1750,1780,1730,1750,285246
SHB,2016-07-04,1780,1780,1750,1750,265261
SHB,2016-07-05,1750,1810,1750,1780,1348217
SHB,2016-07-06,1780,1820,1780,1810,1111364
SHB,2016-07-07,1810,1820,1780,1820,1519673
SHB,2016-07-08,1820,1820,1780,1810,801053
SHB,2016-07-11,1780,1810,1750,1780,1450757
SHB,2016-07-12,1780,1780,1750,1750,297939
SHB,2016-07-13,1780,1810,1750,1780,1159940
SHB,2016-07-14,1780,1810,1780,1810,1539857
SHB,2016-07-15,1810,1810,1780,1810,1217199
SHB,2016-07-18,1810,1810,1750,1780,1490880
SHB,2016-07-19,1780,1810,1750,1780,499392
