symbol,date,open,high,low,close,volume,"('date', '')","('open', 'SSB.VN')","('high', 'SSB.VN')","('low', 'SSB.VN')","('close', 'SSB.VN')","('volume', 'SSB.VN')"
SSB,2021-03-24,9950.0,9950.0,9950.0,9950.0,6007500.0,,,,,,
SSB,2021-03-25,10640.0,10640.0,10640.0,10640.0,1464100.0,,,,,,
SSB,2021-03-26,11380.0,11380.0,11380.0,11380.0,1078500.0,,,,,,
SSB,2021-03-29,12170.0,12170.0,11850.0,12170.0,3992200.0,,,,,,
SSB,2021-03-30,13010.0,13010.0,12970.0,13010.0,1896300.0,,,,,,
SSB,2021-03-31,13900.0,13900.0,13430.0,13900.0,4138700.0,,,,,,
SSB,2021-04-01,13880.0,13930.0,13380.0,13930.0,3793500.0,,,,,,
SSB,2021-04-02,13680.0,13950.0,13680.0,13950.0,2990700.0,,,,,,
SSB,2021-04-05,13850.0,13900.0,13530.0,13880.0,1564100.0,,,,,,
SSB,2021-04-06,13830.0,13830.0,13490.0,13830.0,1881700.0,,,,,,
SSB,2021-04-07,13830.0,13830.0,13570.0,13830.0,1208100.0,,,,,,
SSB,2021-04-08,13720.0,13720.0,13570.0,13630.0,911300.0,,,,,,
SSB,2021-04-09,13330.0,13680.0,13330.0,13680.0,955900.0,,,,,,
SSB,2021-04-12,13490.0,13680.0,13330.0,13680.0,846900.0,,,,,,
SSB,2021-04-13,13380.0,13570.0,13380.0,13490.0,433600.0,,,,,,
SSB,2021-04-14,13330.0,13450.0,13230.0,13230.0,579800.0,,,,,,
SSB,2021-04-15,13040.0,13330.0,12590.0,13330.0,1409400.0,,,,,,
SSB,2021-04-16,13330.0,13490.0,13090.0,13490.0,574400.0,,,,,,
SSB,2021-04-19,13500.0,13570.0,13380.0,13570.0,886900.0,,,,,,
SSB,2021-04-20,13630.0,13630.0,13530.0,13570.0,1465400.0,,,,,,
SSB,2021-04-22,13490.0,13570.0,13230.0,13570.0,729000.0,,,,,,
SSB,2021-04-23,13570.0,13570.0,12890.0,12890.0,853900.0,,,,,,
