symbol,date,open,high,low,close,volume
TCB,2018-06-04,16120.0,16530.0,16120.0,16120.0,2811840
TCB,2018-06-05,15610.0,16700.0,15120.0,15120.0,1357500
TCB,2018-06-06,14960.0,15120.0,14330.0,14490.0,1605480
TCB,2018-06-07,14890.0,15500.0,14660.0,15500.0,1376540
TCB,2018-06-08,15910.0,16570.0,15670.0,16570.0,2008500
TCB,2018-06-11,16500.0,17170.0,16250.0,17170.0,1229830
TCB,2018-06-12,17010.0,17010.0,16200.0,16530.0,1139130
TCB,2018-06-13,16530.0,17010.0,16450.0,16600.0,772670
TCB,2018-06-14,16780.0,16780.0,16300.0,16530.0,617130
TCB,2018-06-15,16620.0,16620.0,16300.0,16570.0,723460
TCB,2018-06-18,16400.0,16530.0,15430.0,15750.0,825810
TCB,2018-06-19,14970.0,15280.0,14640.0,14960.0,2092720
TCB,2018-06-20,14960.0,15200.0,14660.0,14990.0,554870
TCB,2018-06-21,15020.0,15020.0,14690.0,14990.0,497790
TCB,2018-06-22,14970.0,14970.0,14740.0,14960.0,328710
TCB,2018-06-25,15120.0,15280.0,15070.0,15100.0,918340
TCB,2018-06-26,14870.0,15040.0,14840.0,14960.0,493790
TCB,2018-06-27,14730.0,14960.0,14730.0,14740.0,394860
TCB,2018-06-28,14640.0,14730.0,13940.0,14530.0,1319230
TCB,2018-06-29,14330.0,14490.0,13700.0,14440.0,1583700
TCB,2018-07-02,14460.0,14460.0,13700.0,13840.0,669570
TCB,2018-07-03,13780.0,13900.0,12880.0,12880.0,2112230
TCB,2018-07-04,12670.0,12760.0,11980.0,12760.0,1102650
TCB,2018-07-05,13630.0,13630.0,12760.0,13300.0,1583450
TCB,2018-07-06,13230.0,13700.0,12760.0,13610.0,1160990
TCB,2018-07-09,13700.0,13790.0,13160.0,13460.0,631240
TCB,2018-07-10,13460.0,13460.0,13000.0,13060.0,549100
TCB,2018-07-11,12800.0,12800.0,12170.0,12170.0,1134570
TCB,2018-07-12,11860.0,12280.0,11860.0,12280.0,686180
TCB,2018-07-13,12470.0,12520.0,12280.0,12380.0,406500
TCB,2018-07-16,12280.0,12380.0,12170.0,12380.0,430160
TCB,2018-07-17,12380.0,13000.0,12140.0,12800.0,1174520
TCB,2018-07-18,13000.0,13460.0,12900.0,13210.0,1139340
TCB,2018-07-19,13230.0,13230.0,13000.0,13180.0,680430
TCB,2018-07-20,13000.0,13180.0,12850.0,13180.0,1473990
TCB,2018-07-23,12900.0,13160.0,12570.0,12570.0,878370
TCB,2018-07-24,12760.0,13000.0,12430.0,12470.0,1019120
TCB,2018-07-25,12660.0,12680.0,11770.0,12640.0,3348190
TCB,2018-07-26,12280.0,12400.0,12050.0,12190.0,645430
TCB,2018-07-27,12190.0,12380.0,12100.0,12270.0,1427670
TCB,2018-07-30,12270.0,12380.0,12240.0,12330.0,1438740
TCB,2018-07-31,12350.0,13180.0,12280.0,13130.0,4690660
TCB,2018-08-01,13180.0,13540.0,12830.0,13020.0,2060620
TCB,2018-08-02,12900.0,13460.0,12760.0,13460.0,3507500
TCB,2018-08-03,13510.0,13660.0,13230.0,13400.0,2418140
TCB,2018-08-06,13230.0,13380.0,13130.0,13230.0,1478320
TCB,2018-08-07,13110.0,13330.0,12950.0,13210.0,1670400
TCB,2018-08-08,13300.0,13300.0,12950.0,13110.0,1406450
TCB,2018-08-09,13180.0,13380.0,12950.0,12950.0,2342630
TCB,2018-08-10,12950.0,13080.0,12470.0,12850.0,2362660
TCB,2018-08-13,12760.0,13060.0,12660.0,12970.0,1369550
TCB,2018-08-14,13000.0,13000.0,12760.0,12850.0,850440
TCB,2018-08-15,12760.0,12850.0,12520.0,12520.0,1030610
TCB,2018-08-16,12520.0,12710.0,12270.0,12520.0,1576340
TCB,2018-08-17,12520.0,12710.0,12520.0,12520.0,691890
TCB,2018-08-20,12620.0,12620.0,12240.0,12520.0,847610
TCB,2018-08-21,12520.0,12600.0,12400.0,12520.0,904270
TCB,2018-08-22,12620.0,12950.0,12550.0,12600.0,1386850
TCB,2018-08-23,12760.0,12830.0,12600.0,12640.0,1031560
TCB,2018-08-24,12640.0,12730.0,12520.0,12570.0,817010
TCB,2018-08-27,12570.0,12680.0,12520.0,12520.0,1480540
TCB,2018-08-28,12570.0,12660.0,12380.0,12400.0,1630740
TCB,2018-08-29,12400.0,12450.0,12330.0,12350.0,778240
TCB,2018-08-30,12350.0,12430.0,12300.0,12430.0,887840
TCB,2018-08-31,12430.0,12680.0,12430.0,12430.0,1723040
TCB,2018-09-04,12430.0,12570.0,12300.0,12330.0,991610
TCB,2018-09-05,12330.0,12400.0,12170.0,12190.0,1052150
TCB,2018-09-06,12190.0,12240.0,11720.0,11720.0,2694080
TCB,2018-09-07,11820.0,11950.0,11770.0,11930.0,2154200
TCB,2018-09-10,12000.0,12050.0,11820.0,12050.0,1297720
TCB,2018-09-11,12020.0,12050.0,11950.0,12000.0,780150
TCB,2018-09-12,12050.0,12070.0,11820.0,11820.0,1460210
TCB,2018-09-13,11820.0,12000.0,11820.0,11900.0,1105010
TCB,2018-09-14,11900.0,12000.0,11890.0,11930.0,1343360
TCB,2018-09-17,11930.0,12760.0,11890.0,12300.0,2714630
TCB,2018-09-18,12300.0,12350.0,12070.0,12350.0,1059520
TCB,2018-09-19,12380.0,12780.0,12380.0,12570.0,2934180
TCB,2018-09-20,12570.0,13230.0,12570.0,13230.0,5779740
TCB,2018-09-21,13230.0,13440.0,13130.0,13380.0,4008110
TCB,2018-09-24,13380.0,13440.0,13210.0,13280.0,2213810
TCB,2018-09-25,13230.0,13330.0,13130.0,13230.0,2261840
TCB,2018-09-26,13230.0,13860.0,13130.0,13660.0,4516320
TCB,2018-09-27,13790.0,14010.0,13780.0,13890.0,3663710
TCB,2018-09-28,13940.0,14010.0,13700.0,13780.0,3943650
TCB,2018-10-01,13780.0,13820.0,13510.0,13540.0,2816100
TCB,2018-10-02,13510.0,13890.0,13510.0,13750.0,3139750
TCB,2018-10-03,13890.0,13940.0,13780.0,13860.0,1405830
TCB,2018-10-04,13940.0,14270.0,13860.0,14270.0,3273230
TCB,2018-10-05,14220.0,14290.0,14060.0,14080.0,3156560
TCB,2018-10-08,13750.0,14060.0,13750.0,13860.0,2101380
TCB,2018-10-09,13890.0,14060.0,13780.0,14060.0,2656380
TCB,2018-10-10,14080.0,14220.0,14010.0,14030.0,1689250
TCB,2018-10-11,13330.0,13750.0,13080.0,13160.0,4366960
TCB,2018-10-12,13160.0,13610.0,12900.0,13560.0,2298230
TCB,2018-10-15,13560.0,13580.0,13230.0,13330.0,2085500
TCB,2018-10-16,13300.0,13660.0,13300.0,13560.0,1363410
TCB,2018-10-17,13840.0,13840.0,13680.0,13750.0,1972280
TCB,2018-10-18,13610.0,13750.0,13560.0,13660.0,1487880
TCB,2018-10-19,13410.0,13700.0,13280.0,13700.0,1454000
TCB,2018-10-22,13700.0,13790.0,13610.0,13610.0,2026290
TCB,2018-10-23,13610.0,13610.0,12660.0,13130.0,2307530
TCB,2018-10-24,13180.0,13230.0,12520.0,12520.0,1535430
TCB,2018-10-25,11900.0,12430.0,11860.0,12330.0,2454470
TCB,2018-10-26,12710.0,12710.0,12050.0,12220.0,1747390
TCB,2018-10-29,12190.0,12280.0,12050.0,12140.0,1473740
TCB,2018-10-30,12140.0,12330.0,12100.0,12190.0,1327540
TCB,2018-10-31,12330.0,12710.0,12330.0,12710.0,1230140
TCB,2018-11-01,12730.0,12730.0,12330.0,12330.0,802870
TCB,2018-11-02,12570.0,12730.0,12380.0,12570.0,1048790
TCB,2018-11-05,12620.0,12730.0,12520.0,12680.0,920120
TCB,2018-11-06,12950.0,12950.0,12640.0,12730.0,1174180
TCB,2018-11-07,12620.0,12850.0,12620.0,12760.0,1180500
TCB,2018-11-08,13000.0,13000.0,12730.0,12760.0,710570
TCB,2018-11-09,12680.0,12730.0,12450.0,12450.0,1090990
TCB,2018-11-12,12430.0,12520.0,12220.0,12430.0,784460
TCB,2018-11-13,12140.0,12280.0,12140.0,12170.0,947810
TCB,2018-11-14,12100.0,12280.0,11890.0,11930.0,1692450
TCB,2018-11-15,11930.0,12070.0,11840.0,11930.0,971850
TCB,2018-11-16,12050.0,12470.0,12020.0,12140.0,645780
TCB,2018-11-19,12140.0,12620.0,12140.0,12520.0,1754860
TCB,2018-11-20,12430.0,12550.0,12330.0,12470.0,1534530
TCB,2018-11-21,12280.0,12660.0,12240.0,12520.0,1028070
TCB,2018-11-22,12710.0,12710.0,11650.0,12520.0,901490
TCB,2018-11-23,12520.0,12570.0,12330.0,12330.0,643390
TCB,2018-11-26,12280.0,12500.0,12270.0,12270.0,1195560
TCB,2018-11-27,12430.0,12520.0,12270.0,12280.0,1040020
TCB,2018-11-28,12280.0,12350.0,12240.0,12350.0,668970
TCB,2018-11-29,12500.0,12570.0,12300.0,12300.0,1304530
TCB,2018-11-30,12400.0,12430.0,12280.0,12300.0,635260
TCB,2018-12-03,12520.0,12850.0,12430.0,12850.0,3059840
TCB,2018-12-04,12850.0,13210.0,12850.0,13130.0,2885160
TCB,2018-12-05,13000.0,13380.0,12900.0,13230.0,3540000
TCB,2018-12-06,13230.0,13440.0,13180.0,13300.0,2977170
TCB,2018-12-07,13330.0,13460.0,13130.0,13230.0,2249340
TCB,2018-12-10,13180.0,13400.0,13080.0,13350.0,3389080
TCB,2018-12-11,13400.0,13460.0,13280.0,13380.0,2451470
TCB,2018-12-12,13460.0,13660.0,13380.0,13660.0,3106230
TCB,2018-12-13,13700.0,13780.0,13560.0,13560.0,2502500
TCB,2018-12-14,13460.0,13610.0,13460.0,13540.0,2395670
TCB,2018-12-17,13380.0,13460.0,12950.0,12950.0,3335920
TCB,2018-12-18,12760.0,13000.0,12620.0,13000.0,3565390
