symbol,date,open,high,low,close,volume,"('date', '')","('open', 'VHM.VN')","('high', 'VHM.VN')","('low', 'VHM.VN')","('close', 'VHM.VN')","('volume', 'VHM.VN')"
VHM,2018-05-17,64420.0,64420.0,64420.0,64420.0,18000.0,,,,,,
VHM,2018-05-18,64420.0,64420.0,64420.0,64420.0,0.0,,,,,,
VHM,2018-05-21,64420.0,64420.0,64420.0,64420.0,0.0,,,,,,
VHM,2018-05-22,68910.0,68910.0,68910.0,68910.0,20.0,,,,,,
VHM,2018-05-23,66750.0,66750.0,64129.0,64300.0,4839580.0,,,,,,
VHM,2018-05-24,64599.0,66930.0,64190.0,66750.0,1937240.0,,,,,,
VHM,2018-05-25,66930.0,69900.0,66750.0,68500.0,1749720.0,,,,,,
VHM,2018-05-28,64709.0,68790.0,64709.0,68210.0,2944740.0,,,,,,
VHM,2018-05-29,68210.0,68330.0,65940.0,67630.0,884320.0,,,,,,
VHM,2018-05-30,67630.0,68210.0,65880.0,68210.0,2448260.0,,,,,,
VHM,2018-05-31,68210.0,68500.0,67100.0,67100.0,1178690.0,,,,,,
VHM,2018-06-01,67100.0,68500.0,66750.0,67920.0,814870.0,,,,,,
VHM,2018-06-04,67630.0,68740.0,67340.0,68740.0,1762630.0,,,,,,
VHM,2018-06-05,68740.0,69380.0,68210.0,68790.0,1229890.0,,,,,,
VHM,2018-06-06,68500.0,70480.0,68210.0,69960.0,712230.0,,,,,,
VHM,2018-06-07,71130.0,71130.0,65060.0,69960.0,1167210.0,,,,,,
VHM,2018-06-08,69960.0,70480.0,68500.0,69960.0,462940.0,,,,,,
VHM,2018-06-11,70430.0,70430.0,69380.0,69960.0,425790.0,,,,,,
VHM,2018-06-12,69960.0,69960.0,68210.0,68790.0,816310.0,,,,,,
VHM,2018-06-13,68790.0,69030.0,68560.0,68790.0,289590.0,,,,,,
VHM,2018-06-14,68790.0,69090.0,67800.0,68210.0,624230.0,,,,,,
VHM,2018-06-15,68620.0,68620.0,67920.0,67920.0,213150.0,,,,,,
VHM,2018-06-18,67920.0,68790.0,67630.0,67920.0,626280.0,,,,,,
VHM,2018-06-19,67920.0,67920.0,66870.0,67050.0,770730.0,,,,,,
VHM,2018-06-20,62440.0,67630.0,62440.0,67050.0,613980.0,,,,,,
VHM,2018-06-21,67050.0,67100.0,66460.0,67050.0,117280.0,,,,,,
VHM,2018-06-22,67050.0,67050.0,66460.0,66580.0,83230.0,,,,,,
VHM,2018-06-25,66580.0,67570.0,66580.0,67340.0,214260.0,,,,,,
VHM,2018-06-26,67340.0,67340.0,66520.0,67050.0,112440.0,,,,,,
VHM,2018-06-27,65590.0,66520.0,64129.0,64129.0,305740.0,,,,,,
VHM,2018-06-28,64129.0,65880.0,62960.0,64129.0,185920.0,,,,,,
VHM,2018-06-29,65880.0,65880.0,63260.0,65530.0,321730.0,,,,,,
VHM,2018-07-02,65590.0,65590.0,64129.0,64890.0,456190.0,,,,,,
VHM,2018-07-03,64890.0,64890.0,60400.0,60400.0,165430.0,,,,,,
VHM,2018-07-04,59520.0,64599.0,59520.0,64599.0,1358170.0,,,,,,
VHM,2018-07-05,64599.0,67050.0,64599.0,66460.0,1208630.0,,,,,,
VHM,2018-07-06,65000.0,66400.0,65000.0,65590.0,497040.0,,,,,,
VHM,2018-07-09,65590.0,66110.0,65590.0,65760.0,134390.0,,,,,,
VHM,2018-07-10,65700.0,65760.0,63260.0,64709.0,298180.0,,,,,,
