symbol,date,open,high,low,close,volume
VIC,2016-01-04,12340,12820,12200,12820,4809120
VIC,2016-01-05,12690,12870,12630,12820,2480100
VIC,2016-01-06,12790,12930,12610,12820,1976280
VIC,2016-01-07,12630,13010,12550,12960,2852010
VIC,2016-01-08,12820,12960,12690,12960,1641950
VIC,2016-01-11,12960,13250,12850,13040,1591300
VIC,2016-01-12,13040,13060,12850,12960,1030900
VIC,2016-01-13,12960,12960,12740,12930,2003030
VIC,2016-01-14,12740,13010,12740,12960,2616100
VIC,2016-01-15,12980,12980,12790,12820,931360
VIC,2016-01-18,12630,12850,12150,12820,2516720
VIC,2016-01-19,12740,12980,12740,12820,736420
VIC,2016-01-20,12710,12960,12710,12790,1569270
VIC,2016-01-21,12870,12960,12770,12900,2201170
VIC,2016-01-22,12900,13250,12900,13040,1432160
VIC,2016-01-25,13090,13090,12960,13040,1960040
VIC,2016-01-26,12960,13060,12770,12960,1779070
VIC,2016-01-27,12790,12850,12660,12820,3440360
VIC,2016-01-28,12690,13040,12690,13040,4244530
VIC,2016-01-29,12960,13010,12740,12850,2231860
VIC,2016-02-01,12740,12930,12690,12690,1133280
VIC,2016-02-02,12630,12740,12610,12690,1017260
VIC,2016-02-03,12610,12690,12420,12690,1102250
VIC,2016-02-04,12690,12820,12690,12690,404050
VIC,2016-02-05,12520,12690,12520,12580,895260
VIC,2016-02-15,12550,12580,12280,12280,685060
VIC,2016-02-16,12470,12470,12280,12310,392060
VIC,2016-02-17,12500,12500,12280,12280,259490
VIC,2016-02-18,12420,12470,12340,12420,595150
VIC,2016-02-19,12390,12390,11960,12170,1393710
VIC,2016-02-22,12170,12200,12040,12200,724960
VIC,2016-02-23,12200,12500,12200,12310,418590
VIC,2016-02-24,12250,12390,12170,12250,534860
VIC,2016-02-25,12280,12390,12250,12280,528840
VIC,2016-02-26,12310,12360,12070,12150,1235270
VIC,2016-02-29,12150,12150,11900,11900,259290
VIC,2016-03-01,11930,12040,11770,11900,956870
VIC,2016-03-02,11980,12170,11930,12150,560340
VIC,2016-03-03,12200,12280,12150,12250,491450
VIC,2016-03-04,12250,12420,12200,12360,802550
VIC,2016-03-07,12360,12550,12280,12360,557500
VIC,2016-03-08,12310,12520,12310,12520,1079780
VIC,2016-03-09,12550,12660,12550,12550,1123530
VIC,2016-03-10,12550,12630,12520,12550,575310
VIC,2016-03-11,12550,12550,12250,12250,560370
VIC,2016-03-14,12200,12280,12150,12250,346630
VIC,2016-03-15,12250,12420,12090,12150,1073480
VIC,2016-03-16,12070,12120,12040,12040,434350
VIC,2016-03-17,12200,12230,12120,12150,488110
VIC,2016-03-18,12150,12170,11900,11900,5451040
VIC,2016-03-21,12070,12310,12070,12200,1039980
VIC,2016-03-22,12200,12310,12120,12280,657090
VIC,2016-03-23,12150,12310,12040,12250,1615870
VIC,2016-03-24,12250,12280,12150,12170,510060
VIC,2016-03-25,12150,12420,12150,12360,1257200
VIC,2016-03-28,12440,12630,12390,12610,820660
VIC,2016-03-29,12690,12790,12580,12630,1482760
VIC,2016-03-30,12390,12690,12390,12690,650730
VIC,2016-03-31,12520,12850,12520,12740,1398070
VIC,2016-04-01,12740,12790,12630,12740,548420
VIC,2016-04-04,12770,12770,12630,12710,351710
VIC,2016-04-05,12710,12770,12550,12710,323780
VIC,2016-04-06,12710,12850,12660,12850,547050
VIC,2016-04-07,12850,12870,12710,12740,289730
VIC,2016-04-08,12740,12850,12660,12820,600280
VIC,2016-04-11,12820,13630,12820,13630,1288260
VIC,2016-04-12,14040,14170,13770,14040,1157120
VIC,2016-04-13,13900,14310,13630,14040,807840
VIC,2016-04-14,14040,14710,13900,14170,1075850
VIC,2016-04-15,14170,14710,14040,14040,1549470
VIC,2016-04-19,14040,14040,13410,13410,1021510
VIC,2016-04-20,13410,13770,13410,13630,1417390
VIC,2016-04-21,13900,14170,13630,13900,1196330
VIC,2016-04-22,13900,14850,13900,14710,1729690
VIC,2016-04-25,14980,15120,14170,14170,1404690
VIC,2016-04-26,14170,14710,14170,14580,724510
VIC,2016-04-27,14850,14850,14040,14310,974580
VIC,2016-04-28,14310,14440,14040,14040,520580
VIC,2016-04-29,14170,14310,14040,14170,421970
VIC,2016-05-04,13900,14170,13770,13770,755160
VIC,2016-05-05,13900,14310,13900,13900,413180
VIC,2016-05-06,14040,14170,14040,14170,813560
VIC,2016-05-09,14310,14310,14040,14040,786590
VIC,2016-05-10,14040,14040,13770,14040,698580
VIC,2016-05-11,14040,14440,14040,14440,865680
VIC,2016-05-12,14580,14710,14440,14440,469130
VIC,2016-05-13,14580,14580,14310,14440,793060
VIC,2016-05-16,14440,14980,14310,14850,1233650
VIC,2016-05-17,14980,14980,14710,14710,518280
VIC,2016-05-18,14710,14710,14440,14440,586250
VIC,2016-05-19,14710,14710,14310,14440,623940
VIC,2016-05-20,14440,14580,13900,13900,1554880
VIC,2016-05-23,14040,14040,13630,14040,1410160
VIC,2016-05-24,14310,14310,13900,14040,471240
VIC,2016-05-25,14040,14170,13900,14040,283630
VIC,2016-05-26,14040,14040,13630,13770,611130
VIC,2016-05-27,13770,14040,13770,13900,383940
VIC,2016-05-30,14040,14580,14040,14440,1078090
VIC,2016-05-31,14440,14580,14170,14170,418750
VIC,2016-06-01,14310,14440,14170,14440,469570
VIC,2016-06-02,14440,14580,14310,14440,510870
VIC,2016-06-03,14440,14580,14310,14580,345410
VIC,2016-06-06,14580,14710,14310,14440,295810
VIC,2016-06-07,14440,14710,14440,14710,401370
VIC,2016-06-08,14710,15120,14580,14710,1064310
VIC,2016-06-09,14710,14850,14580,14710,113090
VIC,2016-06-10,14710,14850,14580,14580,170630
VIC,2016-06-13,14440,14440,14170,14170,631990
VIC,2016-06-14,14170,14440,14170,14440,278210
VIC,2016-06-15,14580,14710,14310,14440,311910
VIC,2016-06-16,14440,14580,14310,14440,455360
VIC,2016-06-17,14310,14440,14040,14040,3234450
VIC,2016-06-20,14170,14580,14040,14440,231660
VIC,2016-06-21,14580,14710,14440,14580,333390
VIC,2016-06-22,14580,14580,14170,14170,464600
VIC,2016-06-23,14310,14440,14170,14310,291630
VIC,2016-06-24,14170,14310,13330,14040,1143290
VIC,2016-06-27,14670,14670,14370,14520,527320
VIC,2016-06-28,14520,14520,14310,14310,414530
VIC,2016-06-29,14310,14550,14310,14400,625710
VIC,2016-06-30,14550,15300,14460,14820,814400
VIC,2016-07-01,15150,15450,14970,15300,888200
VIC,2016-07-04,15450,15600,15300,15300,459790
VIC,2016-07-05,15450,15750,15300,15300,579190
VIC,2016-07-06,15300,15450,15150,15300,528660
VIC,2016-07-07,15450,15600,15150,15450,640510
VIC,2016-07-08,15600,15600,15300,15450,718620
VIC,2016-07-11,15450,15600,15150,15300,632350
VIC,2016-07-12,15300,15600,15300,15600,1001810
VIC,2016-07-13,15750,16490,15750,16490,1578230
VIC,2016-07-14,16490,16640,16040,16040,973530
VIC,2016-07-15,16190,16340,15890,16340,373250
VIC,2016-07-18,16340,16340,16040,16190,519810
VIC,2016-07-19,16190,16340,15150,15600,1550450
VIC,2016-07-20,15600,15750,15000,15000,1193970
VIC,2016-07-21,15150,15450,14970,15150,622420
VIC,2016-07-22,15150,15300,14880,15000,628770
VIC,2016-07-25,15150,15300,15000,15150,148890
VIC,2016-07-26,15150,15300,14940,15150,266140
VIC,2016-07-27,15150,15300,15000,15300,335420
VIC,2016-07-28,15450,15890,15300,15750,528660
VIC,2016-07-29,15750,15750,15300,15300,359260
VIC,2016-08-01,15450,15600,15150,15450,460650
VIC,2016-08-02,15150,15600,15150,15300,1349020
VIC,2016-08-03,15000,15150,14700,14790,1214100
VIC,2016-08-04,14850,14880,14250,14250,732590
VIC,2016-08-05,13950,14190,13350,13410,1844020
VIC,2016-08-08,13410,13650,12480,13410,3019390
VIC,2016-08-09,13410,13740,13350,13650,827360
VIC,2016-08-10,13710,14580,13710,14580,2852080
VIC,2016-08-11,14580,14760,14460,14700,1964870
VIC,2016-08-12,14850,14850,14580,14700,1226560
VIC,2016-08-15,14700,14700,14550,14700,543500
VIC,2016-08-16,14700,14700,14250,14370,1691880
VIC,2016-08-17,14370,14610,14100,14370,1763870
VIC,2016-08-18,14670,14670,14310,14370,432750
VIC,2016-08-19,14520,14520,14160,14310,1158000
VIC,2016-08-22,14400,14400,14010,14070,1594810
VIC,2016-08-23,14010,14550,13920,14550,1687820
VIC,2016-08-24,14550,14640,14490,14550,478690
VIC,2016-08-25,14550,14550,14340,14490,644830
VIC,2016-08-26,14400,14490,14370,14400,240700
VIC,2016-08-29,14400,14610,14400,14400,858310
VIC,2016-08-30,14400,14520,14250,14430,233880
VIC,2016-08-31,14400,14550,14370,14430,482190
VIC,2016-09-01,14460,14490,14280,14400,349770
VIC,2016-09-05,14430,14430,14280,14370,394080
VIC,2016-09-06,14490,14520,14370,14370,598070
VIC,2016-09-07,14430,14430,14220,14250,515100
VIC,2016-09-08,14400,14400,14280,14340,334150
VIC,2016-09-09,14550,14670,14460,14640,918320
VIC,2016-09-12,15000,15000,14670,14940,728040
