symbol,date,open,high,low,close,volume
VPB,2017-08-17,7860,7860,6660,7860,58299310
VPB,2017-08-18,7650,7770,7500,7500,1092840
VPB,2017-08-21,7220,7420,7160,7230,798670
VPB,2017-08-22,7020,7250,7020,7250,2295930
VPB,2017-08-23,7250,7420,7210,7290,520790
VPB,2017-08-24,7330,7330,7220,7300,678690
VPB,2017-08-25,7230,7320,7220,7320,615370
VPB,2017-08-28,7250,7320,7230,7320,761670
VPB,2017-08-29,7270,7320,7240,7320,990000
VPB,2017-08-30,7320,7320,7250,7320,830100
VPB,2017-08-31,7270,7320,7270,7320,1196380
VPB,2017-09-01,7270,7320,7270,7320,978060
VPB,2017-09-05,7260,7340,7260,7340,1274130
VPB,2017-09-06,7340,7700,7320,7690,1269010
VPB,2017-09-07,7700,7920,7700,7780,900290
VPB,2017-09-08,7770,7770,7690,7700,339640
VPB,2017-09-11,7650,7680,7430,7460,655570
VPB,2017-09-12,7460,7560,7340,7540,330150
VPB,2017-09-13,7540,7580,7480,7560,312470
VPB,2017-09-14,7560,7580,7520,7550,268880
VPB,2017-09-15,7550,7580,7540,7540,352480
VPB,2017-09-18,7540,7560,7510,7520,323580
VPB,2017-09-19,7520,7520,7430,7440,820020
VPB,2017-09-20,7440,7520,7430,7430,789670
VPB,2017-09-21,7430,7440,7410,7430,535570
VPB,2017-09-22,7430,7430,7360,7410,1288830
VPB,2017-09-25,7410,7430,7400,7400,504360
VPB,2017-09-26,7430,7430,7380,7380,718370
VPB,2017-09-27,7410,7550,7380,7510,1473820
VPB,2017-09-28,7520,7610,7500,7510,1238590
VPB,2017-09-29,7510,7610,7510,7560,752340
VPB,2017-10-02,7560,7580,7460,7510,634350
VPB,2017-10-03,7500,7520,7410,7430,659660
VPB,2017-10-04,7430,7460,7410,7430,457470
VPB,2017-10-05,7480,7490,7430,7430,219990
VPB,2017-10-06,7470,7500,7420,7500,409110
VPB,2017-10-09,7580,7580,7510,7550,936770
VPB,2017-10-10,7550,7700,7540,7650,869010
VPB,2017-10-11,7700,7960,7690,7960,3495690
VPB,2017-10-12,7970,8230,7920,8070,2362040
VPB,2017-10-13,8039,8280,8039,8109,1322500
VPB,2017-10-16,8109,8310,8109,8200,2217910
VPB,2017-10-17,8200,8370,8200,8310,1689100
VPB,2017-10-18,8470,8490,8320,8320,2362080
VPB,2017-10-19,8310,8400,8230,8280,1057180
VPB,2017-10-20,8280,8380,8280,8320,1480860
VPB,2017-10-23,8320,8450,8200,8230,1498490
VPB,2017-10-24,8260,8260,8160,8200,826280
VPB,2017-10-25,8200,8300,8130,8270,1275530
VPB,2017-10-26,8270,8320,8170,8200,757830
VPB,2017-10-27,8180,8270,8180,8240,738890
VPB,2017-10-30,8240,8420,8240,8280,1960480
VPB,2017-10-31,8280,8320,8180,8189,1027260
VPB,2017-11-01,8180,8250,8100,8130,994020
VPB,2017-11-02,8109,8180,7580,7600,2450520
VPB,2017-11-03,7630,8109,7610,8109,1257280
VPB,2017-11-06,8109,8109,7960,8039,490420
VPB,2017-11-07,8020,8020,7950,7960,579800
VPB,2017-11-08,7960,8130,7900,8109,826220
VPB,2017-11-09,8130,8130,7960,7990,537590
VPB,2017-11-10,7990,7990,7960,7970,503430
VPB,2017-11-13,7980,7980,7780,7800,734400
VPB,2017-11-14,7800,7950,7800,7870,777620
VPB,2017-11-15,7910,7960,7820,7920,775820
VPB,2017-11-16,7920,8150,7870,7960,916660
VPB,2017-11-17,8020,8060,7960,7960,561660
VPB,2017-11-20,7980,7980,7870,7890,629260
VPB,2017-11-21,7860,7930,7810,7850,1003180
VPB,2017-11-22,7860,8109,7840,7980,1542070
VPB,2017-11-23,8109,8250,7890,8060,1865520
VPB,2017-11-24,8119,8180,7990,8060,939760
VPB,2017-11-27,8060,8060,8010,8020,865430
VPB,2017-11-28,8020,8140,7990,8020,1532570
VPB,2017-11-29,8020,8160,8020,8090,1922690
VPB,2017-11-30,8150,8320,8130,8300,4526350
VPB,2017-12-01,8380,8380,8280,8300,3263090
VPB,2017-12-04,8310,8530,8310,8370,2860030
VPB,2017-12-05,8400,8460,8200,8280,3035500
VPB,2017-12-06,8280,8280,8090,8170,1964010
VPB,2017-12-07,8170,8180,7980,7980,1743680
VPB,2017-12-08,7980,8060,7950,7960,1251580
VPB,2017-12-11,7860,7960,7780,7780,1320400
VPB,2017-12-12,7820,7960,7250,7800,2982180
VPB,2017-12-13,7800,7810,7630,7630,1148350
VPB,2017-12-14,7650,7780,7650,7750,714430
VPB,2017-12-15,7750,7830,7700,7700,738630
