date,open,high,low,close,volume,ticker
2024-01-02,23.95,24.75,23.95,24.45,13883500,ACB
2024-01-03,24.5,25.0,24.25,25.0,9803400,ACB
2024-01-04,25.2,25.65,25.1,25.3,23587800,ACB
2024-01-05,25.3,25.45,25.05,25.45,9272100,ACB
2024-01-08,25.7,25.75,25.2,25.35,12389600,ACB
2024-01-09,25.25,25.35,24.95,25.0,15449500,ACB
2024-01-10,25.2,25.5,25.0,25.25,17603300,ACB
2024-01-11,25.4,25.75,25.15,25.25,9933500,ACB
2024-01-12,25.15,26.2,25.05,25.8,25561200,ACB
2024-01-15,26.0,26.0,25.3,25.3,11719300,ACB
2024-01-16,25.4,25.55,25.05,25.4,12380200,ACB
2024-01-17,25.45,25.8,25.35,25.4,9714300,ACB
2024-01-18,25.45,25.75,25.35,25.6,9611300,ACB
2024-01-19,25.8,25.95,25.65,25.95,12771300,ACB
2024-01-22,26.2,26.3,25.8,26.3,12001200,ACB
2024-01-23,26.25,26.45,26.05,26.05,11731500,ACB
2024-01-24,26.05,26.1,25.7,25.8,11341900,ACB
2024-01-25,25.85,25.9,25.6,25.8,5086300,ACB
2024-01-26,25.85,26.4,25.85,26.3,6856000,ACB
2024-01-29,26.5,26.5,25.95,25.95,9276600,ACB
2024-01-30,26.05,26.2,25.9,25.95,6379000,ACB
2024-01-31,26.1,26.1,25.55,25.75,12158100,ACB
2024-02-01,25.7,26.1,25.7,26.0,6281100,ACB
2024-02-02,25.95,26.3,25.85,26.25,14529200,ACB
2024-02-05,26.25,28.0,26.15,27.8,28121400,ACB
2024-02-06,27.85,27.9,27.65,27.85,5447300,ACB
2024-02-07,27.85,28.2,27.85,28.0,11893900,ACB
2024-02-15,28.05,28.4,27.2,27.2,14244300,ACB
2024-02-16,27.5,27.6,27.3,27.6,9495400,ACB
2024-02-19,27.7,27.7,27.2,27.7,11856900,ACB
2024-02-20,27.5,27.75,27.35,27.55,7316400,ACB
2024-02-21,27.5,27.9,27.4,27.7,10251900,ACB
2024-02-22,27.7,27.75,27.5,27.65,7401800,ACB
