date,open,high,low,close,volume,ticker
2018-02-21,29.6,29.6,25.0,25.0,81200,BCM
2018-02-22,26.0,26.0,25.0,25.0,28900,BCM
2018-02-23,25.2,25.2,22.4,23.0,37800,BCM
2018-02-26,22.0,24.3,20.0,22.9,21100,BCM
2018-02-27,24.8,24.8,20.0,24.0,34700,BCM
2018-02-28,20.4,22.0,20.4,22.0,2300,BCM
2018-03-01,22.0,22.2,21.0,22.2,21100,BCM
2018-03-02,21.9,21.9,20.5,21.6,24900,BCM
2018-03-05,21.2,21.5,21.0,21.3,35500,BCM
2018-03-06,22.5,22.5,20.5,21.7,4200,BCM
2018-03-07,20.5,20.5,20.0,20.2,3000,BCM
2018-03-08,21.0,21.0,21.0,21.0,2100,BCM
2018-03-09,21.0,21.0,18.0,20.9,36700,BCM
2018-03-12,20.0,20.9,19.5,20.5,7000,BCM
2018-03-13,20.0,20.0,19.2,19.8,15100,BCM
2018-03-14,19.1,19.7,18.8,18.8,11700,BCM
2018-03-15,18.3,19.5,18.0,19.3,29700,BCM
2018-03-16,20.9,21.5,19.5,20.0,33500,BCM
2018-03-19,20.2,21.2,20.2,21.2,14000,BCM
2018-03-20,20.0,20.9,19.1,20.0,101100,BCM
2018-03-21,20.5,20.5,19.1,19.8,63600,BCM
2018-03-22,20.0,22.4,19.8,22.4,135400,BCM
2018-03-23,22.3,23.8,22.0,23.5,97700,BCM
2018-03-26,24.3,24.4,22.7,24.0,198500,BCM
2018-03-27,24.0,26.8,20.8,24.0,362200,BCM
2018-03-28,23.6,26.2,22.5,23.9,433200,BCM
2018-03-29,23.8,25.3,23.5,23.8,272700,BCM
2018-03-30,24.1,25.0,24.1,24.9,46000,BCM
2018-04-02,25.0,25.7,25.0,25.7,47800,BCM
2018-04-03,25.9,27.0,25.5,26.3,49300,BCM
2018-04-04,26.3,26.3,25.6,26.0,60400,BCM
2018-04-05,26.0,26.3,25.6,26.2,206800,BCM
2018-04-06,26.0,26.2,25.5,25.8,70500,BCM
2018-04-09,25.4,26.8,25.3,26.5,71600,BCM
2018-04-10,25.3,26.2,25.3,26.0,63800,BCM
2018-04-11,26.0,26.0,25.0,25.8,77400,BCM
2018-04-12,25.7,25.8,25.0,25.7,100200,BCM
2018-04-13,25.8,26.0,25.2,25.8,36600,BCM
2018-04-16,25.6,25.7,25.6,25.7,55000,BCM
2018-04-17,25.7,25.7,25.0,25.7,58000,BCM
2018-04-18,25.6,25.7,25.6,25.7,10500,BCM
2018-04-19,25.0,25.6,24.8,25.6,30000,BCM
2018-04-20,25.5,25.7,25.5,25.7,20200,BCM
2018-04-23,25.5,25.6,25.0,25.0,31600,BCM
2018-04-24,25.5,25.5,25.0,25.0,21100,BCM
2018-04-26,25.0,25.0,24.9,24.9,28200,BCM
2018-04-27,25.0,25.0,25.0,25.0,33200,BCM
2018-05-02,25.0,25.6,25.0,25.6,13900,BCM
2018-05-03,25.7,25.7,25.4,25.5,1300,BCM
2018-05-07,24.0,24.0,22.1,23.0,11900,BCM
2018-05-08,24.9,25.0,21.0,24.9,101600,BCM
2018-05-09,24.4,24.4,22.2,22.2,300,BCM
2018-05-10,22.4,24.9,22.4,23.0,1400,BCM
2018-05-11,23.9,23.9,23.9,23.9,100,BCM
2018-05-14,23.9,23.9,23.9,23.9,0,BCM
2018-05-15,23.5,23.5,23.5,23.5,100,BCM
2018-05-16,23.9,23.9,22.0,23.8,10500,BCM
2018-05-17,25.0,25.0,25.0,25.0,100,BCM
2018-05-18,22.3,22.3,22.2,22.2,1100,BCM
2018-05-21,25.5,25.5,22.0,22.0,7100,BCM
2018-05-22,23.5,23.5,22.0,22.0,600,BCM
2018-05-23,25.5,25.5,25.5,25.5,100,BCM
2018-05-24,25.5,25.5,25.5,25.5,0,BCM
2018-05-25,25.5,25.5,25.5,25.5,0,BCM
2018-05-28,21.8,23.5,21.8,23.5,4300,BCM
2018-05-29,22.0,24.0,22.0,24.0,8900,BCM
2018-05-30,23.5,23.5,23.5,23.5,0,BCM
2018-05-31,23.5,23.5,23.5,23.5,0,BCM
2018-06-01,23.5,23.5,22.0,22.5,800,BCM
2018-06-04,23.7,23.7,21.7,21.7,3100,BCM
2018-06-05,23.3,23.3,23.3,23.3,100,BCM
2018-06-06,24.5,24.5,21.0,21.0,92700,BCM
2018-06-07,24.9,24.9,20.0,20.0,52000,BCM
2018-06-08,23.0,23.0,20.0,21.0,9800,BCM
2018-06-11,21.0,21.0,20.5,20.5,700,BCM
2018-06-12,21.5,21.5,20.0,20.0,2100,BCM
2018-06-13,20.9,20.9,20.0,20.0,300,BCM
2018-06-14,20.8,20.8,20.5,20.5,200,BCM
2018-06-15,21.0,21.0,18.0,20.0,32400,BCM
