date,open,high,low,close,volume,ticker
2024-01-02,43.4,43.6,42.7,43.0,1112000,BID
2024-01-03,43.4,44.1,43.0,43.8,1559300,BID
2024-01-04,43.9,45.0,43.6,43.65,3213200,BID
2024-01-05,43.7,44.95,43.7,44.5,1329800,BID
2024-01-08,44.8,46.5,44.65,46.4,1949000,BID
2024-01-09,47.0,47.0,46.05,46.05,1741100,BID
2024-01-10,46.05,47.8,46.0,47.4,2141800,BID
2024-01-11,47.2,47.25,46.2,46.5,3385600,BID
2024-01-12,45.9,47.2,45.05,46.0,3074500,BID
2024-01-15,46.05,47.0,46.05,46.6,1335700,BID
2024-01-16,46.05,46.95,46.05,46.9,1130700,BID
2024-01-17,46.55,47.0,46.3,46.85,1463000,BID
2024-01-18,46.85,47.85,46.65,47.5,2278300,BID
2024-01-19,47.9,49.85,47.2,49.85,2954000,BID
2024-01-22,49.95,50.2,48.7,49.8,2365400,BID
2024-01-23,49.5,49.8,48.65,49.4,2182200,BID
2024-01-24,48.5,49.2,48.45,48.9,1868700,BID
2024-01-25,48.9,49.75,48.4,48.4,1348900,BID
2024-01-26,48.4,48.95,48.4,48.95,812400,BID
2024-01-29,48.9,49.2,48.5,48.7,984500,BID
2024-01-30,48.8,48.9,48.2,48.45,1121300,BID
2024-01-31,48.5,48.8,47.5,47.7,1673600,BID
2024-02-01,47.5,47.95,47.15,47.25,1542600,BID
2024-02-02,47.3,47.5,46.7,46.9,1952800,BID
2024-02-05,47.1,49.4,47.05,48.65,2249900,BID
2024-02-06,48.8,48.8,48.0,48.8,1527400,BID
2024-02-07,48.8,49.05,48.6,48.95,1859200,BID
2024-02-15,48.95,49.25,48.45,48.95,1625600,BID
2024-02-16,49.0,49.0,48.3,48.55,1353000,BID
2024-02-19,48.75,50.3,48.25,49.3,3283300,BID
2024-02-20,49.5,50.2,49.4,49.4,1569300,BID
2024-02-21,49.75,49.8,48.9,49.75,1850900,BID
2024-02-22,49.8,49.9,49.5,49.75,1596200,BID
2024-02-23,49.8,53.2,49.3,52.0,6935200,BID
2024-02-26,52.8,54.5,52.0,53.6,1533000,BID
2024-02-27,53.7,54.0,53.0,53.0,1742700,BID
2024-02-28,53.2,54.8,52.3,53.9,2342300,BID
2024-02-29,53.9,54.0,53.0,53.0,1337300,BID
2024-03-01,53.3,54.3,52.4,53.5,1246100,BID
2024-03-04,53.6,54.5,52.5,53.5,2330400,BID
2024-03-05,53.5,54.4,52.9,54.4,1200400,BID
2024-03-06,54.0,54.8,53.7,54.0,903500,BID
2024-03-07,54.4,54.4,53.2,53.3,2125200,BID
2024-03-08,53.4,53.4,49.6,51.1,2740700,BID
2024-03-11,51.8,52.4,50.5,50.5,1478700,BID
2024-03-12,50.6,52.1,50.5,52.0,1210100,BID
2024-03-13,52.2,52.6,51.8,52.6,1398100,BID
2024-03-14,53.5,53.5,51.4,51.7,1482400,BID
2024-03-15,51.6,52.8,51.0,52.2,1433700,BID
2024-03-18,52.0,52.8,49.9,52.0,1481000,BID
2024-03-19,52.1,52.1,51.0,51.6,765300,BID
2024-03-20,51.6,53.1,50.5,53.0,3132600,BID
2024-03-21,53.2,53.4,52.8,53.0,1857100,BID
2024-03-22,53.3,56.7,53.3,54.2,4361200,BID
2024-03-25,54.2,55.5,52.7,53.0,1262200,BID
2024-03-26,53.0,53.9,53.0,53.0,1409500,BID
2024-03-27,53.3,53.3,52.5,52.5,1607900,BID
2024-03-28,53.2,53.9,52.5,52.6,1358700,BID
2024-03-29,53.2,53.2,52.0,52.1,1788300,BID
2024-04-01,52.2,52.7,51.7,52.1,1362900,BID
2024-04-02,51.9,52.4,51.5,51.9,1576300,BID
2024-04-03,52.0,52.3,51.0,51.0,1496500,BID
2024-04-04,51.8,51.8,51.0,51.0,1093500,BID
2024-04-05,50.9,50.9,50.2,50.2,1654900,BID
2024-04-08,50.2,51.6,50.0,50.8,904800,BID
2024-04-09,51.1,52.7,50.8,52.7,1751000,BID
2024-04-10,52.8,52.8,51.9,52.0,1193200,BID
2024-04-11,51.5,53.4,51.3,53.0,2276400,BID
2024-04-12,53.0,54.5,52.8,53.4,3374100,BID
2024-04-15,53.3,54.5,49.7,49.7,2541500,BID
2024-04-16,49.7,51.2,49.45,50.3,2349900,BID
2024-04-17,50.9,51.0,48.0,48.1,1973200,BID
2024-04-19,47.9,49.5,47.1,48.35,2170000,BID
2024-04-22,48.8,50.1,48.8,50.1,1298900,BID
2024-04-23,49.2,50.5,48.5,49.4,2273300,BID
2024-04-24,49.45,50.4,49.35,50.0,1416800,BID
2024-04-25,49.75,50.3,49.3,49.6,1053600,BID
2024-04-26,49.6,50.1,49.1,49.2,774500,BID
2024-05-02,49.3,49.7,48.85,49.2,568700,BID
2024-05-03,49.65,49.9,49.0,49.2,700800,BID
2024-05-06,49.3,50.5,49.3,50.5,1192000,BID
2024-05-07,50.6,51.0,50.0,50.0,1069500,BID
2024-05-08,50.1,50.8,49.8,49.8,1057600,BID
2024-05-09,50.3,50.3,49.5,49.5,970600,BID
2024-05-10,49.6,49.75,48.95,49.05,827700,BID
2024-05-13,49.2,49.5,48.5,48.6,1663700,BID
2024-05-14,48.8,49.2,48.05,48.1,1948300,BID
2024-05-15,48.45,48.95,48.35,48.6,1393000,BID
2024-05-16,49.15,50.3,49.05,49.6,2097300,BID
2024-05-17,49.65,49.7,49.2,49.35,1518300,BID
2024-05-20,49.6,50.7,49.5,49.6,2191900,BID
2024-05-21,50.0,50.3,49.4,50.0,1794700,BID
2024-05-22,50.5,51.2,49.75,49.8,2428000,BID
2024-05-23,49.8,50.2,49.4,49.5,1788900,BID
2024-05-24,49.6,50.6,48.5,49.2,2175600,BID
2024-05-27,49.4,49.4,48.55,48.9,763200,BID
2024-05-28,49.0,49.2,48.6,49.1,1230700,BID
2024-05-29,49.45,49.45,48.6,48.6,1388900,BID
2024-05-30,48.4,48.5,47.4,47.7,2092000,BID
2024-05-31,47.7,48.3,47.1,47.1,1967800,BID
2024-06-03,47.9,48.45,47.2,47.3,2095200,BID
2024-06-04,47.85,48.2,47.55,47.6,1112900,BID
2024-06-05,47.9,48.2,47.65,47.65,1799400,BID
2024-06-06,47.7,48.1,47.7,47.9,1413000,BID
2024-06-07,48.1,48.3,47.7,47.75,1233400,BID
2024-06-10,47.85,48.55,47.55,47.65,2062700,BID
2024-06-11,47.8,47.85,47.2,47.35,2535500,BID
2024-06-12,47.6,47.95,47.0,47.9,2649200,BID
2024-06-13,48.35,48.35,47.9,48.35,2615400,BID
2024-06-14,48.4,48.75,47.5,47.5,2240900,BID
2024-06-17,47.5,47.5,46.5,46.5,2812800,BID
2024-06-18,46.7,47.05,46.5,46.5,1468000,BID
2024-06-19,46.8,46.8,45.85,46.1,2599500,BID
2024-06-20,46.0,46.2,45.35,45.5,2671200,BID
2024-06-21,45.6,46.45,45.55,45.6,1540200,BID
2024-06-24,46.0,46.35,45.0,45.0,1951000,BID
2024-06-25,45.4,45.7,43.55,44.2,2891100,BID
2024-06-26,44.25,44.8,44.0,44.5,1689800,BID
2024-06-27,44.7,45.0,44.1,44.1,1573600,BID
2024-06-28,44.1,44.6,43.25,43.25,2120500,BID
2024-07-01,43.3,43.9,43.0,43.9,1236800,BID
2024-07-02,44.25,45.8,44.05,45.75,3612500,BID
2024-07-03,46.0,47.2,45.55,47.2,4601800,BID
2024-07-04,47.0,47.4,46.8,47.3,2666100,BID
2024-07-05,47.35,48.2,47.1,47.3,4622000,BID
2024-07-08,47.55,47.8,46.75,47.0,1981700,BID
2024-07-09,47.5,48.0,46.9,47.5,2572300,BID
2024-07-10,47.85,47.9,46.9,46.9,2019900,BID
2024-07-11,47.45,47.45,46.8,46.8,1293700,BID
