date,open,high,low,close,volume,ticker
2015-01-05,32.1,33.8,32.1,33.3,984900,BVH
2015-01-06,32.1,33.4,32.1,33.4,511140,BVH
2015-01-07,33.5,34.7,33.4,34.1,1030840,BVH
2015-01-08,34.1,34.9,33.7,34.1,565530,BVH
2015-01-09,34.2,35.6,34.0,35.0,730160,BVH
2015-01-12,35.2,36.2,35.1,35.7,1374890,BVH
2015-01-13,35.2,35.7,35.0,35.2,828990,BVH
2015-01-14,35.1,35.4,34.3,34.6,465980,BVH
2015-01-15,34.5,34.7,33.7,34.0,683540,BVH
2015-01-16,34.2,35.3,34.0,35.0,721060,BVH
2015-01-19,35.0,35.7,34.5,34.8,501550,BVH
2015-01-20,34.5,35.2,34.5,35.0,564360,BVH
2015-01-21,35.0,35.3,34.9,35.1,590070,BVH
2015-01-22,35.1,35.4,34.7,35.2,532030,BVH
2015-01-23,35.2,35.4,34.8,35.2,510760,BVH
2015-01-26,35.3,35.3,34.8,34.8,292390,BVH
2015-01-27,34.9,35.2,34.5,34.6,600110,BVH
2015-01-28,34.8,36.3,34.8,35.8,735140,BVH
2015-01-29,35.6,35.8,35.0,35.0,160820,BVH
2015-01-30,35.6,35.6,34.5,34.5,284910,BVH
2015-02-02,34.6,35.2,34.1,34.1,425460,BVH
2015-02-03,34.6,35.0,34.1,34.5,538860,BVH
2015-02-04,34.3,36.2,34.2,36.0,956310,BVH
2015-02-05,36.0,37.5,36.0,36.8,919350,BVH
2015-02-06,36.8,37.9,36.8,37.7,331920,BVH
2015-02-09,37.8,38.1,37.5,37.9,840030,BVH
2015-02-10,37.9,38.7,37.5,38.5,624020,BVH
2015-02-11,38.8,39.2,38.5,39.0,172030,BVH
2015-02-12,39.1,39.7,38.9,39.5,334530,BVH
2015-02-13,39.7,40.3,39.6,39.7,571660,BVH
2015-02-24,39.5,40.0,39.3,39.8,292860,BVH
2015-02-25,39.8,40.4,38.6,38.6,259560,BVH
2015-02-26,38.6,38.7,37.8,38.1,216360,BVH
2015-02-27,38.0,38.9,37.5,37.5,346060,BVH
2015-03-02,37.5,38.1,37.4,37.6,290980,BVH
2015-03-03,38.0,38.5,37.9,38.5,255270,BVH
2015-03-04,38.5,38.8,38.4,38.7,244110,BVH
2015-03-05,38.8,38.8,38.1,38.1,471590,BVH
2015-03-06,38.0,38.1,37.6,37.7,387680,BVH
2015-03-09,37.6,37.6,36.7,37.1,518330,BVH
2015-03-10,37.0,37.2,36.7,37.1,129430,BVH
2015-03-11,37.1,37.7,36.8,37.3,279140,BVH
2015-03-12,37.2,37.8,37.0,37.8,403030,BVH
2015-03-13,38.0,38.0,37.4,37.5,140960,BVH
2015-03-16,37.0,37.3,36.9,37.0,181410,BVH
2015-03-17,36.8,37.3,36.8,37.2,308710,BVH
2015-03-18,37.2,37.3,36.7,37.1,112960,BVH
2015-03-19,37.2,37.0,36.1,36.2,351630,BVH
2015-03-20,37.0,37.5,35.9,37.5,351100,BVH
2015-03-23,36.7,37.1,36.7,36.8,378160,BVH
2015-03-24,36.2,36.7,36.0,36.6,417380,BVH
2015-03-25,36.5,36.8,36.1,36.1,303370,BVH
2015-03-26,36.0,36.1,35.2,35.6,408590,BVH
2015-03-27,35.7,35.7,33.8,34.4,368540,BVH
2015-03-30,34.1,34.7,33.1,33.2,320810,BVH
2015-03-31,33.3,34.7,33.2,34.2,270420,BVH
2015-04-01,33.3,34.2,33.0,33.0,177010,BVH
2015-04-02,33.0,35.3,33.0,35.3,296050,BVH
2015-04-03,35.0,35.7,34.5,34.5,209320,BVH
2015-04-06,34.5,34.6,33.6,33.6,146010,BVH
2015-04-07,33.6,34.2,33.3,34.0,268570,BVH
2015-04-08,34.0,34.1,33.4,33.5,271160,BVH
2015-04-09,33.2,34.2,33.2,33.9,139500,BVH
2015-04-10,34.2,34.8,34.0,34.1,276310,BVH
2015-04-13,34.2,34.9,34.1,34.6,186700,BVH
2015-04-14,34.7,34.9,34.5,34.5,201460,BVH
2015-04-15,34.4,35.1,34.3,35.0,253170,BVH
2015-04-16,35.7,36.0,35.5,35.6,387680,BVH
2015-04-17,35.6,35.7,35.3,35.3,160200,BVH
2015-04-20,35.0,35.4,34.9,35.3,168960,BVH
2015-04-21,35.1,35.4,35.1,35.1,126900,BVH
2015-04-22,35.1,35.2,34.9,35.0,152340,BVH
2015-04-23,35.0,35.8,35.0,35.4,185840,BVH
2015-04-24,35.5,35.6,35.1,35.3,183630,BVH
2015-04-27,35.6,35.6,35.1,35.4,188490,BVH
2015-05-04,35.0,35.1,33.9,33.9,341150,BVH
2015-05-05,33.9,34.9,33.5,34.9,188470,BVH
2015-05-06,34.9,34.9,34.0,34.0,81060,BVH
2015-05-07,33.8,34.2,33.8,34.0,68840,BVH
2015-05-08,34.0,34.8,34.0,34.4,102210,BVH
2015-05-11,34.5,34.6,34.2,34.3,150430,BVH
2015-05-12,34.0,34.6,33.5,33.5,150660,BVH
2015-05-13,34.0,34.0,33.3,33.5,117160,BVH
2015-05-14,33.5,33.6,33.4,33.4,93570,BVH
2015-05-15,33.5,33.9,33.2,33.2,69290,BVH
2015-05-18,33.2,33.2,32.6,32.6,86030,BVH
2015-05-19,33.5,33.5,32.6,33.3,104260,BVH
2015-05-20,32.9,34.4,32.9,34.3,125760,BVH
2015-05-21,34.3,34.8,33.5,34.8,224020,BVH
2015-05-22,34.8,35.6,34.1,35.6,257630,BVH
2015-05-25,35.2,36.0,34.8,34.8,98730,BVH
2015-05-26,35.5,36.6,35.0,36.4,499030,BVH
2015-05-27,36.4,36.8,36.0,36.5,236330,BVH
2015-05-28,36.4,37.4,36.3,37.0,291760,BVH
2015-05-29,37.2,37.2,36.1,36.7,321610,BVH
2015-06-01,36.9,36.9,35.2,35.6,169750,BVH
2015-06-02,36.0,36.4,35.4,35.4,87020,BVH
2015-06-03,35.3,35.4,34.8,35.0,261280,BVH
2015-06-04,35.0,35.5,35.0,35.4,136560,BVH
2015-06-05,35.4,35.9,35.0,35.9,78830,BVH
2015-06-08,36.0,36.0,35.2,35.3,325320,BVH
2015-06-09,35.0,35.3,35.0,35.3,178690,BVH
2015-06-10,35.0,35.4,34.9,35.1,239690,BVH
2015-06-11,34.9,36.2,34.9,36.2,297000,BVH
2015-06-12,36.9,36.9,36.3,36.8,201810,BVH
2015-06-15,37.2,37.2,36.6,37.0,166440,BVH
2015-06-16,37.0,37.1,36.5,36.5,192990,BVH
2015-06-17,36.5,38.0,36.3,37.0,389660,BVH
2015-06-18,37.4,38.0,37.0,38.0,457990,BVH
2015-06-19,38.9,39.0,38.3,39.0,1166020,BVH
2015-06-22,38.9,38.9,38.2,38.5,272630,BVH
2015-06-23,38.5,39.3,38.5,39.1,330820,BVH
2015-06-24,39.1,39.2,38.5,38.9,100320,BVH
2015-06-25,39.0,39.0,38.3,38.4,80090,BVH
2015-06-26,38.4,38.4,37.1,38.0,195050,BVH
2015-06-29,38.3,39.8,38.0,39.4,388770,BVH
2015-06-30,39.5,41.5,39.4,41.0,1017730,BVH
2015-07-01,40.5,41.0,40.1,40.5,333440,BVH
2015-07-02,40.0,43.0,40.0,43.0,347680,BVH
2015-07-03,43.4,45.5,43.2,45.5,520190,BVH
2015-07-06,46.3,48.6,46.0,48.6,600310,BVH
2015-07-07,48.2,52.0,48.2,52.0,487240,BVH
2015-07-08,55.0,55.5,54.0,55.0,1248330,BVH
2015-07-09,52.0,58.0,51.5,54.5,634710,BVH
2015-07-10,55.0,58.0,54.5,58.0,579560,BVH
2015-07-13,61.0,62.0,61.0,62.0,198890,BVH
2015-07-14,66.0,66.0,62.0,66.0,706390,BVH
2015-07-15,67.5,67.5,62.0,62.0,586290,BVH
2015-07-16,59.5,65.5,59.5,63.0,483980,BVH
2015-07-17,63.0,65.5,62.5,64.5,351520,BVH
2015-07-20,65.0,65.0,60.5,61.0,198630,BVH
2015-07-21,59.0,60.0,57.0,57.0,301790,BVH
2015-07-22,54.5,56.0,53.5,54.0,1291590,BVH
2015-07-23,55.5,57.5,55.5,57.5,297960,BVH
2015-07-24,58.0,58.5,55.5,56.0,171600,BVH
2015-07-27,54.0,55.0,52.5,54.0,749480,BVH
2015-07-28,54.5,55.0,52.0,52.0,543030,BVH
2015-07-29,52.0,55.0,51.5,52.0,287000,BVH
2015-07-30,52.0,55.0,52.0,55.0,396160,BVH
2015-07-31,55.5,55.5,52.5,52.5,235220,BVH
2015-08-03,50.5,51.0,48.9,48.9,683500,BVH
2015-08-04,47.6,48.0,46.0,46.0,505740,BVH
2015-08-05,48.0,48.9,46.0,48.0,244240,BVH
2015-08-06,48.0,48.9,46.0,46.8,259670,BVH
2015-08-07,46.8,47.2,46.0,47.1,160890,BVH
2015-08-10,47.1,50.0,47.1,50.0,478940,BVH
2015-08-11,52.0,53.5,51.5,52.0,511600,BVH
2015-08-12,50.5,53.5,49.7,51.0,580100,BVH
2015-08-13,51.0,51.0,47.6,48.0,447190,BVH
2015-08-14,48.0,49.1,48.0,48.8,369900,BVH
2015-08-17,49.3,49.7,47.0,47.0,243650,BVH
2015-08-18,47.0,49.5,47.0,49.5,258110,BVH
2015-08-19,49.5,51.0,48.3,49.5,246540,BVH
2015-08-20,49.5,51.0,48.4,48.4,370520,BVH
2015-08-21,47.8,48.0,45.9,47.0,511390,BVH
2015-08-24,46.0,46.2,43.8,43.8,639640,BVH
2015-08-25,41.5,45.5,41.1,44.9,464100,BVH
2015-08-26,44.6,45.7,43.1,44.1,536880,BVH
2015-08-27,45.0,47.0,44.5,45.0,480220,BVH
2015-08-28,45.0,48.0,44.9,48.0,584800,BVH
2015-08-31,48.0,48.0,46.5,46.5,442430,BVH
2015-09-01,46.5,47.2,45.5,45.8,288660,BVH
2015-09-03,45.8,45.8,43.8,43.8,442860,BVH
2015-09-04,43.8,44.8,43.8,44.6,212620,BVH
2015-09-07,44.5,45.4,44.5,44.6,115340,BVH
2015-09-08,44.1,46.0,44.0,45.7,322440,BVH
2015-09-09,47.0,47.1,46.2,46.5,351190,BVH
2015-09-10,45.9,48.0,45.9,46.8,354080,BVH
2015-09-11,47.0,47.7,46.5,46.6,316260,BVH
2015-09-14,46.0,46.4,44.1,44.1,347810,BVH
2015-09-15,44.1,44.6,43.9,44.3,391320,BVH
2015-09-16,44.5,45.1,44.2,44.8,641970,BVH
2015-09-17,44.9,45.3,44.5,44.5,179980,BVH
2015-09-18,45.0,46.8,45.0,45.3,1517610,BVH
