date,open,high,low,close,volume,ticker
2015-01-05,13.8,14.0,13.8,13.9,60490,CTG
2015-01-06,13.9,14.3,13.8,14.0,125010,CTG
2015-01-07,14.0,14.5,14.0,14.4,467590,CTG
2015-01-08,14.3,14.4,14.1,14.1,303670,CTG
2015-01-09,14.3,14.7,14.2,14.5,867510,CTG
2015-01-12,14.6,15.1,14.5,14.7,2085400,CTG
2015-01-13,14.9,15.7,14.8,15.5,1432010,CTG
2015-01-14,15.7,15.9,15.1,15.4,1305200,CTG
2015-01-15,15.4,15.8,15.2,15.2,711250,CTG
2015-01-16,15.2,15.5,15.0,15.3,1185270,CTG
2015-01-19,15.8,15.9,15.5,15.7,1796540,CTG
2015-01-20,15.6,15.7,15.4,15.4,414530,CTG
2015-01-21,15.4,15.4,15.1,15.1,809640,CTG
2015-01-22,15.1,16.1,14.9,16.1,2685500,CTG
2015-01-23,16.7,17.0,16.4,16.6,1957260,CTG
2015-01-26,16.8,17.3,16.7,17.1,2945000,CTG
2015-01-27,17.1,17.8,16.8,17.5,4379550,CTG
2015-01-28,17.5,18.7,17.5,18.7,5743830,CTG
2015-01-29,19.0,19.5,18.5,18.8,4276430,CTG
2015-01-30,18.5,18.7,17.8,18.0,3180240,CTG
2015-02-02,17.8,18.5,17.6,18.0,2519910,CTG
2015-02-03,18.1,18.2,16.8,16.8,3433500,CTG
2015-02-04,16.3,16.5,15.7,16.2,3613050,CTG
2015-02-05,16.5,17.1,16.3,17.1,3311850,CTG
2015-02-06,17.1,17.9,17.1,17.7,3178500,CTG
2015-02-09,17.6,18.2,17.5,17.8,3786930,CTG
2015-02-10,18.0,18.5,17.8,18.4,2715190,CTG
2015-02-11,18.1,18.6,18.1,18.4,2654890,CTG
2015-02-12,18.1,18.6,17.8,17.9,2652870,CTG
2015-02-13,17.9,18.1,17.7,17.8,2026230,CTG
2015-02-24,18.1,18.7,18.0,18.6,1821450,CTG
2015-02-25,18.8,19.5,18.8,18.8,5562180,CTG
2015-02-26,18.9,19.4,18.9,19.4,4149580,CTG
2015-02-27,19.5,19.6,19.0,19.4,4198410,CTG
2015-03-02,19.2,19.3,18.8,19.1,3074520,CTG
2015-03-03,19.2,19.5,19.0,19.2,3722080,CTG
2015-03-04,19.2,19.4,18.9,19.2,2945900,CTG
2015-03-05,19.3,19.4,18.8,18.8,2596370,CTG
2015-03-06,18.7,19.5,18.5,19.1,3719690,CTG
2015-03-09,19.2,19.2,18.7,18.7,1474230,CTG
2015-03-10,18.6,19.0,18.6,18.8,1198040,CTG
2015-03-11,18.8,19.3,18.6,18.8,2729100,CTG
2015-03-12,19.0,19.1,18.8,18.9,1449350,CTG
2015-03-13,19.1,19.3,19.0,19.1,2384000,CTG
2015-03-16,19.0,19.1,18.8,18.8,1271600,CTG
2015-03-17,18.8,19.0,18.7,18.7,1352350,CTG
2015-03-18,18.6,18.6,18.1,18.2,3107150,CTG
2015-03-19,18.6,18.4,18.0,18.0,1435880,CTG
2015-03-20,18.3,18.2,17.9,18.1,1861370,CTG
2015-03-23,18.0,18.3,17.6,17.6,2208570,CTG
2015-03-24,17.6,17.7,17.1,17.5,2480420,CTG
2015-03-25,17.6,18.0,17.5,17.8,1890350,CTG
2015-03-26,17.6,18.2,17.6,17.7,2959950,CTG
2015-03-27,18.0,18.0,17.5,17.6,1610890,CTG
2015-03-30,17.5,17.7,17.0,17.2,1767530,CTG
2015-03-31,17.1,17.5,17.1,17.3,1826250,CTG
2015-04-01,17.1,17.5,16.9,17.0,1875640,CTG
2015-04-02,17.0,17.5,16.9,17.5,1971180,CTG
2015-04-03,17.5,17.7,17.4,17.4,1682620,CTG
2015-04-06,17.4,17.5,17.2,17.2,1371940,CTG
2015-04-07,17.1,17.5,17.0,17.3,4400850,CTG
2015-04-08,17.5,17.6,17.2,17.3,3135460,CTG
2015-04-09,17.4,17.8,17.2,17.8,3777930,CTG
2015-04-10,17.8,18.4,17.8,18.0,3715810,CTG
2015-04-13,18.1,18.2,17.8,18.1,2438300,CTG
2015-04-14,18.3,18.5,17.9,17.9,4305010,CTG
2015-04-15,17.8,18.2,17.7,18.1,2260390,CTG
2015-04-16,18.1,18.4,18.0,18.4,3375990,CTG
2015-04-17,18.3,18.5,18.2,18.2,2598370,CTG
2015-04-20,18.1,18.2,17.9,18.1,1836360,CTG
2015-04-21,18.2,18.4,18.0,18.0,2514940,CTG
2015-04-22,17.8,18.0,17.4,17.6,3611600,CTG
2015-04-23,17.5,17.8,17.4,17.7,1926830,CTG
2015-04-24,17.6,17.9,17.6,17.7,1127530,CTG
2015-04-27,17.7,18.2,17.7,18.0,2147400,CTG
2015-05-04,17.8,18.0,17.0,17.0,2061730,CTG
2015-05-05,17.0,17.8,16.9,17.7,2319480,CTG
2015-05-06,17.7,17.9,17.5,17.6,1862860,CTG
2015-05-07,17.6,18.0,17.4,17.9,812500,CTG
2015-05-08,17.9,18.2,17.7,18.2,1917700,CTG
2015-05-11,18.2,18.2,17.9,17.9,531620,CTG
2015-05-12,17.9,17.9,17.4,17.7,1294400,CTG
2015-05-13,17.5,17.7,17.2,17.5,974300,CTG
2015-05-14,17.4,17.9,17.4,17.9,884200,CTG
2015-05-15,17.9,17.9,17.4,17.4,310460,CTG
2015-05-18,17.5,17.5,16.9,16.9,1826210,CTG
2015-05-19,17.0,17.3,17.0,17.3,553960,CTG
2015-05-20,17.3,18.0,17.2,17.6,1165710,CTG
2015-05-21,17.5,18.0,17.5,17.8,1532780,CTG
2015-05-22,18.0,18.2,17.7,18.1,1733660,CTG
2015-05-25,18.1,18.4,18.1,18.4,1249000,CTG
2015-05-26,18.3,18.9,18.3,18.8,2748290,CTG
2015-05-27,18.6,19.1,18.6,18.9,2088700,CTG
2015-05-28,18.9,20.2,18.7,19.7,2942590,CTG
2015-05-29,19.7,20.0,19.4,19.5,2915260,CTG
2015-06-01,19.4,20.2,19.4,19.7,2563900,CTG
2015-06-02,19.7,20.0,19.1,19.1,3005220,CTG
2015-06-03,19.0,19.4,18.8,18.8,2400730,CTG
2015-06-04,18.9,19.1,18.5,18.7,3134610,CTG
2015-06-05,18.7,19.8,18.7,19.6,1983710,CTG
2015-06-08,19.8,20.4,19.8,19.9,3490520,CTG
2015-06-09,19.8,20.2,19.4,19.6,2453280,CTG
2015-06-10,19.6,19.7,19.0,19.4,2395630,CTG
2015-06-11,19.5,19.7,19.2,19.3,1632620,CTG
2015-06-12,19.6,19.8,19.4,19.6,1950860,CTG
2015-06-15,19.7,20.8,19.7,20.8,4816390,CTG
2015-06-16,21.0,21.3,20.6,20.6,2937050,CTG
2015-06-17,20.4,20.9,20.3,20.8,1595450,CTG
2015-06-18,20.7,20.9,20.4,20.7,1667290,CTG
2015-06-19,20.9,21.2,20.7,20.8,2629920,CTG
2015-06-22,20.9,21.3,20.9,21.2,2318820,CTG
2015-06-23,20.7,20.8,20.4,20.6,3156940,CTG
