date,open,high,low,close,volume,ticker
2015-01-05,48.0,48.2,47.6,47.8,273550,FPT
2015-01-06,47.5,48.1,47.3,48.1,364050,FPT
2015-01-07,48.1,49.1,48.1,48.4,405560,FPT
2015-01-08,48.3,48.4,47.8,47.9,227300,FPT
2015-01-09,47.9,48.5,47.9,48.3,320210,FPT
2015-01-12,48.3,49.2,48.3,48.6,679050,FPT
2015-01-13,48.4,48.8,48.4,48.7,242060,FPT
2015-01-14,48.7,48.9,48.2,48.6,421120,FPT
2015-01-15,48.8,48.8,48.4,48.7,281910,FPT
2015-01-16,48.8,48.8,48.4,48.5,174340,FPT
2015-01-19,48.5,48.5,48.0,48.0,367020,FPT
2015-01-20,48.0,48.2,47.9,48.0,344010,FPT
2015-01-21,48.2,48.8,48.2,48.4,607260,FPT
2015-01-22,48.6,48.6,48.2,48.2,299200,FPT
2015-01-23,48.4,48.7,48.2,48.4,386280,FPT
2015-01-26,48.4,48.7,48.4,48.4,384170,FPT
2015-01-27,48.3,48.6,48.0,48.0,424160,FPT
2015-01-28,47.9,48.3,47.8,47.9,260670,FPT
2015-01-29,47.9,48.0,47.8,47.9,224460,FPT
2015-01-30,48.0,48.1,47.5,47.5,587470,FPT
2015-02-02,47.6,47.8,47.3,47.4,219410,FPT
2015-02-03,47.4,47.5,47.0,47.0,207170,FPT
2015-02-04,47.4,47.4,46.7,46.9,307040,FPT
2015-02-05,47.0,47.5,46.9,47.2,182990,FPT
2015-02-06,47.5,47.5,47.2,47.3,114380,FPT
2015-02-09,47.7,47.7,47.2,47.2,145540,FPT
2015-02-10,47.2,47.3,47.0,47.1,143310,FPT
2015-02-11,47.3,47.5,47.2,47.5,139400,FPT
2015-02-12,47.9,48.2,47.8,47.8,435120,FPT
2015-02-13,48.0,48.2,47.8,48.0,198830,FPT
2015-02-24,48.2,48.8,48.2,48.6,351850,FPT
2015-02-25,48.8,49.0,48.4,48.5,520900,FPT
2015-02-26,48.4,49.0,48.4,49.0,276700,FPT
2015-02-27,49.1,49.3,48.7,48.8,314940,FPT
2015-03-02,49.0,49.0,48.4,48.5,471270,FPT
2015-03-03,49.0,48.9,48.6,48.9,214540,FPT
2015-03-04,49.2,50.5,49.2,50.0,993500,FPT
2015-03-05,50.5,51.0,50.0,50.0,393540,FPT
2015-03-06,50.0,50.5,49.9,50.0,335140,FPT
2015-03-09,49.9,50.0,49.2,49.2,414700,FPT
2015-03-10,49.5,49.7,49.3,49.7,328390,FPT
2015-03-11,49.7,49.7,49.4,49.5,293150,FPT
2015-03-12,49.5,49.5,49.1,49.2,368140,FPT
2015-03-13,49.5,49.7,49.1,49.2,284450,FPT
2015-03-16,49.2,49.4,49.2,49.4,214490,FPT
2015-03-17,49.5,50.5,49.5,50.0,717570,FPT
2015-03-18,50.0,50.0,49.6,49.6,228430,FPT
2015-03-19,50.0,50.0,49.5,49.5,252430,FPT
2015-03-20,49.9,49.9,49.4,49.8,284340,FPT
2015-03-23,49.5,49.9,49.4,49.4,274890,FPT
2015-03-24,49.5,49.5,48.8,49.1,349040,FPT
2015-03-25,49.5,49.5,49.0,49.2,221110,FPT
2015-03-26,49.4,49.4,49.2,49.3,276070,FPT
2015-03-27,49.6,49.6,49.2,49.2,226880,FPT
2015-03-30,49.4,49.4,48.4,48.4,413070,FPT
2015-03-31,48.4,48.7,48.4,48.4,233260,FPT
2015-04-01,48.4,48.7,47.7,47.7,270910,FPT
2015-04-02,47.8,48.5,47.7,48.1,168030,FPT
2015-04-03,48.5,48.8,48.1,48.8,116640,FPT
2015-04-06,48.8,49.1,48.5,48.5,168170,FPT
2015-04-07,48.4,49.0,48.4,48.9,150220,FPT
2015-04-08,49.0,49.1,48.8,48.9,162560,FPT
2015-04-09,48.9,49.0,48.5,48.9,258950,FPT
2015-04-10,48.9,49.4,48.8,49.2,345170,FPT
2015-04-13,49.2,49.4,49.1,49.2,164060,FPT
2015-04-14,49.2,49.2,48.7,48.7,224290,FPT
2015-04-15,48.9,49.0,48.5,48.9,223010,FPT
2015-04-16,48.9,49.2,48.7,48.8,152830,FPT
2015-04-17,48.9,51.5,48.9,51.0,1497670,FPT
