date,open,high,low,close,volume,ticker
2024-01-02,43.1,43.3,42.15,42.45,7140400,MWG
2024-01-03,42.4,43.45,42.0,43.2,6083900,MWG
2024-01-04,43.2,43.8,43.0,43.2,8516100,MWG
2024-01-05,43.2,44.1,43.0,43.85,9042100,MWG
2024-01-08,44.3,44.3,43.2,43.2,6213200,MWG
2024-01-09,43.15,43.2,42.4,42.7,9017100,MWG
2024-01-10,42.7,42.9,41.9,42.25,6770700,MWG
2024-01-11,42.25,43.15,42.2,42.45,4992900,MWG
2024-01-12,41.85,42.6,41.8,41.9,7139700,MWG
2024-01-15,42.55,43.3,42.25,42.9,8986100,MWG
2024-01-16,42.9,44.4,42.8,44.3,17419100,MWG
2024-01-17,44.3,45.6,44.3,44.9,12486000,MWG
2024-01-18,44.9,45.85,44.6,45.85,8902000,MWG
2024-01-19,46.0,46.7,45.3,46.05,10717800,MWG
2024-01-22,46.1,46.3,45.15,46.15,7235900,MWG
2024-01-23,46.15,46.15,45.25,45.4,6100600,MWG
2024-01-24,45.2,45.45,44.35,44.4,9683400,MWG
2024-01-25,44.25,45.2,44.1,45.2,7530100,MWG
2024-01-26,45.0,45.5,44.75,44.9,3781900,MWG
2024-01-29,44.95,45.15,44.5,44.6,4128300,MWG
2024-01-30,44.6,45.45,44.5,45.4,7138200,MWG
2024-01-31,45.7,45.9,44.65,45.0,8743600,MWG
2024-02-01,45.0,46.7,45.0,46.2,11303100,MWG
2024-02-02,46.5,47.4,46.1,47.4,11946800,MWG
2024-02-05,47.5,47.6,46.8,47.4,7536900,MWG
2024-02-06,47.5,47.5,46.8,47.0,5404000,MWG
2024-02-07,46.95,47.05,46.45,46.6,5707100,MWG
2024-02-15,46.95,47.0,45.85,45.85,9340100,MWG
2024-02-16,46.4,46.6,45.8,46.3,5001500,MWG
2024-02-19,46.5,47.2,46.15,46.8,7504700,MWG
2024-02-20,46.95,46.95,46.0,46.8,7870400,MWG
2024-02-21,46.7,46.7,46.0,46.1,6479800,MWG
2024-02-22,46.3,46.3,45.2,45.3,11202700,MWG
2024-02-23,45.3,45.55,43.95,44.0,17637600,MWG
2024-02-26,44.0,44.5,43.05,44.35,13530900,MWG
2024-02-27,44.7,45.2,44.4,44.75,9636200,MWG
2024-02-28,45.0,45.85,44.75,45.3,13790900,MWG
2024-02-29,46.4,47.0,46.0,46.2,13891900,MWG
2024-03-01,46.55,47.3,46.1,46.6,15362500,MWG
2024-03-04,46.6,47.95,46.6,47.4,16593900,MWG
2024-03-05,47.6,50.0,47.5,50.0,22380300,MWG
2024-03-06,50.0,50.3,48.65,48.7,10313000,MWG
2024-03-07,48.7,49.25,48.1,49.0,9439900,MWG
2024-03-08,49.25,49.25,47.0,47.75,20599700,MWG
2024-03-11,47.5,48.3,46.25,46.4,13804500,MWG
2024-03-12,46.15,47.9,46.05,46.75,16650100,MWG
2024-03-13,46.8,48.7,46.8,48.55,8934000,MWG
2024-03-14,48.8,49.0,47.1,47.25,13304100,MWG
2024-03-15,47.25,47.7,46.55,47.35,8865700,MWG
2024-03-18,47.2,47.95,45.65,45.9,12153200,MWG
2024-03-19,46.0,46.4,45.35,45.5,8063800,MWG
2024-03-20,45.6,48.65,45.6,48.0,20639900,MWG
2024-03-21,48.5,48.95,48.0,48.5,9096600,MWG
2024-03-22,48.7,49.4,48.0,49.1,12080800,MWG
2024-03-25,49.0,50.3,48.3,48.3,10366400,MWG
2024-03-26,48.3,48.9,47.8,48.65,7523200,MWG
2024-03-27,48.8,51.4,48.55,50.7,12737300,MWG
2024-03-28,50.8,52.2,50.4,51.0,11651700,MWG
2024-03-29,51.0,52.0,50.8,51.1,11812000,MWG
2024-04-01,50.8,52.6,50.7,51.4,13699100,MWG
2024-04-02,51.0,51.6,49.95,51.6,12311500,MWG
2024-04-03,51.0,51.2,49.9,50.2,14384300,MWG
2024-04-04,50.0,50.7,49.0,50.7,13048500,MWG
2024-04-05,50.0,51.5,49.45,51.0,8145300,MWG
2024-04-08,51.0,51.0,49.8,50.0,6085000,MWG
2024-04-09,50.0,53.1,49.8,52.8,19487100,MWG
2024-04-10,52.9,53.2,51.7,52.0,10159900,MWG
2024-04-11,51.2,52.8,51.2,52.3,6968900,MWG
2024-04-12,52.3,52.6,51.6,52.0,6665600,MWG
2024-04-15,51.7,52.0,49.5,49.9,16505200,MWG
2024-04-16,49.5,50.0,48.7,49.9,11616300,MWG
2024-04-17,50.4,50.4,48.95,49.4,6951200,MWG
2024-04-19,49.25,49.3,48.05,48.2,9473100,MWG
2024-04-22,49.2,49.4,48.15,48.6,12292300,MWG
2024-04-23,49.1,50.3,48.65,49.8,18043000,MWG
2024-04-24,50.2,52.3,49.85,52.3,11530800,MWG
2024-04-25,52.1,53.8,51.4,53.8,19317400,MWG
2024-04-26,53.5,55.0,53.0,54.9,11864700,MWG
2024-05-02,56.0,56.8,54.7,55.6,21954900,MWG
2024-05-03,55.7,57.2,55.0,55.7,29616700,MWG
2024-05-06,56.1,58.8,55.8,58.3,11257200,MWG
2024-05-07,58.8,59.5,57.5,59.3,9460000,MWG
2024-05-08,58.6,59.3,58.2,59.1,8126500,MWG
2024-05-09,59.0,59.2,58.4,58.9,10475400,MWG
2024-05-10,58.8,59.0,57.4,58.9,9750700,MWG
2024-05-13,58.9,58.9,58.0,58.3,7241900,MWG
2024-05-14,58.5,61.0,58.0,60.1,16222000,MWG
2024-05-15,60.6,62.1,60.0,60.8,13069600,MWG
2024-05-16,60.9,61.1,59.7,59.9,12942100,MWG
2024-05-17,59.8,60.3,59.0,59.6,8962800,MWG
2024-05-20,60.0,61.6,59.5,60.0,9202200,MWG
2024-05-21,60.6,61.3,60.0,60.5,4730800,MWG
2024-05-22,60.6,61.6,59.6,61.0,8945300,MWG
2024-05-23,60.7,62.0,60.0,62.0,8859900,MWG
2024-05-24,61.2,61.7,58.9,60.5,13646200,MWG
2024-05-27,60.1,60.5,59.2,60.0,6367800,MWG
2024-05-28,60.4,62.8,60.1,61.5,9931000,MWG
2024-05-29,61.6,62.0,60.5,60.5,6883200,MWG
2024-05-30,59.9,62.8,59.2,62.8,14761100,MWG
2024-05-31,62.8,64.4,62.4,63.6,10260200,MWG
2024-06-03,63.9,64.1,63.2,64.0,8257800,MWG
2024-06-04,64.0,64.2,63.1,63.8,6569500,MWG
2024-06-05,63.0,63.3,61.6,62.0,13778200,MWG
2024-06-06,62.0,62.5,61.6,61.9,7071800,MWG
2024-06-07,62.3,62.8,61.8,62.1,4298200,MWG
2024-06-10,62.2,63.3,62.0,63.0,4849000,MWG
2024-06-11,63.3,63.4,61.8,62.3,6438600,MWG
2024-06-12,62.6,63.9,62.0,63.4,5024800,MWG
2024-06-13,63.7,64.4,63.1,64.0,7862300,MWG
2024-06-14,64.0,64.2,63.0,63.0,8119800,MWG
2024-06-17,62.8,62.8,61.0,62.0,9503600,MWG
2024-06-18,62.1,62.5,61.1,62.2,7174700,MWG
2024-06-19,61.9,63.7,61.6,63.3,7686100,MWG
2024-06-20,63.2,63.5,62.5,63.5,5638200,MWG
2024-06-21,63.0,64.7,62.4,63.5,7135200,MWG
2024-06-24,63.5,63.5,61.5,62.0,11379200,MWG
2024-06-25,62.0,62.7,61.6,62.0,6381000,MWG
2024-06-26,62.5,63.2,61.3,62.6,8185600,MWG
2024-06-27,62.0,63.6,62.0,63.4,8297600,MWG
2024-06-28,63.1,63.1,61.6,62.4,6187200,MWG
2024-07-01,62.6,65.8,62.0,65.8,21785800,MWG
2024-07-02,65.8,66.0,64.7,66.0,9245500,MWG
2024-07-03,65.9,66.4,65.1,65.5,7436000,MWG
2024-07-04,65.7,66.3,64.9,65.1,5861500,MWG
2024-07-05,65.2,65.8,65.0,65.6,7939400,MWG
2024-07-08,65.6,67.4,65.6,67.0,10448700,MWG
2024-07-09,67.2,67.2,66.3,66.8,7977800,MWG
2024-07-10,66.7,66.8,65.2,65.2,10907100,MWG
2024-07-11,65.4,65.7,64.6,64.8,8302000,MWG
2024-07-12,64.8,65.4,64.1,64.8,8736600,MWG
2024-07-15,64.9,65.0,64.1,64.3,3694800,MWG
2024-07-16,64.6,65.3,64.1,64.1,7680700,MWG
2024-07-17,64.7,64.7,62.2,63.5,16982000,MWG
2024-07-18,63.5,65.0,63.4,65.0,7938100,MWG
2024-07-19,65.0,66.3,64.7,65.6,12007200,MWG
2024-07-22,65.2,65.4,63.8,65.3,5883400,MWG
2024-07-23,65.0,65.0,62.0,62.5,9198000,MWG
2024-07-24,61.6,62.0,58.6,61.4,15062500,MWG
2024-07-25,60.0,61.0,59.7,61.0,4903300,MWG
2024-07-26,60.5,61.0,60.4,61.0,4384000,MWG
2024-07-29,61.4,62.4,61.1,62.0,5340200,MWG
2024-07-30,62.0,63.2,61.9,63.0,5470300,MWG
2024-07-31,63.9,64.5,63.5,63.8,10333100,MWG
2024-08-01,63.8,63.8,61.5,62.1,10605900,MWG
2024-08-02,61.0,62.9,60.7,62.9,7605200,MWG
2024-08-05,61.5,62.3,60.3,61.6,11577700,MWG
2024-08-06,61.8,62.3,60.6,62.3,6419700,MWG
2024-08-07,62.3,62.5,61.5,62.3,4794900,MWG
2024-08-08,62.0,62.9,61.9,62.4,5791600,MWG
2024-08-09,62.7,65.8,62.5,65.6,17518100,MWG
2024-08-12,65.9,66.8,65.6,66.6,11011200,MWG
2024-08-13,66.8,67.2,65.5,66.7,9391000,MWG
2024-08-14,66.8,67.0,65.8,66.6,6293000,MWG
2024-08-15,66.3,66.4,65.3,65.9,7146900,MWG
2024-08-16,66.0,69.5,65.9,69.0,18518500,MWG
2024-08-19,69.0,69.7,68.6,69.0,6418900,MWG
2024-08-20,69.0,69.5,68.3,69.5,8137200,MWG
2024-08-21,69.4,70.2,68.9,69.8,8947700,MWG
2024-08-22,69.7,70.2,69.1,70.0,5281400,MWG
2024-08-23,70.0,70.2,69.3,70.0,4425700,MWG
2024-08-26,70.0,70.8,69.6,69.8,5961000,MWG
2024-08-27,69.4,69.8,67.8,69.8,14475100,MWG
2024-08-28,69.7,69.7,68.7,69.4,6602000,MWG
2024-08-29,68.9,69.4,68.6,69.1,4226000,MWG
2024-08-30,69.1,69.8,68.7,69.8,5295100,MWG
2024-09-04,68.7,69.7,68.2,69.1,4462400,MWG
2024-09-05,68.8,68.9,67.6,67.9,8478300,MWG
2024-09-06,67.6,68.0,66.8,68.0,8345500,MWG
2024-09-09,67.7,68.0,67.2,67.5,3677000,MWG
2024-09-10,67.5,68.7,67.5,67.8,6456200,MWG
2024-09-11,67.8,67.9,67.1,67.8,6804000,MWG
2024-09-12,68.0,68.0,67.2,67.5,3872500,MWG
2024-09-13,67.2,67.5,66.5,67.2,7126500,MWG
2024-09-16,66.9,67.0,66.0,66.1,5295500,MWG
2024-09-17,66.2,66.8,65.5,66.8,8761200,MWG
2024-09-18,66.9,68.6,66.8,68.2,10676700,MWG
2024-09-19,68.5,68.5,67.7,68.2,5280600,MWG
2024-09-20,68.6,68.7,68.0,68.0,5016600,MWG
2024-09-23,68.0,68.0,66.8,67.3,5047700,MWG
2024-09-24,67.5,68.8,67.5,68.1,6640500,MWG
2024-09-25,68.5,68.7,68.0,68.7,5446300,MWG
2024-09-26,68.8,69.5,68.3,68.3,7182600,MWG
2024-09-27,68.6,68.6,66.8,67.5,13131500,MWG
2024-09-30,67.5,68.1,66.9,68.1,5927100,MWG
2024-10-01,68.3,68.7,67.8,67.8,9995700,MWG
