date,open,high,low,close,volume,ticker
2015-01-05,16.1,16.5,16.0,16.4,363070,PDR
2015-01-06,16.3,16.8,16.0,16.8,283950,PDR
2015-01-07,16.7,17.0,16.4,16.9,629590,PDR
2015-01-08,16.9,17.0,16.8,16.8,183530,PDR
2015-01-09,16.9,17.0,16.8,16.8,214810,PDR
2015-01-12,16.8,17.0,16.7,16.9,220120,PDR
2015-01-13,16.8,17.0,16.6,16.8,340600,PDR
2015-01-14,16.8,17.1,16.8,17.0,198110,PDR
2015-01-15,16.9,17.2,16.8,17.1,277200,PDR
2015-01-16,17.1,17.2,16.8,17.1,192440,PDR
2015-01-19,17.1,17.2,16.8,17.1,284260,PDR
2015-01-20,17.1,17.2,16.8,17.2,399670,PDR
2015-01-21,17.2,17.3,16.8,17.1,370310,PDR
2015-01-22,17.0,17.4,16.8,17.3,357940,PDR
2015-01-23,17.3,17.4,16.9,17.3,292170,PDR
2015-01-26,17.2,17.3,16.9,17.1,184980,PDR
2015-01-27,17.1,17.3,16.9,17.1,152170,PDR
2015-01-28,17.1,17.2,16.9,17.1,176860,PDR
2015-01-29,17.1,17.2,16.9,17.1,190150,PDR
2015-01-30,17.1,17.1,16.8,17.0,160540,PDR
2015-02-02,17.0,17.1,16.8,17.0,147500,PDR
2015-02-03,17.0,17.0,16.7,16.7,195250,PDR
2015-02-04,16.7,16.7,16.5,16.7,124970,PDR
2015-02-05,16.7,16.7,16.4,16.7,258440,PDR
2015-02-06,16.7,16.8,16.3,16.7,359850,PDR
2015-02-09,16.7,16.7,16.5,16.6,122600,PDR
2015-02-10,16.7,16.9,16.5,16.7,262780,PDR
2015-02-11,16.7,16.8,16.6,16.7,168580,PDR
2015-02-12,16.7,16.9,16.7,16.9,143740,PDR
2015-02-13,16.8,17.2,16.6,17.2,298620,PDR
2015-02-24,17.3,17.3,17.0,17.3,217200,PDR
2015-02-25,17.2,17.4,17.0,17.2,189770,PDR
2015-02-26,17.2,17.3,17.1,17.2,161180,PDR
2015-02-27,17.2,17.2,17.0,17.2,117960,PDR
2015-03-02,17.2,17.2,17.0,17.1,104570,PDR
2015-03-03,17.2,17.2,17.0,17.2,177530,PDR
2015-03-04,17.2,17.2,17.0,17.1,103220,PDR
2015-03-05,17.1,18.0,17.0,18.0,578720,PDR
2015-03-06,18.2,18.7,18.1,18.5,585870,PDR
2015-03-09,18.5,18.6,18.1,18.3,260760,PDR
2015-03-10,18.0,18.0,17.2,17.7,303560,PDR
2015-03-11,17.8,17.8,17.6,17.8,240920,PDR
2015-03-12,18.0,18.1,17.7,17.9,228470,PDR
2015-03-13,17.9,18.2,17.8,17.9,222780,PDR
2015-03-16,18.1,18.3,17.8,18.0,182700,PDR
2015-03-17,18.0,18.1,17.7,17.8,252520,PDR
2015-03-18,17.8,17.9,17.6,17.8,242510,PDR
2015-03-19,17.8,17.9,17.5,17.7,215450,PDR
2015-03-20,17.8,17.7,17.4,17.6,121690,PDR
2015-03-23,17.7,17.6,17.4,17.4,154020,PDR
2015-03-24,17.4,17.6,17.3,17.6,178450,PDR
2015-03-25,17.6,17.6,17.4,17.6,153130,PDR
2015-03-26,17.6,18.0,17.5,17.6,134940,PDR
2015-03-27,17.6,17.8,17.6,17.6,87010,PDR
2015-03-30,17.6,18.0,17.5,17.8,287020,PDR
2015-03-31,17.6,17.9,17.6,17.8,315100,PDR
2015-04-01,17.8,18.0,17.5,17.6,221700,PDR
2015-04-02,17.6,17.7,17.5,17.6,101900,PDR
2015-04-03,17.7,17.7,17.5,17.6,100630,PDR
2015-04-06,17.6,17.7,17.4,17.6,102510,PDR
2015-04-07,17.6,17.7,17.5,17.6,130090,PDR
2015-04-08,17.6,17.7,17.4,17.6,128800,PDR
2015-04-09,17.6,17.6,17.4,17.5,235960,PDR
2015-04-10,17.6,17.7,17.4,17.5,140540,PDR
2015-04-13,17.6,17.7,17.5,17.5,131800,PDR
2015-04-14,17.5,17.5,17.3,17.4,152730,PDR
2015-04-15,17.4,17.7,17.4,17.7,349010,PDR
2015-04-16,17.7,17.7,17.5,17.6,255480,PDR
2015-04-17,17.6,17.7,17.4,17.6,194850,PDR
2015-04-20,17.6,17.7,17.4,17.6,125610,PDR
2015-04-21,17.6,18.4,17.5,18.1,801540,PDR
2015-04-22,18.1,18.3,18.1,18.2,258150,PDR
2015-04-23,18.2,18.2,17.9,18.2,133810,PDR
2015-04-24,18.1,18.1,17.8,17.8,342300,PDR
2015-04-27,17.7,17.9,17.5,17.8,732460,PDR
2015-05-04,17.7,17.8,17.5,17.6,1016810,PDR
2015-05-05,17.6,17.8,17.4,17.8,348210,PDR
2015-05-06,17.7,17.8,17.5,17.7,643220,PDR
2015-05-07,17.6,17.7,17.6,17.6,373920,PDR
2015-05-08,17.5,17.8,17.5,17.7,804570,PDR
2015-05-11,17.8,17.8,17.6,17.7,370320,PDR
2015-05-12,17.6,17.7,17.5,17.6,379000,PDR
2015-05-13,17.6,17.7,17.5,17.7,585410,PDR
2015-05-14,17.6,17.9,17.5,17.8,567000,PDR
2015-05-15,17.7,18.8,17.7,18.6,2929340,PDR
2015-05-18,18.6,18.6,18.4,18.5,490740,PDR
2015-05-19,18.5,19.2,18.5,19.1,2207340,PDR
2015-05-20,19.1,19.5,18.8,18.8,1082220,PDR
2015-05-21,18.8,18.9,18.7,18.9,324080,PDR
2015-05-22,18.8,19.1,18.5,18.6,1336850,PDR
2015-05-25,18.7,18.7,18.1,18.1,1029210,PDR
2015-05-26,18.1,18.6,18.0,18.2,3076450,PDR
2015-05-27,18.1,18.3,18.0,18.2,1065320,PDR
2015-05-28,18.3,18.5,18.1,18.2,1384780,PDR
2015-05-29,18.1,18.3,18.1,18.1,813350,PDR
2015-06-01,18.2,18.4,18.2,18.2,756320,PDR
2015-06-02,18.1,18.5,18.1,18.4,944120,PDR
2015-06-03,18.4,18.7,18.2,18.6,748300,PDR
2015-06-04,18.6,19.9,18.5,19.9,3613900,PDR
2015-06-05,19.9,20.3,19.5,20.2,4494530,PDR
2015-06-08,20.1,20.6,19.8,20.4,2645260,PDR
2015-06-09,20.2,20.4,19.5,19.7,2223170,PDR
2015-06-10,19.6,19.6,19.4,19.6,495720,PDR
2015-06-11,19.6,19.8,19.5,19.5,770180,PDR
2015-06-12,19.5,19.8,19.5,19.6,731550,PDR
2015-06-15,19.6,19.7,19.5,19.5,523260,PDR
2015-06-16,19.6,20.1,19.5,19.9,2622050,PDR
2015-06-17,19.9,19.9,19.3,19.5,1059890,PDR
2015-06-18,19.5,19.7,19.5,19.5,522590,PDR
2015-06-19,19.9,20.0,19.6,19.7,1133820,PDR
2015-06-22,19.7,19.8,19.6,19.6,729210,PDR
2015-06-23,19.6,19.7,19.3,19.5,686390,PDR
2015-06-24,19.5,19.7,19.3,19.3,458510,PDR
2015-06-25,19.3,19.5,19.2,19.3,697020,PDR
2015-06-26,19.3,19.5,19.2,19.2,962290,PDR
2015-06-29,19.3,19.4,19.1,19.1,642350,PDR
2015-06-30,19.2,19.3,19.0,19.0,1094940,PDR
