date,open,high,low,close,volume,ticker
2024-01-02,34.6,34.65,34.5,34.55,634300,PLX
2024-01-03,34.55,34.9,34.4,34.9,807400,PLX
2024-01-04,34.9,35.3,34.9,35.1,1704200,PLX
2024-01-05,35.25,35.4,35.1,35.2,1407800,PLX
2024-01-08,35.2,35.55,35.0,35.3,1403800,PLX
2024-01-09,35.4,35.4,34.65,34.65,498200,PLX
2024-01-10,34.8,34.95,34.6,34.85,604900,PLX
2024-01-11,34.85,35.45,34.85,35.45,1122800,PLX
2024-01-12,35.5,35.55,34.75,34.95,1008700,PLX
2024-01-15,35.0,35.2,34.65,34.65,321600,PLX
2024-01-16,34.6,34.8,34.6,34.75,311400,PLX
2024-01-17,34.95,35.2,34.55,34.55,545400,PLX
2024-01-18,34.8,34.8,34.45,34.5,338800,PLX
2024-01-19,34.9,34.95,34.7,34.85,588500,PLX
2024-01-22,34.9,34.95,34.7,34.75,314000,PLX
2024-01-23,34.75,35.0,34.7,34.85,351200,PLX
2024-01-24,34.85,34.95,34.6,34.65,348700,PLX
2024-01-25,34.75,34.8,34.5,34.5,275000,PLX
2024-01-26,34.6,34.8,34.5,34.5,280500,PLX
2024-01-29,34.5,34.8,34.5,34.7,384100,PLX
2024-01-30,34.7,34.9,34.65,34.75,323700,PLX
2024-01-31,34.75,34.8,34.55,34.6,540500,PLX
2024-02-01,34.5,34.75,34.5,34.6,394100,PLX
2024-02-02,34.8,34.8,34.55,34.6,506700,PLX
2024-02-05,34.6,34.8,34.5,34.55,589100,PLX
2024-02-06,34.6,34.7,34.55,34.7,358600,PLX
2024-02-07,34.7,35.0,34.6,34.75,523300,PLX
2024-02-15,34.9,35.5,34.9,35.3,736600,PLX
2024-02-16,35.3,35.35,35.0,35.3,516800,PLX
2024-02-19,35.35,36.6,35.35,36.25,1886200,PLX
2024-02-20,36.5,36.5,36.0,36.1,952300,PLX
2024-02-21,36.0,36.15,35.65,35.75,889800,PLX
2024-02-22,35.7,36.3,35.65,35.85,1340300,PLX
2024-02-23,35.85,35.9,35.1,35.1,1447400,PLX
2024-02-26,34.95,35.25,34.9,35.2,444000,PLX
2024-02-27,35.3,36.5,35.3,35.65,1008500,PLX
2024-02-28,35.9,37.0,35.9,36.2,2210300,PLX
2024-02-29,36.3,36.4,35.7,35.85,838500,PLX
2024-03-01,36.0,36.1,35.7,35.9,717600,PLX
2024-03-04,36.45,36.45,35.95,35.95,932700,PLX
2024-03-05,35.95,36.0,35.65,35.95,708000,PLX
2024-03-06,36.2,36.9,36.05,36.3,1528900,PLX
2024-03-07,36.5,37.5,36.3,37.5,2773600,PLX
2024-03-08,37.5,37.9,36.7,36.8,1454800,PLX
2024-03-11,36.7,36.75,35.9,35.95,1223900,PLX
2024-03-12,35.95,36.55,35.95,36.35,880100,PLX
2024-03-13,36.8,37.1,36.5,37.1,1172600,PLX
2024-03-14,37.25,37.95,37.05,37.35,2856400,PLX
2024-03-15,37.5,37.8,37.25,37.65,1564900,PLX
2024-03-18,37.65,37.8,35.95,36.5,2848400,PLX
2024-03-19,36.6,37.7,36.35,37.45,1381800,PLX
2024-03-20,37.7,37.8,37.0,37.45,1271600,PLX
2024-03-21,37.5,38.7,37.15,38.45,3062200,PLX
2024-03-22,38.5,38.55,37.8,38.0,1528100,PLX
2024-03-25,38.1,38.4,37.2,37.4,1720600,PLX
2024-03-26,37.4,38.0,37.1,38.0,928900,PLX
2024-03-27,38.05,38.5,37.6,38.0,1294100,PLX
2024-03-28,37.9,38.15,37.45,37.55,1265700,PLX
2024-03-29,37.7,37.8,37.2,37.3,1118900,PLX
2024-04-01,37.25,37.8,37.15,37.45,682100,PLX
2024-04-02,37.45,37.95,37.0,37.9,1467500,PLX
2024-04-03,38.0,38.1,37.5,37.6,981900,PLX
2024-04-04,37.6,37.6,37.05,37.15,962700,PLX
2024-04-05,37.0,38.05,37.0,37.15,1295500,PLX
2024-04-08,37.25,37.45,37.05,37.05,540400,PLX
2024-04-09,37.05,37.35,36.85,37.15,437400,PLX
2024-04-10,37.3,37.3,36.55,36.6,863300,PLX
2024-04-11,36.5,36.5,36.1,36.3,826600,PLX
2024-04-12,36.5,36.95,36.35,36.85,445900,PLX
2024-04-15,36.9,37.2,34.8,36.0,927300,PLX
2024-04-16,36.0,36.3,35.15,35.95,786100,PLX
2024-04-17,36.0,36.0,35.2,35.3,448800,PLX
2024-04-19,35.05,35.3,34.55,34.65,518500,PLX
2024-04-22,35.0,35.2,34.55,34.65,411300,PLX
2024-04-23,34.8,35.3,34.55,35.0,420900,PLX
2024-04-24,35.05,35.3,34.95,35.25,742400,PLX
2024-04-25,35.25,35.25,34.9,35.1,219500,PLX
2024-04-26,35.1,35.7,35.0,35.7,422300,PLX
2024-05-02,35.7,36.05,35.25,35.8,420900,PLX
2024-05-03,36.1,36.2,35.85,36.0,518700,PLX
2024-05-06,36.8,36.8,36.4,36.7,550800,PLX
2024-05-07,36.85,38.85,36.8,38.7,3665900,PLX
2024-05-08,38.7,40.4,38.1,40.0,2984800,PLX
2024-05-09,40.0,40.6,39.25,40.2,2131200,PLX
2024-05-10,40.2,40.7,39.7,40.1,1932400,PLX
2024-05-13,40.5,40.5,39.8,39.85,1603700,PLX
2024-05-14,38.6,38.7,37.3,37.5,1949200,PLX
2024-05-15,37.5,38.6,37.5,38.2,1256100,PLX
2024-05-16,38.55,38.85,38.1,38.2,1778200,PLX
2024-05-17,38.25,38.25,37.4,37.95,2725400,PLX
2024-05-20,38.0,38.55,38.0,38.0,1630300,PLX
2024-05-21,37.7,37.95,37.0,37.5,2551900,PLX
2024-05-22,37.6,38.2,37.4,37.7,1576100,PLX
2024-05-23,37.8,40.3,37.6,40.3,5334400,PLX
2024-05-24,41.2,42.4,40.25,41.0,5370300,PLX
2024-05-27,41.2,41.85,40.5,41.3,3453400,PLX
2024-05-28,41.8,41.9,41.1,41.55,3261100,PLX
2024-05-29,41.8,42.8,41.25,41.5,4835600,PLX
2024-05-30,41.0,41.45,40.35,41.35,3177800,PLX
2024-05-31,41.3,41.3,40.8,41.0,1185700,PLX
2024-06-03,41.2,42.4,41.2,41.5,2570600,PLX
2024-06-04,41.5,42.15,41.35,41.7,2201000,PLX
2024-06-05,41.7,42.5,41.5,41.85,2444700,PLX
2024-06-06,41.75,42.35,40.8,41.9,2091400,PLX
2024-06-07,42.0,42.1,41.25,41.5,1543700,PLX
2024-06-10,41.55,42.2,41.5,41.95,1542900,PLX
2024-06-11,42.1,43.4,42.1,43.2,3782500,PLX
2024-06-12,43.2,43.3,42.5,43.1,1529800,PLX
2024-06-13,43.3,43.3,42.15,42.2,2330400,PLX
2024-06-14,42.2,42.55,40.5,40.5,3495700,PLX
2024-06-17,40.6,40.8,39.9,39.9,2124600,PLX
2024-06-18,40.8,41.3,40.3,41.0,1477100,PLX
2024-06-19,41.05,41.5,40.55,41.5,1026500,PLX
2024-06-20,41.9,42.1,40.6,41.3,1285200,PLX
2024-06-21,41.5,42.65,40.8,42.3,1971100,PLX
2024-06-24,42.6,42.8,40.75,40.75,2505400,PLX
2024-06-25,40.75,41.4,40.7,41.0,854000,PLX
2024-06-26,41.0,42.45,40.75,42.4,2056300,PLX
2024-06-27,42.5,42.5,41.3,41.3,1067600,PLX
2024-06-28,41.4,41.8,40.6,40.9,1455800,PLX
2024-07-01,41.05,41.4,40.25,40.8,682200,PLX
2024-07-02,41.35,41.35,40.8,41.35,660500,PLX
2024-07-03,41.6,42.2,41.2,41.85,1461400,PLX
2024-07-04,41.9,44.3,41.8,43.9,6016400,PLX
2024-07-05,43.9,44.4,43.8,43.95,2475000,PLX
2024-07-08,44.0,46.6,44.0,46.5,5313900,PLX
2024-07-09,46.6,46.6,45.8,46.0,1997900,PLX
2024-07-10,46.4,47.05,46.0,46.55,2762700,PLX
2024-07-11,46.65,46.9,46.1,46.8,2440800,PLX
2024-07-12,46.9,47.2,46.1,46.3,1817400,PLX
2024-07-15,46.7,48.0,46.55,48.0,2714500,PLX
2024-07-16,48.4,48.4,47.1,47.1,2055700,PLX
2024-07-17,47.1,47.1,43.85,45.0,3843300,PLX
2024-07-18,45.4,47.5,45.0,47.5,2699500,PLX
2024-07-19,47.5,47.8,46.1,46.9,2054700,PLX
2024-07-22,46.8,46.8,45.45,46.35,2144800,PLX
2024-07-23,46.4,47.2,45.2,45.5,2257300,PLX
2024-07-24,45.05,46.5,44.1,46.5,3363700,PLX
2024-07-25,46.0,46.7,45.45,46.35,1152000,PLX
2024-07-26,46.35,48.15,46.35,47.8,3342100,PLX
2024-07-29,48.7,48.7,47.3,47.8,1352000,PLX
2024-07-30,47.5,48.3,46.55,47.1,1699000,PLX
