date,open,high,low,close,volume,ticker
2016-12-06,132.0,132.0,132.0,132.0,3010,SAB
2016-12-07,141.2,141.2,141.2,141.2,30,SAB
2016-12-08,151.0,151.0,151.0,151.0,1000,SAB
2016-12-09,151.0,161.5,151.0,161.5,3010,SAB
2016-12-12,172.8,172.8,172.8,172.8,35690,SAB
2016-12-13,184.8,184.8,184.8,184.8,96830,SAB
2016-12-14,197.7,197.7,197.7,197.7,154380,SAB
2016-12-15,211.5,211.5,210.0,211.5,380050,SAB
2016-12-16,226.3,226.3,200.0,225.0,387520,SAB
2016-12-19,212.0,225.0,212.0,212.0,168190,SAB
2016-12-20,211.0,211.5,197.2,197.2,399710,SAB
2016-12-21,197.2,203.5,185.0,200.8,241750,SAB
2016-12-22,209.9,209.9,203.0,203.0,52460,SAB
2016-12-23,203.0,203.0,197.1,200.0,54810,SAB
2016-12-26,198.0,198.0,190.0,197.0,169870,SAB
2016-12-27,197.0,199.8,193.1,198.0,69880,SAB
2016-12-28,199.8,199.8,197.1,198.9,28530,SAB
2016-12-29,198.0,198.0,193.0,197.0,98560,SAB
2016-12-30,198.0,198.0,195.5,197.7,96740,SAB
2017-01-03,197.0,197.7,195.9,197.0,63170,SAB
2017-01-04,197.0,198.6,195.0,197.0,87490,SAB
2017-01-05,197.0,198.0,196.0,197.1,27170,SAB
2017-01-06,197.9,209.9,197.2,206.0,212390,SAB
2017-01-09,206.0,208.0,205.0,205.0,31390,SAB
2017-01-10,206.9,206.9,201.5,204.5,44540,SAB
2017-01-11,204.0,210.0,202.0,210.0,228480,SAB
2017-01-12,213.0,213.0,210.0,210.6,55290,SAB
2017-01-13,210.7,212.2,210.6,211.8,37670,SAB
2017-01-16,211.0,211.0,208.0,209.0,33890,SAB
2017-01-17,208.5,217.4,208.1,216.5,113760,SAB
2017-01-18,215.3,225.0,215.3,223.8,103480,SAB
2017-01-19,225.0,225.0,220.0,223.8,40040,SAB
2017-01-20,223.0,225.1,223.0,223.8,77940,SAB
2017-01-23,223.8,223.8,220.5,222.0,44360,SAB
2017-01-24,220.0,224.0,220.0,222.0,137100,SAB
2017-01-25,222.0,223.8,220.0,223.8,18800,SAB
2017-02-02,223.9,223.9,219.0,219.0,18560,SAB
2017-02-03,217.4,222.9,216.4,217.0,51700,SAB
2017-02-06,219.5,219.5,211.5,215.0,50070,SAB
2017-02-07,215.0,220.0,213.0,216.0,76580,SAB
2017-02-08,216.0,217.0,215.0,215.3,36350,SAB
2017-02-09,215.3,215.3,208.0,211.0,150070,SAB
2017-02-10,211.0,214.0,211.0,213.2,35880,SAB
2017-02-13,213.2,214.7,210.0,213.4,25240,SAB
2017-02-14,213.4,216.9,213.1,216.0,72220,SAB
2017-02-15,216.0,216.0,212.8,213.9,84300,SAB
2017-02-16,214.0,216.0,214.0,215.4,44230,SAB
2017-02-17,215.0,215.0,214.0,214.7,34430,SAB
2017-02-20,213.3,218.0,213.2,218.0,103930,SAB
2017-02-21,217.6,220.0,217.6,219.6,34930,SAB
2017-02-22,219.5,224.5,219.5,224.3,100360,SAB
2017-02-23,224.9,227.0,224.0,227.0,130020,SAB
2017-02-24,228.0,230.0,226.0,227.0,107840,SAB
2017-02-27,225.1,227.9,224.0,225.1,61270,SAB
2017-02-28,225.5,226.2,225.1,225.1,50720,SAB
2017-03-01,226.0,226.0,225.0,225.9,69440,SAB
2017-03-02,227.0,227.0,219.2,224.9,30250,SAB
2017-03-03,223.0,225.4,221.0,225.4,20670,SAB
2017-03-06,225.0,225.5,222.0,224.5,32990,SAB
2017-03-07,224.9,225.0,222.6,222.6,35720,SAB
2017-03-08,222.6,222.6,218.4,218.9,14120,SAB
2017-03-09,216.1,221.0,212.0,216.0,56450,SAB
2017-03-10,211.0,216.0,211.0,211.0,17550,SAB
2017-03-13,211.0,211.0,206.4,207.0,30560,SAB
2017-03-14,207.0,217.0,203.2,214.0,54260,SAB
2017-03-15,214.0,215.0,211.0,211.6,13250,SAB
2017-03-16,211.6,214.0,205.5,212.9,7450,SAB
2017-03-17,212.9,212.9,208.0,208.0,14250,SAB
2017-03-20,208.0,209.9,208.0,209.0,7670,SAB
2017-03-21,209.0,209.0,204.8,205.2,61100,SAB
2017-03-22,205.2,205.9,200.5,203.0,42630,SAB
2017-03-23,202.3,204.8,200.5,202.0,20840,SAB
2017-03-24,202.0,202.1,199.1,200.0,101770,SAB
2017-03-27,200.0,200.5,199.0,200.0,25830,SAB
2017-03-28,201.0,202.0,199.0,199.0,55080,SAB
2017-03-29,198.1,205.0,198.0,200.0,35850,SAB
2017-03-30,200.0,202.0,200.0,202.0,11700,SAB
2017-03-31,202.0,202.0,200.0,200.0,10830,SAB
2017-04-03,200.0,201.9,200.0,200.4,20480,SAB
2017-04-04,199.4,200.4,199.4,200.4,11070,SAB
2017-04-05,202.5,203.0,200.6,203.0,24480,SAB
2017-04-07,203.0,205.0,202.0,205.0,22080,SAB
2017-04-10,204.0,209.0,203.9,209.0,41220,SAB
2017-04-11,209.0,209.5,207.0,207.5,47920,SAB
2017-04-12,207.0,207.5,203.0,203.0,7830,SAB
2017-04-13,202.0,206.0,202.0,205.0,17760,SAB
2017-04-14,206.9,206.9,202.5,204.0,24610,SAB
2017-04-17,205.0,207.0,204.0,207.0,60990,SAB
2017-04-18,206.0,206.0,203.5,205.0,49600,SAB
2017-04-19,205.0,205.0,200.5,201.5,9950,SAB
2017-04-20,201.5,201.5,200.0,200.0,23910,SAB
2017-04-21,200.0,201.0,198.0,201.0,28730,SAB
2017-04-24,201.0,201.5,200.0,200.0,54940,SAB
2017-04-25,199.0,200.0,199.0,199.0,12720,SAB
2017-04-26,199.5,200.5,199.0,200.5,15380,SAB
2017-04-27,200.5,201.0,199.9,199.9,66200,SAB
2017-04-28,199.9,200.0,198.0,199.9,7590,SAB
2017-05-03,199.9,199.9,199.0,199.9,5880,SAB
2017-05-04,199.9,199.9,198.3,199.0,39290,SAB
2017-05-05,198.8,199.4,198.8,199.3,1140,SAB
2017-05-08,199.5,199.5,199.0,199.0,38090,SAB
2017-05-09,199.0,199.0,196.7,196.7,15040,SAB
2017-05-10,196.5,199.0,196.5,196.8,7830,SAB
2017-05-11,196.8,198.3,195.9,195.9,18710,SAB
2017-05-12,196.0,197.9,196.0,196.5,7380,SAB
2017-05-15,196.5,196.5,194.0,194.0,23710,SAB
2017-05-16,194.0,194.0,191.1,191.1,8650,SAB
2017-05-17,188.0,195.0,188.0,188.7,21820,SAB
2017-05-18,188.8,190.0,188.8,189.9,8860,SAB
2017-05-19,190.0,190.0,188.9,190.0,18730,SAB
2017-05-22,190.0,192.0,189.5,190.4,68360,SAB
2017-05-23,195.5,195.7,191.0,194.0,234300,SAB
2017-05-24,194.0,194.0,190.3,191.0,38050,SAB
2017-05-25,190.0,191.0,189.9,191.0,48990,SAB
2017-05-26,193.6,193.6,188.0,189.5,28150,SAB
2017-05-29,189.5,190.5,189.5,190.0,79770,SAB
2017-05-30,191.0,191.1,190.0,191.0,49970,SAB
2017-05-31,190.2,191.1,189.1,189.1,133970,SAB
2017-06-01,189.2,191.2,189.2,190.0,19790,SAB
2017-06-02,190.0,191.0,189.0,191.0,11640,SAB
2017-06-05,190.2,191.0,190.0,191.0,21070,SAB
2017-06-06,191.0,191.3,189.3,191.3,40210,SAB
2017-06-07,191.3,191.9,190.0,191.9,32930,SAB
2017-06-08,191.5,191.5,190.5,191.0,1840,SAB
2017-06-09,189.2,192.0,189.2,191.0,7830,SAB
2017-06-12,191.0,193.9,190.0,193.9,55930,SAB
2017-06-13,194.9,194.9,192.5,194.9,19500,SAB
2017-06-14,195.0,202.0,194.9,200.0,140190,SAB
2017-06-15,202.0,202.0,200.0,200.0,13680,SAB
2017-06-16,200.0,203.0,200.0,200.3,13430,SAB
2017-06-19,201.0,201.0,200.0,201.0,47210,SAB
2017-06-20,201.0,203.0,187.9,203.0,48670,SAB
2017-06-21,203.0,204.9,202.0,204.9,19620,SAB
2017-06-22,204.9,205.8,203.1,205.0,5890,SAB
2017-06-23,204.8,206.9,204.3,206.9,36240,SAB
2017-06-26,207.0,207.5,206.0,207.4,13630,SAB
2017-06-27,207.4,208.0,206.5,207.4,16400,SAB
2017-06-28,207.4,207.4,201.2,206.8,8280,SAB
2017-06-29,206.8,207.5,202.1,206.5,66380,SAB
2017-06-30,206.5,209.0,206.5,208.3,81400,SAB
2017-07-03,210.0,210.5,204.0,210.0,50930,SAB
2017-07-04,205.0,210.9,205.0,210.9,44930,SAB
2017-07-05,209.0,210.0,209.0,210.0,8580,SAB
2017-07-06,210.0,210.0,207.6,210.0,5360,SAB
2017-07-07,210.0,210.1,208.6,210.0,11440,SAB
2017-07-10,210.0,210.4,209.0,210.0,65040,SAB
2017-07-11,210.0,210.9,209.5,210.5,85430,SAB
2017-07-12,211.1,211.5,210.0,210.2,9580,SAB
2017-07-13,210.0,210.5,208.5,210.5,44270,SAB
2017-07-14,211.5,211.8,211.0,211.5,50680,SAB
2017-07-17,212.0,222.0,212.0,219.5,44950,SAB
2017-07-18,223.0,228.0,221.0,226.0,87890,SAB
2017-07-19,227.9,236.0,227.0,232.1,171600,SAB
2017-07-20,232.1,235.0,226.0,234.0,93230,SAB
2017-07-21,234.0,237.5,232.0,235.5,117590,SAB
2017-07-24,235.5,236.4,224.0,235.5,111440,SAB
2017-07-25,235.0,236.0,232.8,235.5,19390,SAB
2017-07-26,236.0,236.0,219.4,235.2,28870,SAB
2017-07-27,230.0,235.4,230.0,235.2,25440,SAB
2017-07-28,235.0,235.5,231.1,235.5,15600,SAB
2017-07-31,232.0,236.9,232.0,236.9,95520,SAB
2017-08-01,240.0,244.9,238.0,244.9,69450,SAB
2017-08-02,244.9,245.5,240.5,245.4,14340,SAB
2017-08-03,245.0,245.8,243.1,245.0,5910,SAB
2017-08-04,245.8,245.8,240.5,245.8,15550,SAB
2017-08-07,245.0,263.0,245.0,249.1,33620,SAB
2017-08-08,258.5,258.5,249.1,253.0,41220,SAB
2017-08-09,252.0,259.5,242.0,242.0,61800,SAB
