date,open,high,low,close,volume,ticker
2024-01-02,23.9,24.1,23.2,23.95,1282800,SSB
2024-01-03,23.95,23.95,23.3,23.3,1270700,SSB
2024-01-04,23.35,23.9,23.05,23.55,1177800,SSB
2024-01-05,23.55,23.9,23.4,23.6,1134200,SSB
2024-01-08,23.6,23.7,23.3,23.3,1050300,SSB
2024-01-09,23.15,23.5,23.15,23.45,1080500,SSB
2024-01-10,23.45,23.5,23.15,23.4,1268400,SSB
2024-01-11,23.4,23.9,23.2,23.6,1367300,SSB
2024-01-12,23.6,23.6,23.25,23.45,1200600,SSB
2024-01-15,23.45,23.45,23.25,23.3,1185300,SSB
2024-01-16,23.05,23.35,22.8,22.95,1124000,SSB
2024-01-17,22.9,23.15,22.85,23.05,1633400,SSB
2024-01-18,23.1,23.15,22.9,23.05,1982700,SSB
2024-01-19,23.05,23.15,22.95,23.1,1856600,SSB
2024-01-22,23.15,23.3,23.05,23.25,1726300,SSB
2024-01-23,23.25,23.3,22.9,23.1,1378700,SSB
2024-01-24,23.05,23.25,22.8,23.1,1390500,SSB
2024-01-25,23.15,23.15,22.85,23.1,1371000,SSB
2024-01-26,22.9,23.1,22.9,23.1,1452500,SSB
2024-01-29,23.05,23.1,22.9,23.0,1345200,SSB
2024-01-30,22.9,23.0,22.8,23.0,1383600,SSB
2024-01-31,23.0,23.1,22.4,22.9,1616400,SSB
2024-02-01,22.7,22.9,22.5,22.75,1354700,SSB
2024-02-02,22.7,22.8,22.2,22.75,2019900,SSB
2024-02-05,22.75,23.05,22.35,23.0,1574100,SSB
2024-02-06,23.0,23.1,22.75,23.0,1345800,SSB
2024-02-07,22.95,23.2,22.7,23.2,1475100,SSB
2024-02-15,23.2,23.3,22.85,23.25,1561000,SSB
2024-02-16,23.3,23.3,23.0,23.25,1300800,SSB
2024-02-19,23.25,23.3,22.85,23.05,1430300,SSB
2024-02-20,23.1,23.1,22.75,23.0,1495500,SSB
2024-02-21,22.85,23.05,22.6,22.95,1681000,SSB
2024-02-22,22.95,23.0,22.65,23.0,1391100,SSB
2024-02-23,23.0,23.2,22.8,23.0,1501700,SSB
2024-02-26,22.8,23.0,22.7,22.9,1290200,SSB
2024-02-27,22.9,22.9,22.55,22.9,1765200,SSB
2024-02-28,22.65,22.95,22.6,22.95,1603000,SSB
2024-02-29,22.95,23.0,22.65,22.9,1432900,SSB
2024-03-01,22.7,22.95,22.65,22.95,1385500,SSB
2024-03-04,22.95,23.0,22.7,22.85,1503400,SSB
2024-03-05,22.85,22.85,22.65,22.85,1450000,SSB
2024-03-06,22.7,22.85,22.65,22.85,926800,SSB
2024-03-07,22.75,22.75,22.55,22.75,1442300,SSB
2024-03-08,22.75,22.8,22.45,22.7,1385400,SSB
2024-03-11,22.65,22.7,22.25,22.55,1764200,SSB
2024-03-12,22.6,22.6,22.25,22.55,1474600,SSB
2024-03-13,22.55,22.65,22.3,22.6,1415800,SSB
2024-03-14,22.6,22.65,22.35,22.6,1497900,SSB
2024-03-15,22.6,22.7,22.35,22.6,1549500,SSB
2024-03-18,22.6,22.65,22.25,22.45,1390700,SSB
2024-03-19,22.3,22.45,22.1,22.45,1463000,SSB
2024-03-20,22.3,22.55,22.15,22.55,1570600,SSB
2024-03-21,22.6,22.65,22.3,22.55,1327400,SSB
2024-03-22,22.55,22.6,22.35,22.35,1353300,SSB
2024-03-25,22.2,22.4,22.1,22.1,1428100,SSB
2024-03-26,22.2,22.35,22.0,22.3,1385400,SSB
2024-03-27,22.05,22.35,22.0,22.2,1430400,SSB
2024-03-28,22.05,22.2,21.95,22.2,1341100,SSB
2024-03-29,21.95,22.15,21.95,22.1,1373400,SSB
2024-04-01,22.1,22.15,21.8,22.1,1403100,SSB
2024-04-02,21.8,22.1,21.7,22.05,1350000,SSB
2024-04-03,21.75,22.05,21.6,22.0,2067000,SSB
2024-04-04,22.05,22.1,21.75,22.0,1371800,SSB
2024-04-05,21.75,22.0,21.65,21.95,1408600,SSB
2024-04-08,21.75,21.95,21.6,21.9,1447900,SSB
2024-04-09,21.7,21.9,21.6,21.9,1600200,SSB
2024-04-10,21.9,22.0,21.65,22.0,2010100,SSB
2024-04-11,21.7,22.05,21.7,22.05,2017000,SSB
2024-04-12,22.1,22.6,22.0,22.6,2563000,SSB
2024-04-15,22.55,22.6,22.0,22.35,2154300,SSB
2024-04-16,22.4,22.4,20.8,22.15,2586800,SSB
2024-04-17,22.2,22.6,21.85,22.2,2151900,SSB
2024-04-19,22.2,22.25,21.5,22.1,2113300,SSB
2024-04-22,22.1,22.3,21.75,22.15,2197000,SSB
2024-04-23,21.9,22.15,21.5,22.0,2202200,SSB
2024-04-24,22.0,22.15,21.9,22.1,2019500,SSB
2024-04-25,22.05,22.1,21.6,22.0,2171400,SSB
