date,open,high,low,close,volume,ticker
2024-01-02,33.0,33.2,32.5,32.5,18052300,SSI
2024-01-03,32.35,32.95,32.3,32.95,11408700,SSI
2024-01-04,33.0,34.2,33.0,33.6,58713300,SSI
2024-01-05,33.8,34.15,33.6,34.15,25137200,SSI
2024-01-08,34.45,34.5,34.0,34.1,20729000,SSI
2024-01-09,34.2,34.35,33.9,34.0,18985200,SSI
2024-01-10,33.95,34.05,33.35,33.7,23828800,SSI
2024-01-11,33.75,34.4,33.6,33.9,25471700,SSI
2024-01-12,33.6,34.0,33.35,33.85,25258800,SSI
2024-01-15,34.0,34.1,33.0,33.0,22246200,SSI
2024-01-16,33.0,33.5,32.75,33.5,19315100,SSI
2024-01-17,33.5,34.5,33.45,33.65,26218900,SSI
2024-01-18,33.8,34.05,33.65,33.8,14736700,SSI
2024-01-19,34.0,34.1,33.4,33.7,22389300,SSI
2024-01-22,33.9,34.0,33.4,33.95,16814700,SSI
2024-01-23,34.0,34.1,33.65,33.8,12564800,SSI
2024-01-24,33.75,34.4,33.7,34.0,27351500,SSI
2024-01-25,34.05,34.2,33.85,33.95,10942200,SSI
2024-01-26,34.15,34.35,33.95,34.1,14288200,SSI
2024-01-29,34.2,34.4,33.85,33.95,12259400,SSI
2024-01-30,33.85,34.15,33.8,34.15,11905200,SSI
2024-01-31,34.3,35.15,34.2,34.4,44818700,SSI
2024-02-01,34.45,34.85,34.4,34.65,11153200,SSI
2024-02-02,34.9,35.45,34.8,34.8,23506100,SSI
2024-02-05,34.8,35.15,34.5,34.95,19528500,SSI
2024-02-06,35.15,35.45,34.9,35.0,13195400,SSI
2024-02-07,35.0,35.35,34.9,35.1,15710800,SSI
2024-02-15,35.2,35.5,35.0,35.1,14888800,SSI
2024-02-16,35.35,35.4,34.9,35.0,18037300,SSI
2024-02-19,35.0,35.2,34.4,35.2,32834200,SSI
2024-02-20,35.65,35.8,35.25,35.3,18101700,SSI
2024-02-21,35.3,35.3,34.7,34.95,18553100,SSI
2024-02-22,34.85,34.95,34.55,34.65,14411900,SSI
2024-02-23,34.6,34.9,34.05,34.15,24143200,SSI
2024-02-26,34.1,35.35,34.05,35.1,26875500,SSI
2024-02-27,35.25,36.45,35.1,35.9,47040400,SSI
2024-02-28,36.1,36.25,35.65,36.1,26065500,SSI
2024-02-29,36.4,37.7,36.3,37.0,43188500,SSI
2024-03-01,37.4,37.7,37.0,37.35,21490800,SSI
2024-03-04,37.8,37.85,37.0,37.15,25346200,SSI
2024-03-05,37.15,37.45,36.65,37.4,31386200,SSI
2024-03-06,37.4,37.8,36.7,36.85,20332500,SSI
2024-03-07,37.0,37.95,36.85,37.7,34060200,SSI
2024-03-08,37.9,38.1,36.8,36.8,35882600,SSI
