date,open,high,low,close,volume,ticker
2018-04-19,35.0,35.0,31.8,32.45,7295110,TPB
2018-04-20,32.8,32.8,31.9,32.5,1970610,TPB
2018-04-23,30.8,32.6,30.3,30.8,918490,TPB
2018-04-24,30.3,31.0,28.7,30.8,1084620,TPB
2018-04-26,30.7,30.9,29.5,29.7,618040,TPB
2018-04-27,29.95,30.2,29.35,30.2,783680,TPB
2018-05-02,29.8,30.9,29.7,29.8,468940,TPB
2018-05-03,29.8,29.8,29.0,29.8,407660,TPB
2018-05-04,30.45,30.45,29.5,29.8,267600,TPB
2018-05-07,29.9,30.0,29.2,30.0,269800,TPB
2018-05-08,31.0,31.0,29.8,30.1,556210,TPB
2018-05-09,30.1,30.1,29.6,30.0,368930,TPB
2018-05-10,30.0,30.0,29.0,29.5,184990,TPB
2018-05-11,29.5,29.8,28.6,29.8,725410,TPB
2018-05-14,29.8,29.8,28.8,29.5,252920,TPB
2018-05-15,29.5,29.85,28.8,29.8,468650,TPB
2018-05-16,29.8,29.85,29.2,29.5,525340,TPB
2018-05-17,29.6,29.8,29.3,29.5,385710,TPB
2018-05-18,29.4,29.8,29.15,29.7,465950,TPB
2018-05-21,29.75,29.75,29.45,29.55,339500,TPB
2018-05-22,29.55,29.75,28.6,29.3,414600,TPB
2018-05-23,29.3,29.45,28.9,29.4,506080,TPB
2018-05-24,29.35,29.45,29.1,29.3,366890,TPB
2018-05-25,29.3,29.4,28.95,29.0,307990,TPB
2018-05-28,28.8,28.9,27.1,27.1,197040,TPB
2018-05-29,27.5,28.85,27.5,28.8,590410,TPB
2018-05-30,28.75,28.95,28.4,28.7,171480,TPB
2018-05-31,28.6,28.65,28.0,28.0,287350,TPB
2018-06-01,28.6,28.6,28.0,28.0,100550,TPB
2018-06-04,28.1,29.8,27.95,29.5,387700,TPB
2018-06-05,29.6,29.6,28.9,29.4,459200,TPB
2018-06-06,29.2,29.3,28.8,28.9,847910,TPB
2018-06-07,29.0,29.0,28.7,28.9,675570,TPB
2018-06-08,28.9,29.0,28.5,28.65,1162520,TPB
2018-06-11,28.9,28.9,28.2,28.5,38710,TPB
2018-06-12,28.5,28.5,27.8,28.2,42180,TPB
2018-06-13,28.2,28.3,28.0,28.2,111190,TPB
2018-06-14,28.2,28.2,27.75,28.0,22990,TPB
2018-06-18,27.8,27.8,27.0,27.0,44490,TPB
2018-06-19,26.6,27.4,25.15,27.1,648860,TPB
2018-06-20,27.1,27.5,27.1,27.4,648730,TPB
2018-06-21,27.6,27.9,27.0,27.4,43660,TPB
2018-06-22,27.3,27.5,27.3,27.5,115320,TPB
2018-06-25,27.55,28.0,27.5,27.8,204990,TPB
2018-06-26,26.2,27.9,26.2,27.8,101440,TPB
