date,open,high,low,close,volume,ticker
2015-01-05,31.7,32.1,31.4,31.9,310010,VCB
2015-01-06,31.9,34.0,31.9,34.0,1684600,VCB
2015-01-07,34.1,34.6,33.1,33.6,1430340,VCB
2015-01-08,33.7,35.0,33.6,34.6,904240,VCB
2015-01-09,34.9,37.0,34.9,36.9,2286680,VCB
2015-01-12,37.0,37.8,36.7,37.2,3059730,VCB
2015-01-13,37.0,37.3,36.5,37.0,1496280,VCB
2015-01-14,36.8,38.1,36.8,37.4,2338820,VCB
2015-01-15,37.2,37.8,36.8,36.8,1083780,VCB
2015-01-16,36.8,36.8,36.1,36.3,678030,VCB
2015-01-19,36.4,37.2,35.4,35.4,922600,VCB
2015-01-20,35.4,36.1,35.3,36.0,802390,VCB
2015-01-21,36.0,36.0,35.4,35.4,536600,VCB
2015-01-22,35.4,36.9,34.9,36.2,1904310,VCB
2015-01-23,36.5,38.0,36.3,37.1,1369330,VCB
2015-01-26,37.1,37.5,36.6,36.6,498570,VCB
2015-01-27,36.5,36.8,35.5,36.3,1039610,VCB
2015-01-28,36.3,37.6,36.0,37.4,1341830,VCB
2015-01-29,37.4,37.4,36.8,36.9,591880,VCB
2015-01-30,36.8,36.8,35.6,35.7,1161160,VCB
2015-02-02,35.5,36.1,35.4,35.7,608170,VCB
2015-02-03,35.6,35.8,33.3,33.3,1492700,VCB
2015-02-04,32.5,33.3,31.9,33.1,1365870,VCB
2015-02-05,33.5,35.0,33.5,34.9,814650,VCB
2015-02-06,35.0,36.0,35.0,36.0,688720,VCB
2015-02-09,35.8,36.7,35.5,36.2,1011240,VCB
2015-02-10,36.4,36.9,36.3,36.4,592970,VCB
2015-02-11,36.4,37.3,36.3,37.1,531780,VCB
2015-02-12,36.4,37.4,36.3,36.3,578600,VCB
2015-02-13,36.3,36.8,36.3,36.5,388300,VCB
2015-02-24,37.0,39.0,36.7,39.0,1012520,VCB
2015-02-25,38.9,39.9,38.1,38.1,890900,VCB
2015-02-26,38.5,39.9,38.4,39.4,740750,VCB
2015-02-27,39.5,39.5,37.9,38.4,701990,VCB
2015-03-02,38.3,38.7,37.7,38.4,310940,VCB
2015-03-03,38.3,39.0,38.0,38.5,565220,VCB
2015-03-04,38.8,38.8,38.1,38.8,446280,VCB
2015-03-05,38.7,38.7,37.9,37.9,692720,VCB
2015-03-06,37.8,38.0,36.7,37.3,1411330,VCB
2015-03-09,37.3,37.3,36.1,36.4,1180460,VCB
2015-03-10,36.1,37.0,36.1,36.8,596890,VCB
2015-03-11,36.8,36.9,36.4,36.5,576700,VCB
2015-03-12,36.4,36.9,36.4,36.8,378150,VCB
2015-03-13,37.0,37.4,36.7,36.7,498020,VCB
2015-03-16,35.0,36.3,35.0,35.3,2068770,VCB
2015-03-17,35.5,36.1,35.5,35.7,600760,VCB
2015-03-18,35.6,35.9,35.3,35.8,305040,VCB
2015-03-19,35.6,35.6,35.3,35.5,1024340,VCB
2015-03-20,35.6,36.4,35.3,36.0,4058430,VCB
2015-03-23,35.3,36.2,35.1,35.2,989730,VCB
2015-03-24,35.0,35.4,34.5,35.3,1639950,VCB
2015-03-25,35.1,35.5,35.0,35.4,661510,VCB
2015-03-26,34.9,35.7,34.9,35.0,1339170,VCB
2015-03-27,35.0,35.6,34.9,35.3,1452040,VCB
2015-03-30,35.1,35.5,35.1,35.1,664600,VCB
2015-03-31,35.1,35.6,35.0,35.1,677180,VCB
2015-04-01,35.1,35.3,34.8,35.0,881700,VCB
2015-04-02,35.0,35.8,34.9,35.7,538520,VCB
2015-04-03,35.7,35.8,35.5,35.7,435220,VCB
2015-04-06,35.5,35.7,35.5,35.5,346120,VCB
2015-04-07,35.5,35.9,35.1,35.8,696080,VCB
2015-04-08,35.7,35.8,35.4,35.5,1039830,VCB
2015-04-09,35.4,36.2,35.4,35.8,532290,VCB
2015-04-10,35.8,36.4,35.8,36.0,566250,VCB
2015-04-13,36.2,36.4,36.0,36.4,666920,VCB
2015-04-14,36.6,36.7,36.3,36.4,1090910,VCB
2015-04-15,36.3,36.7,36.3,36.6,685160,VCB
2015-04-16,36.6,37.6,36.5,37.3,1034230,VCB
2015-04-17,37.3,37.7,37.3,37.4,918190,VCB
2015-04-20,37.5,37.5,36.9,37.3,526550,VCB
2015-04-21,37.1,37.3,36.6,36.7,685380,VCB
2015-04-22,36.7,37.1,36.7,37.0,669760,VCB
2015-04-23,37.0,37.1,36.7,37.0,408610,VCB
2015-04-24,37.2,37.3,37.0,37.2,185110,VCB
2015-04-27,37.1,37.3,36.2,36.2,201080,VCB
2015-05-04,36.2,36.7,35.5,35.6,511240,VCB
2015-05-05,35.6,37.2,35.5,37.2,473810,VCB
2015-05-06,37.0,37.4,36.7,37.1,429770,VCB
2015-05-07,37.1,37.7,36.9,37.6,686100,VCB
2015-05-08,37.6,39.1,37.3,38.7,1036170,VCB
2015-05-11,38.7,39.2,38.6,38.9,312920,VCB
2015-05-12,39.1,39.1,38.3,38.6,432980,VCB
2015-05-13,38.6,38.6,37.5,38.1,364050,VCB
2015-05-14,37.8,38.5,37.8,38.3,61900,VCB
2015-05-15,38.3,38.9,37.9,38.4,465740,VCB
2015-05-18,37.9,38.7,37.7,38.6,556660,VCB
2015-05-19,38.3,39.5,38.1,39.1,350870,VCB
2015-05-20,39.1,39.7,39.0,39.6,482750,VCB
2015-05-21,40.0,40.5,39.7,40.0,685570,VCB
