date,open,high,low,close,volume,ticker
2024-01-02,19.65,19.9,19.65,19.8,4383500,VIB
2024-01-03,19.8,20.1,19.7,20.1,4469800,VIB
2024-01-04,20.2,20.9,20.05,20.4,10162800,VIB
2024-01-05,20.4,20.7,20.4,20.7,4437400,VIB
2024-01-08,20.9,21.0,20.7,20.9,6160100,VIB
2024-01-09,21.0,21.0,20.8,20.95,3891800,VIB
2024-01-10,20.9,21.15,20.8,21.05,4782400,VIB
2024-01-11,21.05,21.3,20.95,21.15,6946300,VIB
2024-01-12,20.95,21.2,20.8,21.05,9658800,VIB
2024-01-15,21.1,21.55,21.1,21.2,6440900,VIB
2024-01-16,21.1,21.5,21.05,21.5,4248700,VIB
2024-01-17,21.5,21.65,21.4,21.4,4946800,VIB
2024-01-18,21.4,21.45,21.2,21.4,3619100,VIB
2024-01-19,21.0,21.15,20.9,21.1,3577600,VIB
2024-01-22,21.15,21.3,20.9,21.1,4194100,VIB
2024-01-23,21.1,21.25,20.9,20.95,4130800,VIB
2024-01-24,20.95,21.05,20.8,20.85,2284400,VIB
2024-01-25,20.9,20.9,20.55,20.6,3843700,VIB
2024-01-26,20.65,20.85,20.65,20.8,2172300,VIB
2024-01-29,20.85,20.9,20.7,20.8,2175900,VIB
2024-01-30,20.85,20.9,20.6,20.9,3594500,VIB
2024-01-31,21.0,21.05,20.55,20.75,5757300,VIB
2024-02-01,20.75,20.8,20.45,20.65,4250600,VIB
2024-02-02,20.6,20.65,20.25,20.25,7524000,VIB
2024-02-05,20.35,21.3,20.3,21.2,10209500,VIB
2024-02-06,21.5,21.9,21.3,21.4,7384500,VIB
2024-02-07,21.6,21.7,21.4,21.7,11240800,VIB
2024-02-15,22.0,22.35,21.9,22.1,14543100,VIB
2024-02-16,22.3,22.3,21.85,22.1,5228100,VIB
2024-02-19,22.2,22.2,21.75,22.0,7475000,VIB
2024-02-20,22.05,22.55,21.9,22.2,6739600,VIB
2024-02-21,22.5,22.55,22.2,22.3,5639800,VIB
2024-02-22,22.4,22.5,22.2,22.5,4236200,VIB
2024-02-23,22.5,22.75,21.9,22.0,14808300,VIB
2024-02-26,21.9,22.0,21.65,21.95,4287500,VIB
2024-02-27,22.0,22.0,21.75,21.95,4719200,VIB
2024-02-28,22.05,22.15,21.85,22.1,4676300,VIB
2024-02-29,22.4,22.4,21.8,21.9,6362400,VIB
2024-03-01,21.85,21.9,21.55,21.9,4829300,VIB
2024-03-04,22.0,22.15,21.6,22.0,7382500,VIB
2024-03-05,22.0,22.1,21.8,22.1,3307100,VIB
2024-03-06,22.2,22.35,21.9,21.95,3904900,VIB
2024-03-07,21.95,21.95,21.75,21.85,5706900,VIB
2024-03-08,21.95,22.0,21.55,21.55,7431000,VIB
2024-03-11,21.55,21.65,21.3,21.3,3386600,VIB
2024-03-12,21.4,21.4,21.2,21.3,3515100,VIB
2024-03-13,21.5,22.1,21.25,22.05,4027500,VIB
2024-03-14,22.15,22.15,21.6,21.7,3858900,VIB
2024-03-15,21.85,22.6,21.7,22.5,8526000,VIB
2024-03-18,22.75,22.75,21.75,22.25,6283000,VIB
2024-03-19,22.25,22.35,21.9,22.1,3974500,VIB
2024-03-20,22.35,23.6,22.0,23.6,27152800,VIB
2024-03-21,23.9,24.4,23.65,24.3,10263400,VIB
2024-03-22,24.3,24.65,23.8,24.2,9227100,VIB
2024-03-25,24.15,24.75,23.65,23.95,7515000,VIB
2024-03-26,23.9,24.4,23.85,24.35,5056100,VIB
2024-03-27,24.35,24.35,23.95,24.2,5550600,VIB
2024-03-28,24.5,24.75,23.95,24.25,8013000,VIB
2024-03-29,24.25,25.0,24.0,24.6,6179900,VIB
2024-04-01,24.4,24.6,23.95,24.3,5853200,VIB
2024-04-02,24.05,24.3,23.55,24.1,11610200,VIB
2024-04-03,24.1,24.1,23.5,23.55,8770800,VIB
2024-04-04,23.55,23.7,23.2,23.2,7718000,VIB
2024-04-05,22.9,23.05,22.6,22.7,7370900,VIB
2024-04-08,22.7,22.85,22.55,22.7,8400200,VIB
2024-04-09,22.7,23.1,22.65,23.05,5832900,VIB
2024-04-10,23.25,23.25,22.9,22.9,6594200,VIB
2024-04-11,22.8,22.9,22.6,22.9,4585700,VIB
2024-04-12,23.1,23.6,22.85,23.6,9057600,VIB
2024-04-15,23.6,23.8,22.45,22.5,11379800,VIB
2024-04-16,22.6,23.0,22.0,22.55,9408200,VIB
2024-04-17,22.3,22.35,21.5,21.5,7517500,VIB
2024-04-19,21.0,21.5,20.95,21.1,8950600,VIB
2024-04-22,21.15,21.4,21.1,21.2,5869800,VIB
2024-04-23,21.2,21.55,20.8,21.0,6476700,VIB
2024-04-24,21.1,21.6,21.1,21.4,4443600,VIB
2024-04-25,21.4,21.5,21.05,21.15,3793100,VIB
2024-04-26,20.9,21.3,20.9,21.1,2906500,VIB
2024-05-02,21.05,21.45,21.0,21.4,3169100,VIB
2024-05-03,21.5,21.75,21.2,21.2,5626600,VIB
2024-05-06,21.4,21.75,21.35,21.7,4440600,VIB
2024-05-07,21.85,21.9,21.55,21.7,2608500,VIB
2024-05-08,21.5,21.65,21.35,21.55,4433900,VIB
2024-05-09,21.6,21.75,21.4,21.6,3079500,VIB
2024-05-10,21.6,21.6,21.45,21.55,2714000,VIB
2024-05-13,21.55,21.65,21.3,21.35,3635100,VIB
2024-05-14,21.6,22.2,21.4,21.75,6938100,VIB
2024-05-15,22.05,22.05,21.75,21.85,3361300,VIB
2024-05-16,22.2,22.35,22.1,22.3,9175800,VIB
2024-05-17,22.3,22.4,22.2,22.3,4327200,VIB
2024-05-20,22.6,22.65,22.4,22.5,7439300,VIB
2024-05-21,22.65,22.65,22.2,22.6,7287600,VIB
2024-05-22,22.6,22.75,22.2,22.2,6625300,VIB
2024-05-23,22.1,22.25,22.0,22.25,3620300,VIB
2024-05-24,22.0,22.7,21.8,22.0,14934200,VIB
2024-05-27,22.05,22.15,21.85,22.0,3449500,VIB
2024-05-28,22.3,22.3,22.0,22.3,4019500,VIB
2024-05-29,22.35,22.45,21.9,21.9,5539200,VIB
2024-05-30,21.85,22.0,21.6,22.0,5831900,VIB
2024-05-31,22.0,22.0,21.75,21.75,3128800,VIB
2024-06-03,21.85,22.45,21.85,22.3,4751200,VIB
2024-06-04,22.4,22.5,22.25,22.4,3476400,VIB
2024-06-05,22.5,22.8,22.4,22.4,7851800,VIB
2024-06-06,22.6,22.6,22.3,22.4,3668300,VIB
2024-06-07,22.6,22.65,22.3,22.4,2831200,VIB
2024-06-10,22.4,22.55,22.2,22.55,5269600,VIB
2024-06-11,22.6,23.15,22.6,22.9,8505900,VIB
2024-06-12,22.85,23.0,22.65,22.95,5256100,VIB
2024-06-13,23.0,23.1,22.8,22.9,7715200,VIB
2024-06-14,23.05,23.05,22.5,22.5,6670000,VIB
2024-06-17,22.4,22.5,22.05,22.05,7547600,VIB
2024-06-18,22.15,22.3,22.05,22.05,3475900,VIB
2024-06-19,22.25,22.25,21.9,22.0,4359900,VIB
2024-06-20,22.0,22.1,21.85,22.0,3562700,VIB
2024-06-21,22.0,22.0,21.8,21.8,3604200,VIB
